summary_scope,rows_processed,home_full_or_partial,away_full_or_partial,avg_home_opponent_strength,avg_away_opponent_strength,standings_api_calls,standings_cache_hits,standings_errors,generated_at_utc,flag,rows
overall,27.0,0.0,0.0,,,0.0,0.0,0.0,2026-07-09T10:59:34.231642+00:00,,
home_quality_flag,,,,,,,,,,UNKNOWN,27.0
away_quality_flag,,,,,,,,,,UNKNOWN,27.0
