summary_scope,final_execution_bucket,production_governance_status,final_recommendation,execution_verdict,production_governance_best_evidence_tier,rows_total,base_actionable_rows,final_actionable_rows,bet_rows,lean_play_rows,avg_selection_score,avg_primary_edge,avg_production_governance_rule_count,avg_production_governance_premium_rule_count,avg_production_governance_standard_rule_count,avg_production_governance_generic_rule_count
overall,,,,,,22,21,17,16,1,87.5336,0.152292,20.7727,4.2727,3.0909,13.4091
by_final_execution_bucket,APPROVED_PREMIUM,,,,,16,16,16,15,1,88.3712,0.136135,23.1875,5.4375,4.0,13.75
by_final_execution_bucket,APPROVED_STANDARD,,,,,1,1,1,1,0,82.37,0.059375,18.0,0.0,4.0,14.0
by_final_execution_bucket,DOWNGRADED,,,,,4,4,0,0,0,87.005,0.240153,12.75,0.0,0.0,12.75
by_final_execution_bucket,WATCH,,,,,1,0,0,0,0,81.41,,17.0,7.0,0.0,10.0
by_bucket_and_governance_status,APPROVED_PREMIUM,APPROVED_BY_PREMIUM_PROMOTED_RULE,,,,16,16,16,15,1,88.3712,0.136135,23.1875,5.4375,4.0,13.75
by_bucket_and_governance_status,APPROVED_STANDARD,APPROVED_BY_PROMOTED_RULE,,,,1,1,1,1,0,82.37,0.059375,18.0,0.0,4.0,14.0
by_bucket_and_governance_status,DOWNGRADED,DOWNGRADED_GENERIC_PROMOTED_RULE_ONLY,,,,4,4,0,0,0,87.005,0.240153,12.75,0.0,0.0,12.75
by_bucket_and_governance_status,WATCH,ANNOTATED_NON_ACTIONABLE_RULE_MATCH,,,,1,0,0,0,0,81.41,,17.0,7.0,0.0,10.0
by_bucket_and_final_recommendation,APPROVED_PREMIUM,,BET,,,15,15,15,15,0,89.2407,0.142228,23.6667,5.6667,4.0,14.0
by_bucket_and_final_recommendation,APPROVED_PREMIUM,,LEAN_PLAY,,,1,1,1,0,1,75.33,0.044741,16.0,2.0,4.0,10.0
by_bucket_and_final_recommendation,APPROVED_STANDARD,,BET,,,1,1,1,1,0,82.37,0.059375,18.0,0.0,4.0,14.0
by_bucket_and_final_recommendation,DOWNGRADED,,WATCH,,,4,4,0,0,0,87.005,0.240153,12.75,0.0,0.0,12.75
by_bucket_and_final_recommendation,WATCH,,MODEL_ONLY,,,1,0,0,0,0,81.41,,17.0,7.0,0.0,10.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,CORE_SHORTLIST,,2,2,2,2,0,95.07,0.165223,25.0,7.0,4.0,14.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,TOP_CORE,,2,2,2,2,0,101.26,0.188665,25.0,7.0,4.0,14.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,WATCH,,12,12,12,11,1,85.1067,0.122531,22.5833,4.9167,4.0,13.6667
by_bucket_and_execution_verdict,APPROVED_STANDARD,,,WATCH,,1,1,1,1,0,82.37,0.059375,18.0,0.0,4.0,14.0
by_bucket_and_execution_verdict,DOWNGRADED,,,WATCH,,4,4,0,0,0,87.005,0.240153,12.75,0.0,0.0,12.75
by_bucket_and_execution_verdict,WATCH,,,WATCH,,1,0,0,0,0,81.41,,17.0,7.0,0.0,10.0
by_bucket_and_best_evidence_tier,APPROVED_PREMIUM,,,,PREMIUM_EVIDENCE,16,16,16,15,1,88.3712,0.136135,23.1875,5.4375,4.0,13.75
by_bucket_and_best_evidence_tier,APPROVED_STANDARD,,,,STANDARD_EVIDENCE,1,1,1,1,0,82.37,0.059375,18.0,0.0,4.0,14.0
by_bucket_and_best_evidence_tier,DOWNGRADED,,,,GENERIC_BROAD,4,4,0,0,0,87.005,0.240153,12.75,0.0,0.0,12.75
by_bucket_and_best_evidence_tier,WATCH,,,,PREMIUM_EVIDENCE,1,0,0,0,0,81.41,,17.0,7.0,0.0,10.0
