historical_batch_date,execution_rank,execution_shortlist_source,final_execution_bucket,final_recommendation,execution_score,fixture_id,league,home_team,away_team,market_primary,selection_score,primary_model_prob,primary_odds_used,primary_edge,accuracy_mode_eligible_flag,accuracy_confidence_score,accuracy_mode_reason,accuracy_primary_risk,accuracy_mode_bucket,accuracy_mode_rank,competition_raw_prob,competition_calibrated_prob,competition_prob_calibration_bucket,competition_prob_calibration_reason,competition_prob_shrinkage_applied_flag,result_status,actionable_result,primary_result,profit_units,stake_units
2026-05-06,1,PREMIUM_CORE,APPROVED_PREMIUM,BET,141.830522875817,1535283,CONMEBOL Libertadores,Barcelona SC,Boca Juniors,OVER_1_5,102.04,0.8615,1.53,0.2079052287581699,1,154.276,ACCURACY_CORE_PRIORITY;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,FAILURE_MODE_LOW_CONVERSION,ACCURACY_CORE,1,0.8615,0.79386,MARKET_BUCKET:OVER_1_5|ACCURACY_CORE,CALIBRATED_MARKET_BUCKET_OVERCONFIDENCE,1,RESULT_AVAILABLE,LOSS,LOSS,-1.0,1.0
2026-05-06,2,PREMIUM_CORE,APPROVED_PREMIUM,BET,136.42242424242426,1535297,CONMEBOL Libertadores,UCV,Independiente del Valle,OVER_1_5,100.48,0.927,1.32,0.1694242424242424,0,150.624,ACCURACY_CORE_PRIORITY;ACCURACY_MARKET_STABLE;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE;ACCURACY_STATS_SUPPORT_TOO_THIN,FAILURE_MODE_LOW_CONVERSION,ACCURACY_REJECTED,,0.927,0.927,CALIBRATION_NOT_APPLIED,CALIBRATION_NOT_APPLIED_NON_COMPETITION,0,RESULT_AVAILABLE,WIN,WIN,0.32,1.0
2026-05-06,3,PREMIUM_CORE,APPROVED_PREMIUM,BET,127.45412213740458,1540844,UEFA Champions League,Bayern München,Paris Saint Germain,BTTS_YES,94.64,0.9015,1.31,0.1381412213740458,0,117.45,ACCURACY_CORE_PRIORITY;ACCURACY_MODEL_PROB_HIGH;ACCURACY_BTTS_SUPPORT_INSUFFICIENT,FAILURE_MODE_BTTS_BREAK,ACCURACY_REJECTED,,0.9015,0.9015,CALIBRATION_NOT_APPLIED,CALIBRATION_NOT_APPLIED_NON_COMPETITION,0,RESULT_AVAILABLE,WIN,WIN,0.31,1.0
