target_date,generated_at,scope,group,metric_focus,recommendation,advice_level,sample,observed_rate,repeat_days,gate_status,gate_reason,auto_apply,production_change
2026-06-10,2026-06-11T13:36:15+01:00,ALL,ALL,sample_size,OBSERVE_MORE,HOLD,2,2,1,HOLD_ONLY,Advisor requested observation only.,NO,NO
2026-06-10,2026-06-11T13:36:15+01:00,ALL,ALL,result_family,KEEP_RESULT_FAMILY_SIGNAL,WATCH,2,100.0,1,BLOCKED_SAMPLE,sample 2 below minimum 20.,NO,NO
2026-06-10,2026-06-11T13:36:15+01:00,ALL,ALL,score_neighbor,PRIORITIZE_SCORE_NEIGHBOR_OVER_EXACT,WATCH,2,100.0,1,BLOCKED_SAMPLE,sample 2 below minimum 20.,NO,NO
2026-06-10,2026-06-11T13:36:15+01:00,ALL,ALL,goals_2plus,KEEP_2PLUS_GOALS_SIGNAL,WATCH,2,100.0,1,BLOCKED_SAMPLE,sample 2 below minimum 20.,NO,NO
2026-06-10,2026-06-11T13:36:15+01:00,ALL,ALL,goals_3plus,REQUIRE_STRONGER_EVIDENCE_FOR_3PLUS,CAUTION,2,0.0,1,BLOCKED_SAMPLE,sample 2 below minimum 20.,NO,NO
2026-06-10,2026-06-11T13:36:15+01:00,ALL,ALL,both_scored,KEEP_BTTS_AS_SUPPORTING_SIGNAL,WATCH,2,100.0,1,BLOCKED_SAMPLE,sample 2 below minimum 20.,NO,NO
2026-06-10,2026-06-11T13:36:15+01:00,RECENT,LAST_20,sample_size,OBSERVE_MORE,HOLD,2,2,1,HOLD_ONLY,Advisor requested observation only.,NO,NO
2026-06-10,2026-06-11T13:36:15+01:00,RECENT,LAST_50,sample_size,OBSERVE_MORE,HOLD,2,2,1,HOLD_ONLY,Advisor requested observation only.,NO,NO
2026-06-10,2026-06-11T13:36:15+01:00,PREDICTED_RESULT,AWAY_OR_DRAW,sample_size,OBSERVE_MORE,HOLD,2,2,1,HOLD_ONLY,Advisor requested observation only.,NO,NO
2026-06-10,2026-06-11T13:36:15+01:00,GOAL_PROFILE,HIGH_GOALS,sample_size,OBSERVE_MORE,HOLD,1,1,1,HOLD_ONLY,Advisor requested observation only.,NO,NO
2026-06-10,2026-06-11T13:36:15+01:00,GOAL_PROFILE,HIGH_GOALS,high_goals_aggression,DOWNGRADE_HIGH_GOALS_TO_OPEN_GOALS_REVIEW,CAUTION,1,0.0,1,BLOCKED_SAMPLE,sample 1 below minimum 20.,NO,NO
2026-06-10,2026-06-11T13:36:15+01:00,GOAL_PROFILE,MODERATE_GOALS,sample_size,OBSERVE_MORE,HOLD,1,1,1,HOLD_ONLY,Advisor requested observation only.,NO,NO
