target_date,generated_at,ledger_key,fixture_id,home_team,away_team,league,country,board_rank,final_decision,decision_bucket,board_bucket,primary_market,secondary_market,stake_band,execution_permission,portfolio_status,context_level,forecast_confidence,forecast_warning,translation_score,kill_switch,stat_profile,prelock_trigger,live_trigger,cancel_trigger,source_guard,operator_action_level,operator_final_decision,operator_risk_label,operator_health_status,ledger_status,official_pick_permission,pick_tracking_required,postmatch_audit_required,result_status,postmatch_quality_label,postmatch_quality_score,learning_status,operator_note,auto_apply,production_change
2026-06-10,2026-06-10T16:25:16+01:00,2026-06-10|1548055|OVER_1_5_SUPPORTED,1548055,Malaga,Las Palmas,,,1,LIVE_ONLY,LIVE_ONLY,LIVE_CANDIDATE,OVER_1_5_SUPPORTED,OVER_2_5_REVIEW,NO_STAKE_OR_SYMBOLIC,NO_PREMATCH,LIVE_ONLY_OR_SYMBOLIC; EARLY_WATCH_MORE_DATA_REQUIRED,L7_SOFT_DOWN,MEDIUM,LINEUPS_INACTIVE; API_EARLY_LOW_SUPPORT,17,NONE,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | MEDIUM_CARD_RISK | BOTH_TEAMS_THREAT,price remains above minimum; market not over-compressed; lineups confirmed,"live tempo: early shots, SoT threat, box entries, pressure and no dead 0-0 rhythm",bad or incomplete lineups,DATED_INPUT_ONLY; API_COVERAGE_GATE_V2,WATCH,WATCH_ONLY_NO_STAKE,LOW_ALERT,ATTENTION,LIVE_REVIEW_REQUIRED,MANUAL_REVIEW_ONLY_NO_STAKE,YES,YES,PENDING_RESULT,PENDING,,PENDING_POSTMATCH,No prematch serious stake; require live tempo and chance confirmation.; api_gate=EARLY_WATCH_MORE_DATA_REQUIRED; coverage_score=80.0; missing=lineup_coverage=NOT_DUE_YET; injuries_coverage=NONE,NO,NO
2026-06-10,2026-06-10T16:25:16+01:00,2026-06-10|1546281|NO_CLEAR_STAT_MARKET,1546281,Cape Town City,Magesi,,,2,NO_BET,NO_BET,BLOCKED,NO_CLEAR_STAT_MARKET,NONE,NO_STAKE,NO,NO_PORTFOLIO_CONTEXT,,LOW,PARTIAL_RECENT_STATS; SHOT_SAMPLE_WEAK; CORNER_SAMPLE_WEAK; CARD_SAMPLE_WEAK,-42,LOW_FORECAST_CONFIDENCE,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | MEDIUM_CARD_RISK | BALANCED_THREAT,none,none,default no bet; low forecast confidence,DATED_INPUT_ONLY; API_COVERAGE_GATE_V2,WATCH,WATCH_ONLY_NO_STAKE,LOW_ALERT,ATTENTION,OFFICIAL_NO_BET,NO_PICK_NO_STAKE,YES,YES,PENDING_NO_BET_AUDIT,PENDING,,PENDING_POSTMATCH,No execution permission.; api_gate=LOW_COVERAGE_NO_BET; coverage_score=20.0; missing=recent_stats_coverage=NONE; lineup_coverage=NONE; injuries_coverage=NONE; standings_coverage=NONE; odds_coverage=NONE,NO,NO
