target_date,generated_at,fixture_id,home_team,away_team,candidate_origin,max_execution_permission,before_permission,after_permission,before_stake,after_stake,ceiling_action,reason,auto_apply,production_change
2026-06-10,2026-06-10T16:25:09+01:00,1548055,Malaga,Las Palmas,REAL_SHORTLIST,LIVE_ONLY,LIVE_ONLY,LIVE_ONLY,SYMBOLIC_ONLY,SYMBOLIC_ONLY,NO_CHANGE,permission already within provenance ceiling or ledger missing,NO,NO
2026-06-10,2026-06-10T16:25:09+01:00,1546281,Cape Town City,Magesi,TRANSLATOR_ONLY,NO_BET,NO_BET,NO_BET,NO_STAKE,NO_STAKE,NO_CHANGE,permission already within provenance ceiling or ledger missing,NO,NO
