league_id,league,country,season,league_type,coverage_season_current,coverage_season_start,coverage_season_end,league_has_fixtures_coverage,league_has_standings_coverage,league_has_odds_coverage,league_has_events_coverage,league_has_lineups_coverage,league_has_fixture_stats_coverage,league_has_player_stats_coverage,league_has_players_coverage,league_has_injuries_coverage,league_has_predictions_coverage,league_has_top_scorers_coverage,league_has_top_assists_coverage,league_has_top_cards_coverage,league_coverage_class,league_coverage_rich_flag,league_data_reliability_score,league_coverage_source_status,league_coverage_note,coverage_matrix_generated_at_utc
18,AFC Champions League Two,World,2025,Cup,1,2025-08-13,2026-05-16,1,0,1,1,1,1,1,1,0,1,1,1,1,COVERAGE_GOOD,1,0.85,OFFICIAL_API,,2026-05-16T08:10:26.384822+00:00
71,Serie A,Brazil,2026,League,1,2026-01-28,2026-12-02,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-16T08:10:26.785277+00:00
72,Serie B,Brazil,2026,League,1,2026-03-21,2026-11-14,1,1,1,1,1,1,1,1,0,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-16T08:10:27.187316+00:00
75,Serie C,Brazil,2026,League,1,2026-04-04,2026-08-30,1,1,1,1,1,0,0,1,0,1,1,1,1,COVERAGE_PARTIAL,0,0.7,OFFICIAL_API,,2026-05-16T08:10:27.585999+00:00
78,Bundesliga,Germany,2025,League,1,2025-08-22,2026-05-16,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-16T08:10:28.000469+00:00
80,3. Liga,Germany,2025,League,1,2025-08-01,2026-05-16,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-16T08:10:28.382676+00:00
89,Eerste Divisie,Netherlands,2025,League,1,2025-08-08,2026-05-16,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-16T08:10:28.787035+00:00
94,Primeira Liga,Portugal,2025,League,1,2025-08-08,2026-05-16,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-16T08:10:29.193070+00:00
103,Eliteserien,Norway,2026,League,1,2026-03-14,2026-12-06,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-16T08:10:29.585896+00:00
113,Allsvenskan,Sweden,2026,League,1,2026-04-04,2026-11-29,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-16T08:10:29.983432+00:00
136,Serie B,Italy,2025,League,1,2025-08-22,2026-05-22,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-16T08:10:30.383107+00:00
141,Segunda División,Spain,2025,League,1,2025-08-15,2026-05-31,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-16T08:10:30.792629+00:00
144,Jupiler Pro League,Belgium,2025,League,1,2025-07-25,2026-05-24,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-16T08:10:31.187621+00:00
179,Premiership,Scotland,2025,League,1,2025-08-02,2026-05-17,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-16T08:10:31.586114+00:00
180,Championship,Scotland,2025,League,1,2025-08-01,2026-05-16,1,1,1,1,1,0,0,1,1,1,1,1,1,COVERAGE_GOOD,1,0.85,OFFICIAL_API,,2026-05-16T08:10:31.987129+00:00
203,Süper Lig,Turkey,2025,League,1,2025-08-08,2026-05-17,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-16T08:10:32.384969+00:00
207,Super League,Switzerland,2025,League,1,2025-07-25,2026-05-17,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-16T08:10:32.785821+00:00
218,Bundesliga,Austria,2025,League,1,2025-08-01,2026-05-17,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-16T08:10:33.186342+00:00
244,Veikkausliiga,Finland,2026,League,1,2026-04-04,2026-08-31,1,1,1,1,1,1,1,1,0,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-16T08:10:33.587532+00:00
253,Major League Soccer,USA,2026,League,1,2026-02-21,2026-11-08,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-16T08:10:33.986479+00:00
288,Premier Soccer League,South-Africa,2025,League,1,2025-08-09,2026-05-23,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-16T08:10:34.387065+00:00
292,K League 1,South-Korea,2026,League,1,2026-02-28,2026-12-30,1,1,1,1,1,1,1,1,0,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-16T08:10:34.785223+00:00
