execution_rank,date,league,fixture_id,home_team,away_team,market_primary,final_recommendation,execution_shortlist_source,execution_score,selection_score,primary_edge,primary_model_prob,pick_main_why,pick_supporting_edges,pick_primary_risk,pick_execution_rationale,pick_bucket_rationale,pick_rank_rationale,pick_failure_mode,pick_confirmation_layers
1,2026-05-16,Bundesliga,1388606,Bayern München,1. FC Köln,BTTS_YES,BET,PREMIUM_CORE,136.80278911564625,104.18,0.1362278911564626,0.8165,STRONG_ROLLING_STATS;CLEAN_MARKET_FIT;CORE_GATE_PASSED;EDGE_ABOVE_THRESHOLD;MODEL_PROB_STRONG;BET_EXECUTABLE,STRONG_ROLLING_STATS;CLEAN_MARKET_FIT;CORE_GATE_PASSED;PREMIUM_RULE_EVIDENCE;EDGE_ABOVE_THRESHOLD;EDGE_STRONG;MODEL_PROB_STRONG;EXECUTION_SCORE_TOP;SELECTION_SCORE_HIGH;BET_EXECUTABLE;AVAILABILITY_ADVISORY_ONLY;AVAILABILITY_RISK_REPORTED_ONLY;LINEUP_INACTIVE_NO_EDGE;COVERAGE_RICH_SUPPORT,FAILURE_MODE_BTTS_BREAK; market=BTTS_YES; edge=0.136; market_fit=SAFE_OK,BET; edge=0.136; prob=0.817; odds=1.47; SAFE_OK; APPROVED_BY_PREMIUM_PROMOTED_RULE,PREMIUM_CORE: CORE_GATE_PASSED; APPROVED_PREMIUM; BET; SAFE_OK,EXECUTION_SHORTLIST_SORT: execution_rank=1; phase=PREMIUM_CORE; execution_score=136.803; selection_score=104.180; primary_edge=0.136; primary_model_prob=0.817; shortlist_rank=1; caps=league2_market2_fixture1,BTTS_BREAK,STATS+ODDS+MARKET_TRANSLATION+FORM+ADVISORY_AVAILABILITY+LEAGUE_COVERAGE
2,2026-05-16,Bundesliga,1388605,Bayer Leverkusen,Hamburger SV,BTTS_YES,BET,PREMIUM_CORE,131.85573248407644,101.27,0.1158573248407643,0.7528,STRONG_ROLLING_STATS;CLEAN_MARKET_FIT;CORE_GATE_PASSED;EDGE_ABOVE_THRESHOLD;MODEL_PROB_STRONG;BET_EXECUTABLE,STRONG_ROLLING_STATS;CLEAN_MARKET_FIT;CORE_GATE_PASSED;PREMIUM_RULE_EVIDENCE;EDGE_ABOVE_THRESHOLD;EDGE_STRONG;MODEL_PROB_STRONG;EXECUTION_SCORE_TOP;SELECTION_SCORE_HIGH;BET_EXECUTABLE;AVAILABILITY_ADVISORY_ONLY;AVAILABILITY_RISK_REPORTED_ONLY;LINEUP_INACTIVE_NO_EDGE;COVERAGE_RICH_SUPPORT,FAILURE_MODE_BTTS_BREAK; market=BTTS_YES; edge=0.116; market_fit=SAFE_OK,BET; edge=0.116; prob=0.753; odds=1.57; SAFE_OK; APPROVED_BY_PREMIUM_PROMOTED_RULE,PREMIUM_CORE: CORE_GATE_PASSED; APPROVED_PREMIUM; BET; SAFE_OK,EXECUTION_SHORTLIST_SORT: execution_rank=2; phase=PREMIUM_CORE; execution_score=131.856; selection_score=101.270; primary_edge=0.116; primary_model_prob=0.753; shortlist_rank=4; caps=league2_market2_fixture1,BTTS_BREAK,STATS+ODDS+MARKET_TRANSLATION+FORM+ADVISORY_AVAILABILITY+LEAGUE_COVERAGE
3,2026-05-16,Segunda División,1392195,Almeria,Las Palmas,OVER_2_5,BET,PREMIUM_EXTENDED,127.69714285714286,94.3,0.2839714285714286,0.8554,STRONG_ROLLING_STATS;CLEAN_MARKET_FIT;EXTENDED_GATE_PASSED;EDGE_ABOVE_THRESHOLD;MODEL_PROB_STRONG;BET_EXECUTABLE,STRONG_ROLLING_STATS;CLEAN_MARKET_FIT;EXTENDED_GATE_PASSED;PREMIUM_RULE_EVIDENCE;EDGE_ABOVE_THRESHOLD;EDGE_STRONG;MODEL_PROB_STRONG;MODEL_PROB_EXTENDED_STRONG;EXECUTION_SCORE_TOP;SELECTION_SCORE_HIGH;BET_EXECUTABLE;AVAILABILITY_ADVISORY_ONLY;LINEUP_INACTIVE_NO_EDGE;COVERAGE_RICH_SUPPORT,FAILURE_MODE_LOW_CONVERSION; market=OVER_2_5; edge=0.284; market_fit=SAFE_OK,BET; edge=0.284; prob=0.855; odds=1.75; SAFE_OK; APPROVED_BY_PREMIUM_PROMOTED_RULE,PREMIUM_EXTENDED: EXTENDED_GATE_PASSED; EXTENDED_QUALITY_OK; edge>=0.08; prob>=0.82,EXECUTION_SHORTLIST_SORT: execution_rank=3; phase=PREMIUM_EXTENDED; execution_score=127.697; selection_score=94.300; primary_edge=0.284; primary_model_prob=0.855; shortlist_rank=22; caps=league2_market2_fixture1,LOW_CONVERSION,STATS+ODDS+MARKET_TRANSLATION+FORM+LEAGUE_COVERAGE
4,2026-05-16,Premiership,1540033,Falkirk,Rangers,OVER_2_5,BET,PREMIUM_EXTENDED,123.8039393939394,95.18,0.2362393939393939,0.8423,STRONG_ROLLING_STATS;CLEAN_MARKET_FIT;EXTENDED_GATE_PASSED;EDGE_ABOVE_THRESHOLD;MODEL_PROB_STRONG;BET_EXECUTABLE,STRONG_ROLLING_STATS;CLEAN_MARKET_FIT;EXTENDED_GATE_PASSED;PREMIUM_RULE_EVIDENCE;EDGE_ABOVE_THRESHOLD;EDGE_STRONG;MODEL_PROB_STRONG;MODEL_PROB_EXTENDED_STRONG;EXECUTION_SCORE_TOP;SELECTION_SCORE_HIGH;BET_EXECUTABLE;AVAILABILITY_ADVISORY_ONLY;LINEUP_INACTIVE_NO_EDGE;COVERAGE_RICH_SUPPORT,FAILURE_MODE_LOW_CONVERSION; market=OVER_2_5; edge=0.236; market_fit=SAFE_OK,BET; edge=0.236; prob=0.842; odds=1.65; SAFE_OK; APPROVED_BY_PREMIUM_PROMOTED_RULE,PREMIUM_EXTENDED: EXTENDED_GATE_PASSED; EXTENDED_QUALITY_OK; edge>=0.08; prob>=0.82,EXECUTION_SHORTLIST_SORT: execution_rank=4; phase=PREMIUM_EXTENDED; execution_score=123.804; selection_score=95.180; primary_edge=0.236; primary_model_prob=0.842; shortlist_rank=20; caps=league2_market2_fixture1,LOW_CONVERSION,STATS+ODDS+MARKET_TRANSLATION+FORM+LEAGUE_COVERAGE
5,2026-05-16,Segunda División,1392194,Granada CF,Burgos,OVER_1_5,BET,PREMIUM_EXTENDED,122.67052287581697,93.71,0.2396052287581699,0.8932,STRONG_ROLLING_STATS;CLEAN_MARKET_FIT;EXTENDED_GATE_PASSED;EDGE_ABOVE_THRESHOLD;MODEL_PROB_STRONG;BET_EXECUTABLE,STRONG_ROLLING_STATS;CLEAN_MARKET_FIT;EXTENDED_GATE_PASSED;PREMIUM_RULE_EVIDENCE;EDGE_ABOVE_THRESHOLD;EDGE_STRONG;MODEL_PROB_STRONG;MODEL_PROB_EXTENDED_STRONG;EXECUTION_SCORE_TOP;SELECTION_SCORE_HIGH;BET_EXECUTABLE;AVAILABILITY_ADVISORY_ONLY;LINEUP_INACTIVE_NO_EDGE;COVERAGE_RICH_SUPPORT,FAILURE_MODE_LOW_CONVERSION; market=OVER_1_5; edge=0.240; market_fit=SAFE_OK,BET; edge=0.240; prob=0.893; odds=1.53; SAFE_OK; APPROVED_BY_PREMIUM_PROMOTED_RULE,PREMIUM_EXTENDED: EXTENDED_GATE_PASSED; EXTENDED_QUALITY_OK; edge>=0.08; prob>=0.82,EXECUTION_SHORTLIST_SORT: execution_rank=5; phase=PREMIUM_EXTENDED; execution_score=122.671; selection_score=93.710; primary_edge=0.240; primary_model_prob=0.893; shortlist_rank=23; caps=league2_market2_fixture1,LOW_CONVERSION,STATS+ODDS+MARKET_TRANSLATION+FORM+LEAGUE_COVERAGE
6,2026-05-16,Serie B,1544949,Juve Stabia,Monza,OVER_1_5,BET,PREMIUM_EXTENDED,120.61278911564625,98.92,0.1669278911564625,0.8472,STRONG_ROLLING_STATS;CLEAN_MARKET_FIT;EXTENDED_GATE_PASSED;EDGE_ABOVE_THRESHOLD;MODEL_PROB_STRONG;BET_EXECUTABLE,STRONG_ROLLING_STATS;CLEAN_MARKET_FIT;EXTENDED_GATE_PASSED;PREMIUM_RULE_EVIDENCE;EDGE_ABOVE_THRESHOLD;EDGE_STRONG;MODEL_PROB_STRONG;MODEL_PROB_EXTENDED_STRONG;EXECUTION_SCORE_TOP;SELECTION_SCORE_HIGH;BET_EXECUTABLE;AVAILABILITY_ADVISORY_ONLY;LINEUP_INACTIVE_NO_EDGE;COVERAGE_RICH_SUPPORT,FAILURE_MODE_LOW_CONVERSION; market=OVER_1_5; edge=0.167; market_fit=SAFE_OK,BET; edge=0.167; prob=0.847; odds=1.47; SAFE_OK; APPROVED_BY_PREMIUM_PROMOTED_RULE,PREMIUM_EXTENDED: EXTENDED_GATE_PASSED; EXTENDED_QUALITY_OK; edge>=0.08; prob>=0.82,EXECUTION_SHORTLIST_SORT: execution_rank=6; phase=PREMIUM_EXTENDED; execution_score=120.613; selection_score=98.920; primary_edge=0.167; primary_model_prob=0.847; shortlist_rank=11; caps=league2_market2_fixture1,LOW_CONVERSION,STATS+ODDS+MARKET_TRANSLATION+FORM+LEAGUE_COVERAGE
