summary_scope,metric,rows_total,final_execution_bucket,final_recommendation,league,market_primary
eligibility,premium_core_rows,3,,,,
eligibility,premium_extended_eligible_rows,7,,,,
eligibility,standard_eligible_rows,0,,,,
final,final_shortlist_rows,6,,,,
final,bets_only_rows,6,,,,
by_final_execution_bucket,,6,APPROVED_PREMIUM,,,
by_final_recommendation,,6,,BET,,
by_league,,2,,,Bundesliga,
by_league,,1,,,Primeira Liga,
by_league,,2,,,Segunda División,
by_league,,1,,,Serie B,
by_market_primary,,2,,,,BTTS_YES
by_market_primary,,2,,,,OVER_1_5
by_market_primary,,2,,,,OVER_2_5
