fixture_id,league,home_team,away_team,market_primary,kickoff_time,minutes_to_kickoff,prelock_window_start,prelock_status,recommended_next_action,recommended_command
1392194,Segunda División,Granada CF,Burgos,OVER_1_5,2026-05-16T16:33:18+00:00,496.19,2026-05-16T15:03:18+00:00,PENDING_OUTSIDE_WINDOW,WAIT_FOR_PRELOCK,.\.venv\Scripts\python.exe scripts\run_daily_competition_controller.py --date 2026-05-16 --timezone Atlantic/Canary --mode prelock --window-minutes 90
1544949,Serie B,Juve Stabia,Monza,OVER_1_5,2026-05-16T18:03:16.800000+00:00,586.17,2026-05-16T16:33:16.800000+00:00,PENDING_OUTSIDE_WINDOW,WAIT_FOR_PRELOCK,.\.venv\Scripts\python.exe scripts\run_daily_competition_controller.py --date 2026-05-16 --timezone Atlantic/Canary --mode prelock --window-minutes 90
