comparison_status,fixture_id,fixture,league,baseline_rank,candidate_v2_rank,baseline_market,candidate_v2_market,baseline_raw_prob,candidate_v2_raw_prob,baseline_calibrated_prob,candidate_v2_calibrated_prob,baseline_confidence_score,candidate_v2_confidence_score,baseline_bucket,candidate_v2_bucket,baseline_main_reason,candidate_v2_main_reason,baseline_primary_risk,candidate_v2_primary_risk,target_date,generated_at,pipeline_mode,candidate_version,source_file_date_check,run_id
BOTH,1547770,Independ. Rivadavia vs Fluminense,CONMEBOL Libertadores,1,1,OVER_1_5,OVER_1_5,0.8786,0.8768,0.81096,0.80916,160.288,160.144,ACCURACY_CORE,ACCURACY_CORE,ACCURACY_CORE_PRIORITY;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,ACCURACY_CORE_PRIORITY;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,FAILURE_MODE_LOW_CONVERSION,FAILURE_MODE_LOW_CONVERSION,2026-08-18,2026-08-18T08:40:21+00:00,PRE,COMPARISON,NO_DATE_COLUMN,2026-08-18-20260818T084021Z
BOTH,1622620,Dinamo Zagreb vs Viking,UEFA Champions League,2,2,OVER_2_5,OVER_2_5,0.862,0.8468,0.879125,0.863925,135.23,133.806,ACCURACY_CORE,ACCURACY_CORE,ACCURACY_CORE_PRIORITY;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,ACCURACY_CORE_PRIORITY;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,FAILURE_MODE_LOW_CONVERSION,FAILURE_MODE_LOW_CONVERSION,2026-08-18,2026-08-18T08:40:21+00:00,PRE,COMPARISON,NO_DATE_COLUMN,2026-08-18-20260818T084021Z
