comparison_status,fixture_id,fixture,league,baseline_rank,candidate_v2_rank,baseline_market,candidate_v2_market,baseline_raw_prob,candidate_v2_raw_prob,baseline_calibrated_prob,candidate_v2_calibrated_prob,baseline_confidence_score,candidate_v2_confidence_score,baseline_bucket,candidate_v2_bucket,baseline_main_reason,candidate_v2_main_reason,baseline_primary_risk,candidate_v2_primary_risk,target_date,generated_at,pipeline_mode,candidate_version,source_file_date_check,run_id
CANDIDATE_V2_ONLY,1392226,Leganes vs Mirandes,Segunda División,,1.0,,OVER_1_5,,0.9022,,0.8222,,120.39,,ACCURACY_EXTENDED_STRONG,,ACCURACY_EXTENDED_REVIEW;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,,FAILURE_MODE_LOW_CONVERSION,2026-05-31,2026-05-30T23:48:33+00:00,PRE,COMPARISON,NO_DATE_COLUMN,2026-05-31-20260530T234833Z
BOTH,1492282,RB Bragantino vs Internacional,Serie A,1.0,2.0,OVER_1_5,OVER_1_5,0.8854,0.8872,0.8054,0.8072,116.5,117.003,ACCURACY_EXTENDED_STRONG,ACCURACY_EXTENDED_STRONG,ACCURACY_EXTENDED_REVIEW;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,ACCURACY_EXTENDED_REVIEW;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,FAILURE_MODE_LOW_CONVERSION,FAILURE_MODE_LOW_CONVERSION,2026-05-31,2026-05-30T23:48:33+00:00,PRE,COMPARISON,NO_DATE_COLUMN,2026-05-31-20260530T234833Z
BASELINE_ONLY,1492289,Vasco DA Gama vs Atletico-MG,Serie A,2.0,,OVER_1_5,,0.8563,,0.7763,,109.988,,ACCURACY_EXTENDED_STRONG,,ACCURACY_EXTENDED_REVIEW;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,,FAILURE_MODE_LOW_CONVERSION,,2026-05-31,2026-05-30T23:48:33+00:00,PRE,COMPARISON,NO_DATE_COLUMN,2026-05-31-20260530T234833Z
