comparison_status,fixture_id,fixture,league,baseline_rank,candidate_v2_rank,candidate_v7_rank,baseline_market,candidate_v2_market,candidate_v7_market,candidate_v7_decision,candidate_v7_required_edge,candidate_v7_actual_edge,candidate_v7_drift_status,candidate_v7_clv_direction,candidate_v7_execution_status,target_date,generated_at,pipeline_mode,candidate_version,source_file_date_check,run_id
CANDIDATE_V2,1392226,Leganes vs Mirandes,Segunda División,,1,,,OVER_1_5,,,,,,,,2026-05-31,2026-05-30T23:48:33+00:00,PRE,COMPARISON,NO_DATE_COLUMN,2026-05-31-20260530T234833Z
BASELINE+CANDIDATE_V2,1492282,RB Bragantino vs Internacional,Serie A,1.0,2,,OVER_1_5,OVER_1_5,,,,,,,,2026-05-31,2026-05-30T23:48:33+00:00,PRE,COMPARISON,NO_DATE_COLUMN,2026-05-31-20260530T234833Z
