target_date,generated_at,fixture_id,home_team,away_team,home_sources,away_sources,home_consensus_players,away_consensus_players,home_avg_agreement,away_avg_agreement,home_weighted_agreement,away_weighted_agreement,home_probable_confidence,away_probable_confidence,accepted_home_sources,accepted_away_sources,rejected_home_sources,rejected_away_sources,probable_lineup_gate,missing_reason,source_registry_guard,source_guard,auto_apply,production_change
2026-05-31,2026-05-31T15:41:32+01:00,1392219,Racing Santander,Cadiz,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=6; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=data/processed/today/2026-05-31/vsigma_probable_lineup_sources.csv;data/processed/governance/vsigma_probable_lineup_sources.csv;data/processed/today/2026-05-31/probable_lineup_sources.csv;data/processed/governance/probable_lineup_sources.csv,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1392220,Almeria,Valladolid,0,1,0,11,0.000,0.000,0.000,1.000,NO_APPROVED_SOURCES,LOW_WEIGHTED,,sports_gambler,,,PROBABLE_XI_CONSENSUS_LOW,none,registry_sources=15; accepted_rows=6; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=data/processed/today/2026-05-31/vsigma_probable_lineup_sources.csv;data/processed/governance/vsigma_probable_lineup_sources.csv;data/processed/today/2026-05-31/probable_lineup_sources.csv;data/processed/governance/probable_lineup_sources.csv,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1392216,Zaragoza,Malaga,1,0,11,0,0.000,0.000,1.000,0.000,LOW_WEIGHTED,NO_APPROVED_SOURCES,sports_gambler,,,,PROBABLE_XI_CONSENSUS_LOW,none,registry_sources=15; accepted_rows=6; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=data/processed/today/2026-05-31/vsigma_probable_lineup_sources.csv;data/processed/governance/vsigma_probable_lineup_sources.csv;data/processed/today/2026-05-31/probable_lineup_sources.csv;data/processed/governance/probable_lineup_sources.csv,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1392217,Cordoba,Huesca,0,1,0,11,0.000,0.000,0.000,1.000,NO_APPROVED_SOURCES,LOW_WEIGHTED,,sports_gambler,,,PROBABLE_XI_CONSENSUS_LOW,none,registry_sources=15; accepted_rows=6; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=data/processed/today/2026-05-31/vsigma_probable_lineup_sources.csv;data/processed/governance/vsigma_probable_lineup_sources.csv;data/processed/today/2026-05-31/probable_lineup_sources.csv;data/processed/governance/probable_lineup_sources.csv,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1492286,Palmeiras,Chapecoense-sc,2,0,11,0,0.100,0.000,0.620,0.000,MEDIUM_WEIGHTED,NO_APPROVED_SOURCES,sports_gambler|sportsmole,,,,PROBABLE_XI_CONSENSUS_LOW,none,registry_sources=15; accepted_rows=6; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=data/processed/today/2026-05-31/vsigma_probable_lineup_sources.csv;data/processed/governance/vsigma_probable_lineup_sources.csv;data/processed/today/2026-05-31/probable_lineup_sources.csv;data/processed/governance/probable_lineup_sources.csv,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1392224,Deportivo La Coruna,Las Palmas,0,1,0,11,0.000,0.000,0.000,1.000,NO_APPROVED_SOURCES,LOW_WEIGHTED,,sports_gambler,,,PROBABLE_XI_CONSENSUS_LOW,none,registry_sources=15; accepted_rows=6; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=data/processed/today/2026-05-31/vsigma_probable_lineup_sources.csv;data/processed/governance/vsigma_probable_lineup_sources.csv;data/processed/today/2026-05-31/probable_lineup_sources.csv;data/processed/governance/probable_lineup_sources.csv,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1392226,Leganes,Mirandes,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=6; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=data/processed/today/2026-05-31/vsigma_probable_lineup_sources.csv;data/processed/governance/vsigma_probable_lineup_sources.csv;data/processed/today/2026-05-31/probable_lineup_sources.csv;data/processed/governance/probable_lineup_sources.csv,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1392221,Castellón,Eibar,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=6; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=data/processed/today/2026-05-31/vsigma_probable_lineup_sources.csv;data/processed/governance/vsigma_probable_lineup_sources.csv;data/processed/today/2026-05-31/probable_lineup_sources.csv;data/processed/governance/probable_lineup_sources.csv,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1494192,Vasteras SK FK,IFK Goteborg,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=6; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=data/processed/today/2026-05-31/vsigma_probable_lineup_sources.csv;data/processed/governance/vsigma_probable_lineup_sources.csv;data/processed/today/2026-05-31/probable_lineup_sources.csv;data/processed/governance/probable_lineup_sources.csv,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1546340,Gent,Genk,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=6; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=data/processed/today/2026-05-31/vsigma_probable_lineup_sources.csv;data/processed/governance/vsigma_probable_lineup_sources.csv;data/processed/today/2026-05-31/probable_lineup_sources.csv;data/processed/governance/probable_lineup_sources.csv,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1494188,BK Hacken,Hammarby FF,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=6; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=data/processed/today/2026-05-31/vsigma_probable_lineup_sources.csv;data/processed/governance/vsigma_probable_lineup_sources.csv;data/processed/today/2026-05-31/probable_lineup_sources.csv;data/processed/governance/probable_lineup_sources.csv,NO,NO
