target_date,generated_at,fixture_id,home_team,away_team,home_sources,away_sources,home_consensus_players,away_consensus_players,home_avg_agreement,away_avg_agreement,home_weighted_agreement,away_weighted_agreement,home_probable_confidence,away_probable_confidence,accepted_home_sources,accepted_away_sources,rejected_home_sources,rejected_away_sources,probable_lineup_gate,missing_reason,source_registry_guard,source_guard,auto_apply,production_change
2026-05-31,2026-05-31T15:41:32+01:00,1392219,Racing Santander,Cadiz,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=6; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=data/processed/today/2026-05-31/vsigma_probable_lineup_sources.csv;data/processed/governance/vsigma_probable_lineup_sources.csv;data/processed/today/2026-05-31/probable_lineup_sources.csv;data/processed/governance/probable_lineup_sources.csv,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1396990,Burgos,FC Andorra,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=6; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=data/processed/today/2026-05-31/vsigma_probable_lineup_sources.csv;data/processed/governance/vsigma_probable_lineup_sources.csv;data/processed/today/2026-05-31/probable_lineup_sources.csv;data/processed/governance/probable_lineup_sources.csv,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1492282,RB Bragantino,Internacional,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=6; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=data/processed/today/2026-05-31/vsigma_probable_lineup_sources.csv;data/processed/governance/vsigma_probable_lineup_sources.csv;data/processed/today/2026-05-31/probable_lineup_sources.csv;data/processed/governance/probable_lineup_sources.csv,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1492289,Vasco DA Gama,Atletico-MG,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=6; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=data/processed/today/2026-05-31/vsigma_probable_lineup_sources.csv;data/processed/governance/vsigma_probable_lineup_sources.csv;data/processed/today/2026-05-31/probable_lineup_sources.csv;data/processed/governance/probable_lineup_sources.csv,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1494186,Degerfors IF,IF Brommapojkarna,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=6; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=data/processed/today/2026-05-31/vsigma_probable_lineup_sources.csv;data/processed/governance/vsigma_probable_lineup_sources.csv;data/processed/today/2026-05-31/probable_lineup_sources.csv;data/processed/governance/probable_lineup_sources.csv,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1522821,Kauno Žalgiris,FK Zalgiris Vilnius,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=6; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=data/processed/today/2026-05-31/vsigma_probable_lineup_sources.csv;data/processed/governance/vsigma_probable_lineup_sources.csv;data/processed/today/2026-05-31/probable_lineup_sources.csv;data/processed/governance/probable_lineup_sources.csv,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1520703,Ceara,Operario-PR,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=6; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=data/processed/today/2026-05-31/vsigma_probable_lineup_sources.csv;data/processed/governance/vsigma_probable_lineup_sources.csv;data/processed/today/2026-05-31/probable_lineup_sources.csv;data/processed/governance/probable_lineup_sources.csv,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1520706,Londrina,Vila Nova,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=6; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=data/processed/today/2026-05-31/vsigma_probable_lineup_sources.csv;data/processed/governance/vsigma_probable_lineup_sources.csv;data/processed/today/2026-05-31/probable_lineup_sources.csv;data/processed/governance/probable_lineup_sources.csv,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1520708,São Bernardo,Novorizontino,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=6; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=data/processed/today/2026-05-31/vsigma_probable_lineup_sources.csv;data/processed/governance/vsigma_probable_lineup_sources.csv;data/processed/today/2026-05-31/probable_lineup_sources.csv;data/processed/governance/probable_lineup_sources.csv,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1526835,Anápolis,Maranhão,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=6; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=data/processed/today/2026-05-31/vsigma_probable_lineup_sources.csv;data/processed/governance/vsigma_probable_lineup_sources.csv;data/processed/today/2026-05-31/probable_lineup_sources.csv;data/processed/governance/probable_lineup_sources.csv,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1526840,Guarani Campinas,Amazonas,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=6; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=data/processed/today/2026-05-31/vsigma_probable_lineup_sources.csv;data/processed/governance/vsigma_probable_lineup_sources.csv;data/processed/today/2026-05-31/probable_lineup_sources.csv;data/processed/governance/probable_lineup_sources.csv,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1526841,Inter De Limeira,Ypiranga-RS,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=6; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=data/processed/today/2026-05-31/vsigma_probable_lineup_sources.csv;data/processed/governance/vsigma_probable_lineup_sources.csv;data/processed/today/2026-05-31/probable_lineup_sources.csv;data/processed/governance/probable_lineup_sources.csv,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1526843,Santa Cruz,Ferroviária,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=6; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=data/processed/today/2026-05-31/vsigma_probable_lineup_sources.csv;data/processed/governance/vsigma_probable_lineup_sources.csv;data/processed/today/2026-05-31/probable_lineup_sources.csv;data/processed/governance/probable_lineup_sources.csv,NO,NO
2026-05-31,2026-05-31T15:41:32+01:00,1495696,AC Oulu,FF Jaro,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=6; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=data/processed/today/2026-05-31/vsigma_probable_lineup_sources.csv;data/processed/governance/vsigma_probable_lineup_sources.csv;data/processed/today/2026-05-31/probable_lineup_sources.csv;data/processed/governance/probable_lineup_sources.csv,NO,NO
