ledger_id,target_date,generated_at,fixture_id,league,home_team,away_team,market_primary,candidate_present,official_action,executable_now,final_block_reason,retry_allowed,next_retry_time,execution_family_status,decision_source,competition_calibrated_prob,accuracy_confidence_score,accuracy_primary_risk,resolver_run_id,cloud_summary_status,is_actionable,is_non_actionable,is_expired,is_waiting,is_blocked,is_technical_review
2026-05-31::1492282::OVER_1_5::WAIT,2026-05-31,2026-05-31T09:27:48+01:00,1492282.0,Serie A,RB Bragantino,Internacional,OVER_1_5,YES,WAIT,NO,OUTSIDE_PRELOCK_WINDOW,YES,2026-05-31T14:00+01:00,WAITING_FOR_WINDOW,vsigma_today_competition_top.csv,0.8054,115.754,FAILURE_MODE_LOW_CONVERSION,2026-05-31-20260531T082738Z,WAITING_FOR_WINDOW,NO,YES,NO,YES,NO,NO
2026-05-31::1492282::OVER_1_5::NO_BET,2026-05-31,2026-05-31T19:56:47+01:00,1492282.0,Serie A,RB Bragantino,Internacional,OVER_1_5,YES,NO_BET,NO,KICKOFF_ALREADY_PASSED,NO,,EXPIRED,vsigma_today_competition_top.csv,0.8054,115.754,FAILURE_MODE_LOW_CONVERSION,2026-05-31-20260531T082738Z,EXPIRED,NO,YES,YES,NO,NO,NO
