date,result,provider,fixtures_returned,fixture_id,status_short,home_team,away_team,score_fulltime_home,score_fulltime_away
2026-05-31,OK,API-SPORTS_DIRECT,622.0,,,,,,
2026-05-31T13:00:00+01:00,MATCHED,,,1494186.0,FT,Degerfors IF,IF Brommapojkarna,2.0,2.0
2026-05-31T13:00:00+01:00,MATCHED,,,1494188.0,FT,BK Hacken,Hammarby FF,3.0,2.0
2026-05-31T13:00:00+01:00,MATCHED,,,1494192.0,FT,Vasteras SK FK,IFK Goteborg,4.0,5.0
2026-05-31T15:00:00+01:00,MATCHED,,,1492282.0,FT,RB Bragantino,Internacional,3.0,1.0
2026-05-31T17:30:00+01:00,MATCHED,,,1392216.0,FT,Zaragoza,Malaga,0.0,2.0
2026-05-31T17:30:00+01:00,MATCHED,,,1392219.0,FT,Racing Santander,Cadiz,4.0,1.0
2026-05-31T17:30:00+01:00,MATCHED,,,1392220.0,FT,Almeria,Valladolid,1.0,0.0
2026-05-31T17:30:00+01:00,MATCHED,,,1392221.0,FT,Castellón,Eibar,2.0,1.0
2026-05-31T17:30:00+01:00,MATCHED,,,1392224.0,FT,Deportivo La Coruna,Las Palmas,1.0,2.0
2026-05-31T17:30:00+01:00,MATCHED,,,1396990.0,FT,Burgos,FC Andorra,1.0,0.0
2026-05-31T17:30:00+01:00,MATCHED,,,1546340.0,PEN,Gent,Genk,0.0,0.0
2026-05-31T20:00:00+01:00,MATCHED,,,1392217.0,FT,Cordoba,Huesca,1.0,1.0
2026-05-31T20:00:00+01:00,MATCHED,,,1392226.0,FT,Leganes,Mirandes,1.0,0.0
2026-05-31T20:00:00+01:00,MATCHED,,,1492286.0,FT,Palmeiras,Chapecoense-sc,1.0,0.0
2026-05-31T20:00:00+01:00,MATCHED,,,1492289.0,FT,Vasco DA Gama,Atletico-MG,0.0,1.0
