target_date,generated_at,fixture_id,home_team,away_team,team_side,team_id,team_name,xi_source,xi_status,formation,confidence,player_1,player_2,player_3,player_4,player_5,player_6,player_7,player_8,player_9,player_10,player_11,unavailable_count,unavailable_names,note,auto_apply,production_change
2026-06-11,2026-06-11T20:44:55+01:00,1489369,Mexico,South Africa,home,16,Mexico,API_OFFICIAL_LINEUPS,OFFICIAL_XI,4-1-4-1,HIGH,Raúl Rangel,Israel Reyes,César Montes,Johan Vásquez,Jesús Gallardo,Erik Lira,Roberto Alvarado,Brian Gutiérrez,Álvaro Fidalgo,Julián Quiñones,Raúl Jiménez,,,Official API lineup. Safe for final forecast update.,NO,NO
2026-06-11,2026-06-11T20:44:55+01:00,1489369,Mexico,South Africa,away,1531,South Africa,API_OFFICIAL_LINEUPS,OFFICIAL_XI,5-3-2,HIGH,Ronwen Williams,Khuliso Mudau,Nkosinathi Sibisi,Ime Okon,Mbekezeli Mbokazi,Aubrey Modiba,Teboho Mokoena,Siphephelo Sithole,Jayden Adams,Iqraam Rayners,Lyle Foster,,,Official API lineup. Safe for final forecast update.,NO,NO
