target_date,generated_at,board_rank,fixture_id,home_team,away_team,final_decision,board_bucket,primary_market,secondary_market,stake_band,execution_permission,portfolio_status,context_level,forecast_confidence,forecast_warning,translation_score,kill_switch,stat_profile,key_stat_forecast,prelock_trigger,live_trigger,cancel_trigger,operator_note,source_guard,auto_apply,production_change
2026-06-10,2026-06-10T19:13:02+01:00,1,1548055,Malaga,Las Palmas,NO_BET,BLOCKED,OVER_1_5_SUPPORTED,OVER_2_5_REVIEW,NO_STAKE,NO,API_LOW_COVERAGE_BLOCKED,L7_SOFT_DOWN,MEDIUM,API_EARLY_LOW_SUPPORT; API_LINEUPS_MISSING; LINEUPS_CONFIRMED_BY_FORCED_API,17,NONE; API_LOW_COVERAGE,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | MEDIUM_CARD_RISK | BOTH_TEAMS_THREAT,goals 2.30-3.83 | shots 22-33 | SoT 6-12 | corners 8-14 | cards 2-5,price remains above minimum; market not over-compressed; lineups confirmed; lineups confirmed by forced API fixture-id refresh,"live tempo: early shots, SoT threat, box entries, pressure and no dead 0-0 rhythm",bad or incomplete lineups; api coverage gate: wait official lineups or live only,No prematch serious stake; require live tempo and chance confirmation.; api_gate=EARLY_WATCH_MORE_DATA_REQUIRED; coverage_score=80.0; missing=lineup_coverage=CONFIRMED_BY_FORCED_API_LINEUPS; injuries_coverage=NONE; api_gate=WAIT_LINEUPS_OR_LIVE_ONLY; coverage_score=65.0; missing=lineup_coverage=CONFIRMED_BY_FORCED_API_LINEUPS; injuries_coverage=NONE; api_gate=LOW_COVERAGE_NO_BET; coverage_score=47.5; missing=lineup_coverage=CONFIRMED_BY_FORCED_API_LINEUPS; injuries_coverage=NONE; standings_coverage=PARTIAL; odds_coverage=NONE,DATED_INPUT_ONLY; API_COVERAGE_GATE_V2; FORCED_API_LINEUP_BRIDGE,NO,NO
2026-06-10,2026-06-10T19:13:02+01:00,2,1546281,Cape Town City,Magesi,NO_BET,BLOCKED,NO_CLEAR_STAT_MARKET,NONE,NO_STAKE,NO,NO_PORTFOLIO_CONTEXT,,LOW,PARTIAL_RECENT_STATS; SHOT_SAMPLE_WEAK; CORNER_SAMPLE_WEAK; CARD_SAMPLE_WEAK; API_COVERAGE_UNKNOWN; LINEUPS_CONFIRMED_BY_FORCED_API,-42,LOW_FORECAST_CONFIDENCE,MEDIUM_TEMPO | MEDIUM_SHOT_VOLUME | MEDIUM_CORNER_VOLUME | MEDIUM_CARD_RISK | BALANCED_THREAT,goals 1.58-3.12 | shots 17-29 | SoT 5-11 | corners 6-13 | cards 2-6,none; lineups confirmed by forced API fixture-id refresh,none,default no bet; low forecast confidence,No execution permission.; api_gate=LOW_COVERAGE_NO_BET; coverage_score=20.0; missing=recent_stats_coverage=NONE; lineup_coverage=CONFIRMED_BY_FORCED_API_LINEUPS; injuries_coverage=NONE; standings_coverage=NONE; odds_coverage=NONE; api_gate=UNKNOWN; coverage_score=; missing=unknown,DATED_INPUT_ONLY; API_COVERAGE_GATE_V2; FORCED_API_LINEUP_BRIDGE,NO,NO
