experiment_id,display_name,current_status,allowed_to_select_officially,total_days_observed,pick_days,no_bet_days,picks_total,settled_picks,wins,losses,hit_rate,profit_units,roi_percent,brier_score,max_drawdown,average_calibrated_probability,market_mix,failure_mode_mix,comparison_vs_official,promotion_recommendation,promotion_reason,required_next_evidence
OFFICIAL_BASELINE,vSIGMA Competition Accuracy Mode + Probability Calibration,OFFICIAL,True,7,7,1,15,7,4,3,57.142857,-1.17,-16.714286,0.309746,-0.64,0.808641,OVER_1_5:11; OVER_2_5:3; UNDER_3_5:1,FAILURE_MODE_LOW_CONVERSION:28; market_fit=SAFE_OK:15; LOW_CONVERSION:14; market=OVER_1_5:11; market=OVER_2_5:3; edge=0.202:2; FAILURE_MODE_AVALANCHE_RISK:2; edge=0.136:1; edge=0.141:1; edge=0.240:1; edge=0.123:1; edge=0.188:1; edge=0.167:1; edge=0.126:1; edge=0.259:1; edge=0.160:1; edge=0.170:1; edge=0.252:1; edge=0.191:1; market=UNDER_3_5:1; edge=0.176:1; AVALANCHE_RISK:1,official reference,KEEP_OFFICIAL_BASELINE,Official baseline remains frozen; governance does not alter selection logic.,Continue accumulating official settled outcomes and compare challengers against it.
CANDIDATE_V2_SCHEDULE_ANOMALY,Candidate v2 Schedule Strength + Anomaly Cleaning,SHADOW,False,7,7,1,14,6,3,3,50.0,-1.69,-28.166667,0.349927,-1.09,0.807196,OVER_1_5:11; OVER_2_5:2; UNDER_3_5:1,FAILURE_MODE_LOW_CONVERSION:26; market_fit=SAFE_OK:14; LOW_CONVERSION:13; market=OVER_1_5:11; market=OVER_2_5:2; edge=0.173:2; FAILURE_MODE_AVALANCHE_RISK:2; edge=0.135:1; edge=0.136:1; edge=0.201:1; edge=0.222:1; edge=0.199:1; edge=0.190:1; edge=0.169:1; edge=0.126:1; edge=0.246:1; edge=0.154:1; edge=0.248:1; edge=0.194:1; market=UNDER_3_5:1; AVALANCHE_RISK:1,hit:worse; roi:worse; profit:worse; brier:worse; drawdown:worse,SAMPLE_TOO_SMALL,Only 6 settled picks; candidate cannot be promoted before 30 settled picks.,Continue shadow tracking with immutable ledger outcomes.
CANDIDATE_V3_ODDS_DEPTH,Candidate v3 Odds Structure Depth,NOT_PROMOTED,False,8,0,8,0,0,0,0,,0.0,,,0.0,,,,hit:insufficient; roi:insufficient; profit:better; brier:insufficient; drawdown:better,AUDIT_ONLY,"Registry marks this experiment as audit-only, so it is not promotion eligible.",Keep as an audit comparator unless registry governance explicitly changes its role.
CANDIDATE_V4_O25_FIREWALL,Candidate v4 O2.5 Low Conversion Firewall,SHADOW,False,7,7,1,13,6,3,3,50.0,-1.69,-28.166667,0.349927,-1.09,0.807043,OVER_1_5:12; UNDER_3_5:1,FAILURE_MODE_LOW_CONVERSION:24; market_fit=SAFE_OK:13; LOW_CONVERSION:12; market=OVER_1_5:11; edge=0.173:2; FAILURE_MODE_AVALANCHE_RISK:2; edge=0.135:1; edge=0.136:1; edge=0.201:1; edge=0.222:1; edge=0.199:1; edge=0.190:1; edge=0.169:1; edge=0.126:1; edge=0.154:1; market=OVER_2_5:1; edge=0.248:1; edge=0.194:1; market=UNDER_3_5:1; AVALANCHE_RISK:1,hit:worse; roi:worse; profit:worse; brier:worse; drawdown:worse,SAMPLE_TOO_SMALL,Only 6 settled picks; candidate cannot be promoted before 30 settled picks.,Continue shadow tracking with immutable ledger outcomes.
CANDIDATE_V5_PLAYER_IMPACT,Candidate v5 Player Impact Layer,SHADOW,False,7,7,1,14,6,3,3,50.0,-1.69,-28.166667,0.349927,-1.09,0.807768,OVER_1_5:11; OVER_2_5:2; UNDER_3_5:1,FAILURE_MODE_LOW_CONVERSION:26; market_fit=SAFE_OK:14; LOW_CONVERSION:13; market=OVER_1_5:11; market=OVER_2_5:2; edge=0.173:2; FAILURE_MODE_AVALANCHE_RISK:2; edge=0.135:1; edge=0.136:1; edge=0.201:1; edge=0.222:1; edge=0.199:1; edge=0.190:1; edge=0.169:1; edge=0.126:1; edge=0.246:1; edge=0.154:1; edge=0.248:1; edge=0.194:1; market=UNDER_3_5:1; AVALANCHE_RISK:1,hit:worse; roi:worse; profit:worse; brier:worse; drawdown:worse,SAMPLE_TOO_SMALL,Only 6 settled picks; candidate cannot be promoted before 30 settled picks.,Continue shadow tracking with immutable ledger outcomes.
CANDIDATE_V6_API_PREDICTIONS,Candidate v6 API Predictions Benchmark,AUDIT_ONLY,False,7,7,1,13,6,3,3,50.0,-1.69,-28.166667,0.349649,-1.09,0.808879,OVER_1_5:11; OVER_2_5:1; UNDER_3_5:1,FAILURE_MODE_LOW_CONVERSION:24; market_fit=SAFE_OK:13; LOW_CONVERSION:12; market=OVER_1_5:11; edge=0.173:2; FAILURE_MODE_AVALANCHE_RISK:2; edge=0.135:1; edge=0.136:1; edge=0.201:1; edge=0.222:1; edge=0.199:1; edge=0.190:1; edge=0.169:1; edge=0.126:1; market=OVER_2_5:1; edge=0.246:1; edge=0.154:1; edge=0.194:1; market=UNDER_3_5:1; AVALANCHE_RISK:1,hit:worse; roi:worse; profit:worse; brier:worse; drawdown:worse,AUDIT_ONLY,"Registry marks this experiment as audit-only, so it is not promotion eligible.",Keep as an audit comparator unless registry governance explicitly changes its role.
CANDIDATE_V7_PRICE_DISCIPLINE,Candidate v7 Price Discipline + CLV + Drift Execution Guard,SHADOW,False,7,6,3,9,1,1,0,100.0,0.36,36.0,0.020079,0.0,0.811186,OVER_1_5:6; OVER_2_5:2; UNDER_3_5:1,FAILURE_MODE_LOW_CONVERSION:16; market_fit=SAFE_OK:9; LOW_CONVERSION:8; market=OVER_1_5:6; market=OVER_2_5:2; edge=0.173:2; FAILURE_MODE_AVALANCHE_RISK:2; edge=0.201:1; edge=0.222:1; edge=0.190:1; edge=0.169:1; edge=0.246:1; edge=0.154:1; edge=0.248:1; market=UNDER_3_5:1; AVALANCHE_RISK:1,hit:better; roi:better; profit:better; brier:better; drawdown:better,SAMPLE_TOO_SMALL,Only 1 settled picks; candidate cannot be promoted before 30 settled picks.,Continue shadow tracking with immutable ledger outcomes.
