input_index,fixture_id,home,away,skip_reason,raw_market
1,1494194,Degerfors IF,Malmo FF,UNSUPPORTED_MARKET,NO_CLEAR_STAT_MARKET
2,1506988,Jeonbuk Motors,Gangwon FC,UNSUPPORTED_MARKET,NO_CLEAR_STAT_MARKET
