target_date,generated_at,metric,rows_evaluated,hit_rate,avg_abs_error_mid,bias_direction,calibration_status,queue_decision,shadow_priority,sample_gate,threshold_gate,patch_candidate,shadow_test_plan,promotion_gate,model_area,operator_note,auto_apply_allowed,source_guard,auto_apply,production_change
2026-05-28,2026-05-28T19:20:25+01:00,total_cards,6,0.833,1.50,OVER_ESTIMATE,CALIBRATION_OK,NO_PATCH_STABLE,NONE,WATCH_SAMPLE,STABLE,NONE,NONE,NO_PROMOTION,card_model,STABLE,NO,LEDGER_DATED_FALLBACK,NO,NO
2026-05-28,2026-05-28T19:20:25+01:00,total_corners,8,0.625,2.62,OVER_ESTIMATE,MODEL_OVER_ESTIMATING,PROMOTE_TO_SHADOW_TEST,HIGH,SHADOW_SAMPLE,CRITICAL_SIGNAL,CORNER_DOWNSHIFT_SHADOW,SHADOW_3_TO_5_DAYS,MANUAL_PROMOTION_ONLY,corner_model,SHADOW_TEST_ONLY,NO,LEDGER_DATED_FALLBACK,NO,NO
2026-05-28,2026-05-28T19:20:25+01:00,total_fouls,9,0.667,7.78,OVER_ESTIMATE,MODEL_OVER_ESTIMATING,PROMOTE_TO_SHADOW_TEST,HIGH,SHADOW_SAMPLE,CRITICAL_SIGNAL,FOUL_BASELINE_DOWNSHIFT_SHADOW,SHADOW_3_TO_5_DAYS,MANUAL_PROMOTION_ONLY,foul_model,SHADOW_TEST_ONLY,NO,LEDGER_DATED_FALLBACK,NO,NO
2026-05-28,2026-05-28T19:20:25+01:00,total_goals,9,0.556,0.86,OVER_ESTIMATE,MODEL_OVER_ESTIMATING,PROMOTE_TO_SHADOW_TEST,HIGH,SHADOW_SAMPLE,CRITICAL_SIGNAL,GOAL_PRESSURE_DOWNSHIFT_SHADOW,SHADOW_3_TO_5_DAYS,MANUAL_PROMOTION_ONLY,goal_model,SHADOW_TEST_ONLY,NO,LEDGER_DATED_FALLBACK,NO,NO
2026-05-28,2026-05-28T19:20:25+01:00,total_shots,9,0.778,4.56,OVER_ESTIMATE,CALIBRATION_OK,NO_PATCH_STABLE,NONE,SHADOW_SAMPLE,STABLE,NONE,NONE,NO_PROMOTION,shot_volume_model,STABLE,NO,LEDGER_DATED_FALLBACK,NO,NO
2026-05-28,2026-05-28T19:20:25+01:00,total_sot,8,1.000,1.50,BALANCED_OR_ON_RANGE,CALIBRATION_OK,NO_PATCH_STABLE,NONE,SHADOW_SAMPLE,STABLE,NONE,NONE,NO_PROMOTION,sot_model,STABLE,NO,LEDGER_DATED_FALLBACK,NO,NO
