generated_at,metric,days_observed,total_rows_evaluated,weighted_hit_rate,weighted_avg_abs_error_mid,dominant_bias,dominant_bias_days,latest_status,latest_severity,memory_decision,patch_candidate,recommended_next_action,auto_apply_allowed,source_guard,production_change
2026-05-27T18:47:44+01:00,total_cards,2,8,0.750,2.38,UNDER_ESTIMATE,2,CALIBRATION_OK,LOW,ACCUMULATE_MORE_SAMPLE,NO,Keep collecting post-match calibration. Minimum gate: >=10 evaluated rows across >=2 days.,NO,DATED_INPUT_ONLY,NO
2026-05-27T18:47:44+01:00,total_corners,2,9,0.556,3.11,OVER_ESTIMATE,2,MODEL_OVER_ESTIMATING,LOW,ACCUMULATE_MORE_SAMPLE,NO,Keep collecting post-match calibration. Minimum gate: >=10 evaluated rows across >=2 days.,NO,DATED_INPUT_ONLY,NO
2026-05-27T18:47:44+01:00,total_fouls,2,9,0.778,3.78,UNDER_ESTIMATE,1,MODEL_UNDER_ESTIMATING,HIGH,ACCUMULATE_MORE_SAMPLE,NO,Keep collecting post-match calibration. Minimum gate: >=10 evaluated rows across >=2 days.,NO,DATED_INPUT_ONLY,NO
2026-05-27T18:47:44+01:00,total_goals,2,10,0.100,1.25,OVER_ESTIMATE,2,MODEL_OVER_ESTIMATING,HIGH,PATCH_CANDIDATE_REVIEW,YES_REVIEW_ONLY,Review lowering total_goals projection/range for matching profiles; do not auto-apply.,NO,DATED_INPUT_ONLY,NO
2026-05-27T18:47:44+01:00,total_shots,2,9,0.667,5.78,OVER_ESTIMATE,1,MODEL_OVER_ESTIMATING,HIGH,ACCUMULATE_MORE_SAMPLE,NO,Keep collecting post-match calibration. Minimum gate: >=10 evaluated rows across >=2 days.,NO,DATED_INPUT_ONLY,NO
2026-05-27T18:47:44+01:00,total_sot,2,9,0.555,2.67,UNDER_ESTIMATE,1,MODEL_UNDER_ESTIMATING,HIGH,ACCUMULATE_MORE_SAMPLE,NO,Keep collecting post-match calibration. Minimum gate: >=10 evaluated rows across >=2 days.,NO,DATED_INPUT_ONLY,NO
