target_date,generated_at,metric,rows_evaluated,hit_rate,avg_abs_error_mid,bias_direction,calibration_status,severity,recommended_adjustment,model_area,auto_apply_allowed,operator_note,source_guard,auto_apply,production_change
2026-05-28,2026-05-28T19:20:25+01:00,total_cards,6,0.833,1.50,OVER_ESTIMATE,CALIBRATION_OK,LOW,Keep current calibration.,total_cards,NO,Metric is inside acceptable range.,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T19:20:25+01:00,total_corners,8,0.625,2.62,OVER_ESTIMATE,MODEL_OVER_ESTIMATING,LOW,Reduce corner projection: lower shot_corner_nudge cap and reduce corner range high by 1 for high-tempo profiles.,build_match_stat_forecasts.corner_model,NO,Model is overestimating corners.,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T19:20:25+01:00,total_fouls,9,0.667,7.78,OVER_ESTIMATE,MODEL_OVER_ESTIMATING,HIGH,Review metric-specific formula after more post-match samples.,build_match_stat_forecasts.total_fouls,NO,Mixed calibration signal.,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T19:20:25+01:00,total_goals,9,0.556,0.86,OVER_ESTIMATE,MODEL_OVER_ESTIMATING,MEDIUM,Reduce goal projection pressure: lower goal_nudge and/or reduce projected-goals weight by 5-10% for similar profiles.,build_match_stat_forecasts.goal_model,NO,Model is overestimating total goals.,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T19:20:25+01:00,total_shots,9,0.778,4.56,OVER_ESTIMATE,CALIBRATION_OK,LOW,Keep current calibration.,total_shots,NO,Metric is inside acceptable range.,DATED_INPUT_ONLY,NO,NO
2026-05-28,2026-05-28T19:20:25+01:00,total_sot,8,1.000,1.50,BALANCED_OR_ON_RANGE,CALIBRATION_OK,LOW,Keep current calibration.,total_sot,NO,Metric is inside acceptable range.,DATED_INPUT_ONLY,NO,NO
