target_date,generated_at,fixture_id,home_team,away_team,forecast_confidence,forecast_warning,actual_status,actual_home_goals,actual_away_goals,actual_total_goals,pred_home_goals_low,pred_home_goals_mid,pred_home_goals_high,home_goals_hit,home_goals_abs_error_mid,pred_away_goals_low,pred_away_goals_mid,pred_away_goals_high,away_goals_hit,away_goals_abs_error_mid,pred_total_goals_low,pred_total_goals_mid,pred_total_goals_high,total_goals_hit,total_goals_abs_error_mid,actual_home_sot,actual_away_sot,actual_total_sot,pred_total_sot_low,pred_total_sot_mid,pred_total_sot_high,total_sot_hit,total_sot_abs_error_mid,actual_home_corners,actual_away_corners,actual_total_corners,total_corners_hit,total_corners_abs_error_mid,actual_home_cards,actual_away_cards,actual_total_cards,total_cards_hit,total_cards_abs_error_mid,actual_home_fouls,actual_away_fouls,actual_total_fouls,total_fouls_hit,total_fouls_abs_error_mid,available_actual_metrics,range_hits,range_misses,forecast_grade,calibration_note,source_guard,auto_apply,production_change
2026-05-29,2026-05-29T19:16:46+01:00,1494678,Fredrikstad,Start,MEDIUM,LINEUPS_INACTIVE,2H,,,,1.11,1.62,2.14,ACTUAL_UNAVAILABLE,,1.02,1.50,1.98,ACTUAL_UNAVAILABLE,,2.35,3.12,3.90,ACTUAL_UNAVAILABLE,,,,,7,10,13,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,none,0,0,NO_ACTUALS_YET,v45.1 refuses to grade non-final fixtures; wait for FT/AET/PEN and post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,1545797,Monza,Catanzaro,MEDIUM,LINEUPS_INACTIVE,1H,,,,1.20,1.75,2.29,ACTUAL_UNAVAILABLE,,0.88,1.31,1.74,ACTUAL_UNAVAILABLE,,2.30,3.06,3.83,ACTUAL_UNAVAILABLE,,,,,8,11,14,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,none,0,0,NO_ACTUALS_YET,v45.1 refuses to grade non-final fixtures; wait for FT/AET/PEN and post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,1494683,Valerenga,Kristiansund BK,MEDIUM,LINEUPS_INACTIVE,2H,,,,0.79,1.19,1.59,ACTUAL_UNAVAILABLE,,1.16,1.69,2.22,ACTUAL_UNAVAILABLE,,2.15,2.88,3.60,ACTUAL_UNAVAILABLE,,,,,7,10,13,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,none,0,0,NO_ACTUALS_YET,v45.1 refuses to grade non-final fixtures; wait for FT/AET/PEN and post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,1494191,Orgryte IS,IF Elfsborg,MEDIUM,LINEUPS_INACTIVE,2H,,,,0.60,0.94,1.27,ACTUAL_UNAVAILABLE,,1.30,1.88,2.45,ACTUAL_UNAVAILABLE,,2.10,2.81,3.52,ACTUAL_UNAVAILABLE,,,,,6,9,12,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,none,0,0,NO_ACTUALS_YET,v45.1 refuses to grade non-final fixtures; wait for FT/AET/PEN and post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,1535218,America de Cali,Macara,MEDIUM,LINEUPS_INACTIVE,FT,0,0,0,0.93,1.38,1.82,MISS,1.38,0.84,1.25,1.67,MISS,1.25,1.95,2.62,3.30,MISS,2.62,2,4,6,5,7,10,HIT,1.00,3,9,12,HIT,2.00,2,3,5,HIT,0.00,9,11,20,HIT,4.00,home_goals; away_goals; total_goals; total_sot; total_corners; total_cards; total_fouls,4,3,C_RANGE_MIXED,v45.1 grades only final fixtures and only metrics with actual data available; corners/cards/fouls require post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,1535318,Cruzeiro,Barcelona SC,MEDIUM,LINEUPS_INACTIVE,FT,4,0,4,0.93,1.38,1.82,MISS,2.62,0.70,1.06,1.43,MISS,1.06,1.81,2.44,3.07,MISS,1.56,8,2,10,5,8,11,HIT,2.00,6,2,8,HIT,1.00,3,3,6,HIT,0.00,9,9,18,MISS,9.00,home_goals; away_goals; total_goals; total_sot; total_corners; total_cards; total_fouls,3,4,D_RANGE_WEAK,v45.1 grades only final fixtures and only metrics with actual data available; corners/cards/fouls require post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,1535232,Tigre,Alianza Atletico,MEDIUM,LINEUPS_INACTIVE,FT,2,0,2,0.74,1.12,1.51,MISS,0.88,0.60,0.94,1.27,MISS,0.94,1.51,2.06,2.62,HIT,0.06,5,2,7,4,7,9,HIT,0.00,4,1,5,MISS,3.00,2,6,8,MISS,4.00,13,15,28,MISS,6.00,home_goals; away_goals; total_goals; total_sot; total_corners; total_cards; total_fouls,2,5,D_RANGE_WEAK,v45.1 grades only final fixtures and only metrics with actual data available; corners/cards/fouls require post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,1545409,Nice,Saint Etienne,MEDIUM,LINEUPS_INACTIVE; AVAILABILITY_RISK,NS,,,,0.70,1.06,1.43,ACTUAL_UNAVAILABLE,,0.84,1.25,1.67,ACTUAL_UNAVAILABLE,,1.71,2.31,2.92,ACTUAL_UNAVAILABLE,,,,,5,7,10,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,none,0,0,NO_ACTUALS_YET,v45.1 refuses to grade non-final fixtures; wait for FT/AET/PEN and post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,1494676,Aalesund,Ham-Kam,MEDIUM,LINEUPS_INACTIVE; PARTIAL_RECENT_STATS,2H,,,,0.92,1.44,1.96,ACTUAL_UNAVAILABLE,,1.14,1.75,2.36,ACTUAL_UNAVAILABLE,,2.30,3.19,4.07,ACTUAL_UNAVAILABLE,,,,,6,9,12,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,none,0,0,NO_ACTUALS_YET,v45.1 refuses to grade non-final fixtures; wait for FT/AET/PEN and post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,1494682,Rosenborg,Bodo/Glimt,MEDIUM,LINEUPS_INACTIVE; PARTIAL_RECENT_STATS,2H,,,,0.56,0.94,1.31,ACTUAL_UNAVAILABLE,,1.14,1.75,2.36,ACTUAL_UNAVAILABLE,,1.92,2.69,3.45,ACTUAL_UNAVAILABLE,,,,,7,10,14,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,none,0,0,NO_ACTUALS_YET,v45.1 refuses to grade non-final fixtures; wait for FT/AET/PEN and post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
