target_date,generated_at,fixture_id,home_team,away_team,league,country,fixture_date_utc,provider,refresh_status,refresh_note,fixture_status_short,fixture_status_long,fixture_status_elapsed,goals_home,goals_away,score_fulltime_home,score_fulltime_away,score_halftime_home,score_halftime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away,result_ready_for_ledger,api_calls_planned,api_calls_executed,auto_apply,production_change
2026-06-10,2026-06-10T19:15:44+01:00,1495296,Platinum,Hardrock,Premier Soccer League,Zimbabwe,2026-06-10T13:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,0,0,0,0,0,0,,,,,YES,32,23,NO,NO
2026-06-10,2026-06-10T19:15:44+01:00,1495298,Simba Bhora,Ngezi Platinum,Premier Soccer League,Zimbabwe,2026-06-10T13:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,1,0,1,0,1,0,,,,,YES,32,24,NO,NO
2026-06-10,2026-06-10T19:15:44+01:00,1550666,Afrique Football Élite,ASKO,Première Division,Mali,2026-06-10T16:15:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,5,3,5,3,3,1,,,,,YES,32,25,NO,NO
2026-06-10,2026-06-10T19:15:44+01:00,1550667,Onze Créateurs,Bakaridjan,Première Division,Mali,2026-06-10T16:15:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,0,0,0,0,0,0,,,,,YES,32,26,NO,NO
2026-06-10,2026-06-10T19:15:44+01:00,1531060,Shortan,Gazalkent,Pro League A,Uzbekistan,2026-06-10T13:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,0,2,0,2,0,0,,,,,YES,32,27,NO,NO
2026-06-10,2026-06-10T19:15:44+01:00,1524029,WDSC Wolves,Eastern Suburbs,Queensland NPL,Australia,2026-06-10T09:30:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,PST,Match Postponed,,,,,,,,,,,,NO,32,28,NO,NO
2026-06-10,2026-06-10T19:15:44+01:00,1497597,Orebro SK,GIF Sundsvall,Superettan,Sweden,2026-06-10T17:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,2H,Second Half,54,0,0,,,0,0,,,,,NO,32,29,NO,NO
2026-06-10,2026-06-10T19:15:44+01:00,1497600,Varbergs BoIS FC,Norrby IF,Superettan,Sweden,2026-06-10T17:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,2H,Second Half,59,1,0,,,1,0,,,,,NO,32,30,NO,NO
2026-06-10,2026-06-10T19:15:44+01:00,1550668,Excelsior Maassluis,Ijsselmeervogels,Tweede Divisie,Netherlands,2026-06-10T18:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,1H,First Half,13,0,0,,,0,0,,,,,NO,32,31,NO,NO
2026-06-10,2026-06-10T19:15:44+01:00,1550634,Pirmasens,VfR Mannheim,Oberliga - Promotion Round,Germany,2026-06-10T17:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,1H,First Half,45,0,0,,,0,0,,,,,NO,32,32,NO,NO
