target_date,generated_at,fixture_id,league,country,home_team,away_team,fixture_datetime_utc,promotion_status,promotion_reason,source_path,allowed_downstream_use,auto_apply,production_change
2026-06-10,2026-06-12T23:55:22+01:00,1550041,Premier League,Eswatini,Viva Stumbo,Magwanyana,,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1495293,Premier Soccer League,Zimbabwe,Dynamos,Hunters,,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1495299,Premier Soccer League,Zimbabwe,Kariba,Herentals,,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1495296,Premier Soccer League,Zimbabwe,Platinum,Hardrock,,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1495298,Premier Soccer League,Zimbabwe,Simba Bhora,Ngezi Platinum,,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1550666,Première Division,Mali,Afrique Football Élite,ASKO,,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1550667,Première Division,Mali,Onze Créateurs,Bakaridjan,,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1531060,Pro League A,Uzbekistan,Shortan,Gazalkent,,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1524029,Queensland NPL,Australia,WDSC Wolves,Eastern Suburbs,,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1497597,Superettan,Sweden,Orebro SK,GIF Sundsvall,,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1497600,Superettan,Sweden,Varbergs BoIS FC,Norrby IF,,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1550668,Tweede Divisie,Netherlands,Excelsior Maassluis,Ijsselmeervogels,,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1550634,Oberliga - Promotion Round,Germany,Pirmasens,VfR Mannheim,,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1550880,1. Liga Classic - Play-offs,Switzerland,Amical Saint-Prex,Servette II,2026-06-10T19:30:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1550879,1. Liga Classic - Play-offs,Switzerland,YF Juventus,Langenthal,2026-06-10T19:00:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1543394,2. Deild,Iceland,KFG,Hvíti riddarinn,2026-06-10T20:15:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1543392,2. Deild,Iceland,Kári,Selfoss,2026-06-10T20:15:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1543395,2. Deild,Iceland,Magni,Dalvík / Reynir,2026-06-10T20:15:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1487467,3. liga - MSFL,Czech-Republic,Polanka nad Odrou,Zlín II,2026-06-10T16:30:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1487468,3. liga - MSFL,Czech-Republic,Sigma Olomouc II,Třinec,2026-06-10T15:00:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1551268,3. liga - Promotion Play-off,Czech-Republic,Kladno,Ceska Lipa,2026-06-10T17:00:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1550878,Campeonato de Portugal Prio - Promotion Round,Portugal,Leça,Vitória de Sernache,2026-06-10T16:30:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1543273,Carioca A2,Brazil,América RJ,Cabofriense,2026-06-10T18:45:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1543272,Carioca A2,Brazil,CFRJ / Maricá,Bonsucesso,2026-06-10T21:00:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
