target_date,generated_at,ledger_id,fixture_id,league,home_team,away_team,market_primary,official_action,executable_now,final_block_reason,execution_family_status,is_actionable,is_non_actionable,is_expired,competition_calibrated_prob,accuracy_confidence_score,accuracy_primary_risk,result_status,result_source,decision_quality_label,quality_bucket,quality_reason,improvement_signal,recommended_followup
2026-06-10,2026-06-10T19:39:56+01:00,2026-06-10::1548055::OVER_1_5::WAIT,1548055,Segunda División,Malaga,Las Palmas,OVER_1_5,WAIT,NO,OUTSIDE_PRELOCK_WINDOW,WAITING_FOR_WINDOW,NO,YES,NO,0.84486,157.078,FAILURE_MODE_LOW_CONVERSION,UNRESOLVED,/home/runner/work/vsigma/vsigma/data/processed/today/2026-06-10/vsigma_market_results_labeled.csv,WAIT_UNRESOLVED,NEEDS_MORE_DATA,WAIT decision cannot be graded yet; result_status=UNRESOLVED.,WAIT_FOR_POST_RESULTS,Run POST results labeling when finished scores are available.
2026-06-10,2026-06-10T19:39:56+01:00,2026-06-10::1548055::OVER_1_5::NO_BET,1548055,Segunda División,Malaga,Las Palmas,OVER_1_5,NO_BET,NO,ODDS_NOT_AVAILABLE;LINEUPS_NOT_AVAILABLE;AVAILABILITY_NOT_AVAILABLE,DATA_GAP_BLOCKED,NO,YES,NO,0.84486,157.078,FAILURE_MODE_LOW_CONVERSION,UNRESOLVED,/home/runner/work/vsigma/vsigma/data/processed/today/2026-06-10/vsigma_market_results_labeled.csv,NO_BET_UNRESOLVED,NEEDS_MORE_DATA,NO_BET decision cannot be graded yet; result_status=UNRESOLVED.,WAIT_FOR_POST_RESULTS,Run POST results labeling when finished scores are available.
