target_date,generated_at,fixture_id,home_team,away_team,market_hint,before_primary,after_primary,before_permission,after_permission,guard_action,reason,auto_apply,production_change
2026-06-20,2026-06-20T16:22:28+01:00,1551272,Almeria,Malaga,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,OVER_1_5_SUPPORTED,OVER_1_5_SUPPORTED,LIVE_ONLY,LIVE_ONLY,NO_CHANGE,not a proxy inversion,NO,NO
2026-06-20,2026-06-20T16:22:28+01:00,1520732,Ceara,Botafogo SP,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,NO_CLEAR_STAT_MARKET,NO_CLEAR_STAT_MARKET,NO_BET,NO_BET,NO_CHANGE,not a proxy inversion,NO,NO
2026-06-20,2026-06-20T16:22:28+01:00,1520735,Londrina,Athletic Club,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,NO_CLEAR_STAT_MARKET,NO_CLEAR_STAT_MARKET,NO_BET,NO_BET,NO_CHANGE,not a proxy inversion,NO,NO
2026-06-20,2026-06-20T16:22:28+01:00,1520739,Vila Nova,Nautico Recife,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,NO_CLEAR_STAT_MARKET,NO_CLEAR_STAT_MARKET,NO_BET,NO_BET,NO_CHANGE,not a proxy inversion,NO,NO
2026-06-20,2026-06-20T16:22:28+01:00,1522830,Banga,FK Zalgiris Vilnius,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,NO_CLEAR_STAT_MARKET,NO_CLEAR_STAT_MARKET,NO_BET,NO_BET,NO_CHANGE,not a proxy inversion,NO,NO
2026-06-20,2026-06-20T16:22:28+01:00,1522828,Panevėžys,Šiauliai,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,NO_CLEAR_STAT_MARKET,NO_CLEAR_STAT_MARKET,NO_BET,NO_BET,NO_CHANGE,not a proxy inversion,NO,NO
2026-06-20,2026-06-20T16:22:28+01:00,1522829,TransINVEST Vilnius,Kauno Žalgiris,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,NO_CLEAR_STAT_MARKET,NO_CLEAR_STAT_MARKET,NO_BET,NO_BET,NO_CHANGE,not a proxy inversion,NO,NO
2026-06-20,2026-06-20T16:22:28+01:00,1526855,Anápolis,AO Itabaiana,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,NO_CLEAR_STAT_MARKET,NO_CLEAR_STAT_MARKET,NO_BET,NO_BET,NO_CHANGE,not a proxy inversion,NO,NO
2026-06-20,2026-06-20T16:22:28+01:00,1526857,Botafogo PB,Volta Redonda,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,NO_CLEAR_STAT_MARKET,NO_CLEAR_STAT_MARKET,NO_BET,NO_BET,NO_CHANGE,not a proxy inversion,NO,NO
2026-06-20,2026-06-20T16:22:28+01:00,1526863,Santa Cruz,Ypiranga-RS,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,NO_CLEAR_STAT_MARKET,NO_CLEAR_STAT_MARKET,NO_BET,NO_BET,NO_CHANGE,not a proxy inversion,NO,NO
