day,created_at,fixture_id,home,away,predicted_result,predicted_scores,predicted_goal_profile,actual_status,actual_score,actual_result,actual_goals,result_family_eval,score_exact_eval,score_neighbor_eval,goal_profile_eval,goals_2plus_eval,goals_3plus_eval,both_scored_eval,review_status,note,auto_apply,production_change
2026-06-10,2026-06-11T07:40:17+01:00,1548055,Malaga,Las Palmas,AWAY_OR_DRAW,2-2 / 1-2 / 2-3,HIGH_GOALS,NS,PENDING,PENDING,,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,prediction accuracy review only,NO,NO
2026-06-10,2026-06-11T07:40:17+01:00,1546281,Cape Town City,Magesi,AWAY_OR_DRAW,1-1 / 0-1 / 1-2,MODERATE_GOALS,FT,1-1,DRAW,2,HIT,HIT,EXACT,HIT,HIT,MISS,HIT,FINISHED,prediction accuracy review only,NO,NO
