target_date,generated_at,fixture_id,home_team,away_team,market,candidate_origin,market_direction_source,max_execution_permission,real_data_strength,proxy_reason,allowed_downstream_use,source_files,auto_apply,production_change
2026-06-17,2026-06-17T17:47:12+01:00,1495707,Gnistan,Lahti,NO_CLEAR_STAT_MARKET,TRANSLATOR_ONLY,UNKNOWN,NO_BET,8,translator row exists without identifiable shortlist origin,NO_BET_ONLY,vsigma_forecast_market_translator.csv,NO,NO
2026-06-17,2026-06-17T17:47:12+01:00,1495708,SJK,VPS,NO_CLEAR_STAT_MARKET,TRANSLATOR_ONLY,UNKNOWN,NO_BET,8,translator row exists without identifiable shortlist origin,NO_BET_ONLY,vsigma_forecast_market_translator.csv,NO,NO
