target_date,generated_at,ledger_key,fixture_id,home_team,away_team,primary_market,final_decision,decision_bucket,ledger_status,official_pick_permission,postmatch_audit_required,result_source_status,actual_home_goals,actual_away_goals,actual_total_goals,actual_total_xg,actual_total_sot,actual_total_big,audit_status,pick_outcome,market_grade_status,postmatch_quality_label,postmatch_quality_score,error_family,no_bet_audit_label,learning_signal,audit_note,source_guard,auto_apply,production_change
2026-06-04,2026-06-04T20:38:44+01:00,2026-06-04|DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE|NO_MARKET,DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE,NO_PROMOTED_RAW_CANDIDATES,NO_SCORING_SAFE_ROWS,NO_MARKET,NO_BET,DIAGNOSTIC_ONLY,DIAGNOSTIC_NO_PICK,NO_PICK_NO_STAKE,NO,NO_FINAL_ACTUALS_FOUND,,,,,,,AUDIT_NOT_REQUIRED_DIAGNOSTIC,NO_PICK,NO_MARKET_GRADING,DIAGNOSTIC_NO_PICK,,NONE,DIAGNOSTIC_NOT_A_REAL_NO_BET,NO_LEARNING_DIAGNOSTIC_ONLY,Diagnostic row from empty/no-promotion board; not a fixture-level decision.,POSTMATCH_PICK_AUDIT_V1_NO_AUTO_APPLY,NO,NO
2026-06-06,2026-06-06T12:50:22+01:00,2026-06-05|DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE|NO_MARKET,DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE,NO_PROMOTED_RAW_CANDIDATES,NO_SCORING_SAFE_ROWS,NO_MARKET,NO_BET,DIAGNOSTIC_ONLY,DIAGNOSTIC_NO_PICK,NO_PICK_NO_STAKE,NO,NO_FINAL_ACTUALS_FOUND,,,,,,,AUDIT_NOT_REQUIRED_DIAGNOSTIC,NO_PICK,NO_MARKET_GRADING,DIAGNOSTIC_NO_PICK,,NONE,DIAGNOSTIC_NOT_A_REAL_NO_BET,NO_LEARNING_DIAGNOSTIC_ONLY,Diagnostic row from empty/no-promotion board; not a fixture-level decision.,POSTMATCH_PICK_AUDIT_V1_NO_AUTO_APPLY,NO,NO
2026-06-07,2026-06-07T13:11:12+01:00,2026-06-05|1548052|NO_CLEAR_STAT_MARKET,1548052,Castellón,Almeria,NO_CLEAR_STAT_MARKET,NO_BET,NO_BET,OFFICIAL_NO_BET,NO_PICK_NO_STAKE,YES,NO_FINAL_ACTUALS_FOUND,,,,,,,PENDING_FINAL_ACTUALS,PENDING,PENDING_RESULT,PENDING,,PENDING,PENDING,WAIT_FOR_FINAL_ACTUALS,No final actuals found for fixture yet.,POSTMATCH_PICK_AUDIT_V1_NO_AUTO_APPLY,NO,NO
2026-06-09,2026-06-09T17:22:24+01:00,2026-06-08|DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE|NO_MARKET,DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE,NO_PROMOTED_RAW_CANDIDATES,NO_SCORING_SAFE_ROWS,NO_MARKET,NO_BET,DIAGNOSTIC_ONLY,DIAGNOSTIC_NO_PICK,NO_PICK_NO_STAKE,NO,NO_FINAL_ACTUALS_FOUND,,,,,,,AUDIT_NOT_REQUIRED_DIAGNOSTIC,NO_PICK,NO_MARKET_GRADING,DIAGNOSTIC_NO_PICK,,NONE,DIAGNOSTIC_NOT_A_REAL_NO_BET,NO_LEARNING_DIAGNOSTIC_ONLY,Diagnostic row from empty/no-promotion board; not a fixture-level decision.,POSTMATCH_PICK_AUDIT_V1_NO_AUTO_APPLY,NO,NO
2026-06-10,2026-06-10T18:46:39+01:00,2026-06-10|1548055|OVER_1_5_SUPPORTED,1548055,Malaga,Las Palmas,OVER_1_5_SUPPORTED,LIVE_ONLY,LIVE_ONLY,LIVE_REVIEW_REQUIRED,MANUAL_REVIEW_ONLY_NO_STAKE,YES,NO_FINAL_ACTUALS_FOUND,,,,,,,PENDING_FINAL_ACTUALS,PENDING,PENDING_RESULT,PENDING,,PENDING,NOT_APPLICABLE,WAIT_FOR_FINAL_ACTUALS,No final actuals found for fixture yet.,POSTMATCH_PICK_AUDIT_V1_NO_AUTO_APPLY,NO,NO
2026-06-10,2026-06-10T18:46:39+01:00,2026-06-10|1546281|NO_CLEAR_STAT_MARKET,1546281,Cape Town City,Magesi,NO_CLEAR_STAT_MARKET,NO_BET,NO_BET,OFFICIAL_NO_BET,NO_PICK_NO_STAKE,YES,FINAL_ACTUALS_FOUND,1,1,2,0,,0,NO_BET_AUDIT_READY,NO_PICK,NO_MARKET_GRADING,NO_BET_PENDING_CAUSAL_REVIEW,,NO_BET_REVIEW,PENDING_NO_BET_CORRECTNESS_REVIEW,NO_BET_REVIEW_REQUIRED,Final actuals found; review whether No Bet avoided risk or was too conservative.,POSTMATCH_PICK_AUDIT_V1_NO_AUTO_APPLY,NO,NO
2026-06-14,2026-06-14T11:02:03+01:00,2026-06-10|1548055|OVER_1_5_SUPPORTED,1548055,Malaga,Las Palmas,OVER_1_5_SUPPORTED,NO_BET,NO_BET,OFFICIAL_NO_BET,NO_PICK_NO_STAKE,YES,NO_FINAL_ACTUALS_FOUND,,,,,,,PENDING_FINAL_ACTUALS,PENDING,PENDING_RESULT,PENDING,,PENDING,PENDING,WAIT_FOR_FINAL_ACTUALS,No final actuals found for fixture yet.,POSTMATCH_PICK_AUDIT_V1_NO_AUTO_APPLY,NO,NO
2026-06-15,2026-06-15T13:47:55+01:00,2026-06-10|1548055|OVER_1_5_SUPPORTED,1548055,Malaga,Las Palmas,OVER_1_5_SUPPORTED,NO_BET,NO_BET,OFFICIAL_NO_BET,NO_PICK_NO_STAKE,YES,NO_FINAL_ACTUALS_FOUND,,,,,,,PENDING_FINAL_ACTUALS,PENDING,PENDING_RESULT,PENDING,,PENDING,PENDING,WAIT_FOR_FINAL_ACTUALS,No final actuals found for fixture yet.,POSTMATCH_PICK_AUDIT_V1_NO_AUTO_APPLY,NO,NO
2026-06-16,2026-06-16T12:40:52+01:00,2026-06-15|1526851|NO_CLEAR_STAT_MARKET,1526851,Maringá,Maranhão,NO_CLEAR_STAT_MARKET,NO_BET,NO_BET,OFFICIAL_NO_BET,NO_PICK_NO_STAKE,YES,NO_FINAL_ACTUALS_FOUND,,,,,,,PENDING_FINAL_ACTUALS,PENDING,PENDING_RESULT,PENDING,,PENDING,PENDING,WAIT_FOR_FINAL_ACTUALS,No final actuals found for fixture yet.,POSTMATCH_PICK_AUDIT_V1_NO_AUTO_APPLY,NO,NO
2026-06-17,2026-06-17T12:21:14+01:00,2026-06-16|1547575|NO_CLEAR_STAT_MARKET,1547575,TransINVEST Vilnius,FK Trakai,NO_CLEAR_STAT_MARKET,NO_BET,NO_BET,OFFICIAL_NO_BET,NO_PICK_NO_STAKE,YES,NO_FINAL_ACTUALS_FOUND,,,,,,,PENDING_FINAL_ACTUALS,PENDING,PENDING_RESULT,PENDING,,PENDING,PENDING,WAIT_FOR_FINAL_ACTUALS,No final actuals found for fixture yet.,POSTMATCH_PICK_AUDIT_V1_NO_AUTO_APPLY,NO,NO
