target_date,generated_at,fixture_id,home_team,away_team,metric,actual_value,baseline_mid,shadow_mid,baseline_abs_error,shadow_abs_error,error_delta,shadow_result,shadow_rule,source_guard,auto_apply,production_change
2026-05-29,2026-05-29T19:16:47+01:00,1535218,America de Cali,Macara,total_goals,0.000,2.620,2.489,2.620,2.489,0.131,IMPROVED,GOAL_5PCT,CALIBRATION_DETAILS,NO,NO
2026-05-29,2026-05-29T19:16:47+01:00,1535218,America de Cali,Macara,total_sot,6.000,7.000,7.500,1.000,1.500,-0.500,WORSENED,MID_SHIFT_0_5,CALIBRATION_DETAILS,NO,NO
2026-05-29,2026-05-29T19:16:47+01:00,1535218,America de Cali,Macara,total_corners,12.000,10.000,11.000,2.000,1.000,1.000,IMPROVED,CORNERS_SHIFT_1,CALIBRATION_DETAILS,NO,NO
2026-05-29,2026-05-29T19:16:47+01:00,1535218,America de Cali,Macara,total_fouls,20.000,24.000,21.600,4.000,1.600,2.400,IMPROVED,FOULS_10PCT,CALIBRATION_DETAILS,NO,NO
2026-05-29,2026-05-29T19:16:47+01:00,1535318,Cruzeiro,Barcelona SC,total_goals,4.000,2.440,2.318,1.560,1.682,-0.122,WORSENED,GOAL_5PCT,CALIBRATION_DETAILS,NO,NO
2026-05-29,2026-05-29T19:16:47+01:00,1535318,Cruzeiro,Barcelona SC,total_sot,10.000,8.000,8.500,2.000,1.500,0.500,IMPROVED,MID_SHIFT_0_5,CALIBRATION_DETAILS,NO,NO
2026-05-29,2026-05-29T19:16:47+01:00,1535318,Cruzeiro,Barcelona SC,total_corners,8.000,7.000,8.000,1.000,0.000,1.000,IMPROVED,CORNERS_SHIFT_1,CALIBRATION_DETAILS,NO,NO
2026-05-29,2026-05-29T19:16:47+01:00,1535318,Cruzeiro,Barcelona SC,total_fouls,18.000,27.000,24.300,9.000,6.300,2.700,IMPROVED,FOULS_10PCT,CALIBRATION_DETAILS,NO,NO
2026-05-29,2026-05-29T19:16:47+01:00,1535232,Tigre,Alianza Atletico,total_goals,2.000,2.060,1.957,0.060,0.043,0.017,IMPROVED,GOAL_5PCT,CALIBRATION_DETAILS,NO,NO
2026-05-29,2026-05-29T19:16:47+01:00,1535232,Tigre,Alianza Atletico,total_sot,7.000,7.000,7.500,0.000,0.500,-0.500,WORSENED,MID_SHIFT_0_5,CALIBRATION_DETAILS,NO,NO
2026-05-29,2026-05-29T19:16:47+01:00,1535232,Tigre,Alianza Atletico,total_corners,5.000,8.000,9.000,3.000,4.000,-1.000,WORSENED,CORNERS_SHIFT_1,CALIBRATION_DETAILS,NO,NO
2026-05-29,2026-05-29T19:16:47+01:00,1535232,Tigre,Alianza Atletico,total_fouls,28.000,22.000,19.800,6.000,8.200,-2.200,WORSENED,FOULS_10PCT,CALIBRATION_DETAILS,NO,NO
2026-05-29,2026-05-29T19:16:47+01:00,1535314,Boca Juniors,U. Catolica,total_goals,1.000,2.620,2.489,1.620,1.489,0.131,IMPROVED,GOAL_5PCT,CALIBRATION_DETAILS,NO,NO
2026-05-29,2026-05-29T19:16:47+01:00,1535314,Boca Juniors,U. Catolica,total_sot,3.000,8.000,8.500,5.000,5.500,-0.500,WORSENED,MID_SHIFT_0_5,CALIBRATION_DETAILS,NO,NO
2026-05-29,2026-05-29T19:16:47+01:00,1535314,Boca Juniors,U. Catolica,total_corners,11.000,7.000,8.000,4.000,3.000,1.000,IMPROVED,CORNERS_SHIFT_1,CALIBRATION_DETAILS,NO,NO
2026-05-29,2026-05-29T19:16:47+01:00,1535314,Boca Juniors,U. Catolica,total_fouls,22.000,23.000,20.700,1.000,1.300,-0.300,WORSENED,FOULS_10PCT,CALIBRATION_DETAILS,NO,NO
2026-05-29,2026-05-29T19:16:47+01:00,1533660,El Mokawloon,Future FC,total_goals,4.000,2.350,2.232,1.650,1.768,-0.118,WORSENED,GOAL_5PCT,CALIBRATION_DETAILS,NO,NO
2026-05-29,2026-05-29T19:16:47+01:00,1533660,El Mokawloon,Future FC,total_sot,12.000,8.000,8.500,4.000,3.500,0.500,IMPROVED,MID_SHIFT_0_5,CALIBRATION_DETAILS,NO,NO
2026-05-29,2026-05-29T19:16:47+01:00,1533660,El Mokawloon,Future FC,total_corners,16.000,9.000,10.000,7.000,6.000,1.000,IMPROVED,CORNERS_SHIFT_1,CALIBRATION_DETAILS,NO,NO
2026-05-29,2026-05-29T19:16:47+01:00,1533660,El Mokawloon,Future FC,total_fouls,24.000,24.000,21.600,0.000,2.400,-2.400,WORSENED,FOULS_10PCT,CALIBRATION_DETAILS,NO,NO
2026-05-29,2026-05-29T19:16:47+01:00,1533659,Masr,Kahraba Ismailia,total_goals,2.000,2.350,2.232,0.350,0.232,0.118,IMPROVED,GOAL_5PCT,CALIBRATION_DETAILS,NO,NO
2026-05-29,2026-05-29T19:16:47+01:00,1533659,Masr,Kahraba Ismailia,total_sot,12.000,8.000,8.500,4.000,3.500,0.500,IMPROVED,MID_SHIFT_0_5,CALIBRATION_DETAILS,NO,NO
2026-05-29,2026-05-29T19:16:47+01:00,1533659,Masr,Kahraba Ismailia,total_corners,9.000,9.000,10.000,0.000,1.000,-1.000,WORSENED,CORNERS_SHIFT_1,CALIBRATION_DETAILS,NO,NO
2026-05-29,2026-05-29T19:16:47+01:00,1533659,Masr,Kahraba Ismailia,total_fouls,12.000,24.000,21.600,12.000,9.600,2.400,IMPROVED,FOULS_10PCT,CALIBRATION_DETAILS,NO,NO
2026-05-29,2026-05-29T19:16:47+01:00,1522817,TransINVEST Vilnius,Hegelmann Litauen,total_goals,3.000,2.350,2.232,0.650,0.768,-0.118,WORSENED,GOAL_5PCT,CALIBRATION_DETAILS,NO,NO
