target_date,generated_at,fixture_id,home_team,away_team,league,source_status,selector_status,reason,vsigma_priority,market_family_hint,data_quality_score,league_data_reliability_score,recent_stats_quality_flag,odds_bookmaker_support_count,auto_apply,production_change
2026-06-20,2026-06-20T16:22:28+01:00,1551272,Almeria,Malaga,Segunda División,DATED,NO_REAL_SHORTLIST,data quality score below selector floor,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,28.0,0.95,FULL,,NO,NO
2026-06-20,2026-06-20T16:22:28+01:00,1522830,Banga,FK Zalgiris Vilnius,A Lyga,DATED,NO_REAL_SHORTLIST,blocked by scoring/data warning,NO_DATA_BLOCKED,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,8.0,0.7,NONE,,NO,NO
2026-06-20,2026-06-20T16:22:28+01:00,1522828,Panevėžys,Šiauliai,A Lyga,DATED,NO_REAL_SHORTLIST,blocked by scoring/data warning,NO_DATA_BLOCKED,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,8.0,0.7,NONE,,NO,NO
2026-06-20,2026-06-20T16:22:28+01:00,1522829,TransINVEST Vilnius,Kauno Žalgiris,A Lyga,DATED,NO_REAL_SHORTLIST,blocked by scoring/data warning,NO_DATA_BLOCKED,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,8.0,0.7,NONE,,NO,NO
2026-06-20,2026-06-20T16:22:28+01:00,1520732,Ceara,Botafogo SP,Serie B,DATED,NO_REAL_SHORTLIST,blocked by scoring/data warning,NO_DATA_BLOCKED,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,8.0,0.95,NONE,,NO,NO
2026-06-20,2026-06-20T16:22:28+01:00,1520735,Londrina,Athletic Club,Serie B,DATED,NO_REAL_SHORTLIST,blocked by scoring/data warning,NO_DATA_BLOCKED,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,8.0,0.95,NONE,,NO,NO
2026-06-20,2026-06-20T16:22:28+01:00,1520739,Vila Nova,Nautico Recife,Serie B,DATED,NO_REAL_SHORTLIST,blocked by scoring/data warning,NO_DATA_BLOCKED,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,8.0,0.95,NONE,,NO,NO
2026-06-20,2026-06-20T16:22:28+01:00,1526855,Anápolis,AO Itabaiana,Serie C,DATED,NO_REAL_SHORTLIST,blocked by scoring/data warning,NO_DATA_BLOCKED,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,8.0,0.7,NONE,,NO,NO
2026-06-20,2026-06-20T16:22:28+01:00,1526857,Botafogo PB,Volta Redonda,Serie C,DATED,NO_REAL_SHORTLIST,blocked by scoring/data warning,NO_DATA_BLOCKED,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,8.0,0.7,NONE,,NO,NO
2026-06-20,2026-06-20T16:22:28+01:00,1526863,Santa Cruz,Ypiranga-RS,Serie C,DATED,NO_REAL_SHORTLIST,blocked by scoring/data warning,NO_DATA_BLOCKED,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,8.0,0.7,NONE,,NO,NO
