target_date,generated_at,fixture_id,home_team,away_team,lineup_bridge_status,lineup_source_status,starting_xi_rows,home_starting_xi_rows,away_starting_xi_rows,home_formation,away_formation,original_final_decision,bridged_final_decision,original_execution_permission,bridged_execution_permission,original_forecast_warning,bridged_forecast_warning,original_operator_note,bridged_operator_note,bridge_action,bridge_reason,canonical_board_permission,pick_permission,stake_permission,auto_apply,production_change
2026-06-10,2026-06-10T21:01:08+01:00,1548055,Malaga,Las Palmas,LINEUPS_CONFIRMED_BY_FORCED_API,OK,22,11,11,4-2-3-1,4-4-2,LIVE_ONLY,LIVE_ONLY,NO_PREMATCH,NO_PREMATCH,LINEUPS_INACTIVE; API_EARLY_LOW_SUPPORT,API_EARLY_LOW_SUPPORT; LINEUPS_CONFIRMED_BY_FORCED_API,No prematch serious stake; require live tempo and chance confirmation.; api_gate=EARLY_WATCH_MORE_DATA_REQUIRED; coverage_score=80.0; missing=lineup_coverage=NOT_DUE_YET; injuries_coverage=NONE,No prematch serious stake; require live tempo and chance confirmation.; api_gate=EARLY_WATCH_MORE_DATA_REQUIRED; coverage_score=80.0; missing=lineup_coverage=CONFIRMED_BY_FORCED_API_LINEUPS; injuries_coverage=NONE,CLEAR_LINEUPS_INACTIVE_WARNING_KEEP_EXECUTION_LOCK,Forced API /fixtures/lineups returned 11 home starters and 11 away starters for board fixture_id. Execution remains locked unless a separate prelock resolver promotes it.,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-10,2026-06-10T21:01:08+01:00,1546281,Cape Town City,Magesi,LINEUPS_CONFIRMED_BY_FORCED_API,OK,22,11,11,4-4-2,4-2-3-1,NO_BET,NO_BET,NO,NO,PARTIAL_RECENT_STATS; SHOT_SAMPLE_WEAK; CORNER_SAMPLE_WEAK; CARD_SAMPLE_WEAK,PARTIAL_RECENT_STATS; SHOT_SAMPLE_WEAK; CORNER_SAMPLE_WEAK; CARD_SAMPLE_WEAK; LINEUPS_CONFIRMED_BY_FORCED_API,No execution permission.; api_gate=LOW_COVERAGE_NO_BET; coverage_score=20.0; missing=recent_stats_coverage=NONE; lineup_coverage=NONE; injuries_coverage=NONE; standings_coverage=NONE; odds_coverage=NONE,No execution permission.; api_gate=LOW_COVERAGE_NO_BET; coverage_score=20.0; missing=recent_stats_coverage=NONE; lineup_coverage=CONFIRMED_BY_FORCED_API_LINEUPS; injuries_coverage=NONE; standings_coverage=NONE; odds_coverage=NONE,CLEAR_LINEUPS_INACTIVE_WARNING_KEEP_EXECUTION_LOCK,Forced API /fixtures/lineups returned 11 home starters and 11 away starters for board fixture_id. Execution remains locked unless a separate prelock resolver promotes it.,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
