target_date,generated_at,fixture_id,home_team,away_team,status,goals,stats_status,updated_fields,source_guard
2026-06-19,2026-06-19T12:03:01+01:00,1524158,Caboolture,Brisbane Strikers,1H,0-0,NOT_FINAL,fixture_status_short;fixture_status_long;fixture_status_elapsed;goals_home;goals_away;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1524159,Holland Park Hawks,St George Willawong,1H,0-0,NOT_FINAL,fixture_status_short;fixture_status_long;fixture_status_elapsed;goals_home;goals_away;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1541361,Essendon Royals SC,Werribee City,1H,0-1,NOT_FINAL,fixture_status_short;fixture_status_long;fixture_status_elapsed;goals_home;goals_away;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1541438,Whittlesea United,Bayside Argonauts,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1532763,Guangzhou Dandelion,Hubei Chufeng Heli,1H,0-0,NOT_FINAL,fixture_status_short;fixture_status_long;fixture_status_elapsed;goals_home;goals_away;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1545496,Shaanxi Union,Hangzhou Greentown,1H,0-0,NOT_FINAL,fixture_status_short;fixture_status_long;fixture_status_elapsed;goals_home;goals_away;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1545503,Shenzhen Juniors,Sichuan Jiuniu,1H,0-0,NOT_FINAL,fixture_status_short;fixture_status_long;fixture_status_elapsed;goals_home;goals_away;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1532764,Shangyu Pterosaur,Guangdong Mingtu,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1532765,Guizhou Zhucheng,Xiamen Feilu,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1545489,Guangzhou E-Power,Beijing Guoan,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
