target_date,generated_at,fixture_id,home_team,away_team,league,country,fixture_date_utc,provider,refresh_status,refresh_note,fixture_status_short,fixture_status_long,fixture_status_elapsed,goals_home,goals_away,score_fulltime_home,score_fulltime_away,score_halftime_home,score_halftime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away,result_ready_for_ledger,api_calls_planned,api_calls_executed,auto_apply,production_change
2026-06-21,2026-06-21T16:35:51+01:00,1493547,Brooklyn,Tampa Bay Rowdies,USL Championship,USA,2026-06-20T23:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,0,2,0,2,0,2,,,,,YES,80,1,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1493549,Hartford Athletic,Pittsburgh Riverhounds,USL Championship,USA,2026-06-20T23:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,0,0,0,0,0,0,,,,,YES,80,2,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1493554,Sporting JAX,Charleston Battery,USL Championship,USA,2026-06-20T23:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,2,5,2,5,1,3,,,,,YES,80,3,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1493869,Chattanooga Red Wolves,Naples,USL League One,USA,2026-06-20T23:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,1,0,1,0,0,0,,,,,YES,80,4,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1493872,Greenville Triumph,Alta,USL League One,USA,2026-06-20T23:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,1,2,1,2,1,0,,,,,YES,80,5,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1493873,Richmond Kickers,Fort Wayne,USL League One,USA,2026-06-20T23:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,0,2,0,2,0,2,,,,,YES,80,6,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1493875,Tormenta,Charlotte Independence,USL League One,USA,2026-06-20T23:30:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,80,7,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1530415,San Martín Mendoza,Huracan Las Heras,Torneo Federal A,Argentina,2026-06-20T23:30:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,3,1,3,1,1,0,,,,,YES,80,8,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1493546,Birmingham Legion,Loudoun United,USL Championship,USA,2026-06-21T00:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,1,1,1,1,0,0,,,,,YES,80,9,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1493871,Forward Madison,NY Cosmos,USL League One,USA,2026-06-21T00:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,3,1,3,1,2,0,,,,,YES,80,10,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1513167,Huntsville City,Crown Legacy,MLS Next Pro,USA,2026-06-21T00:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,PST,Match Postponed,,,,,,,,,,,,NO,80,11,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1493548,FC Tulsa,Colorado Springs,USL Championship,USA,2026-06-21T00:30:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,1,2,1,2,1,0,,,,,YES,80,12,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1493870,Corpus Christi,Sarasota Paradise,USL League One,USA,2026-06-21T00:30:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,4,1,4,1,2,0,,,,,YES,80,13,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1493874,Spokane Velocity,One Knoxville,USL League One,USA,2026-06-21T01:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,0,4,0,4,0,2,,,,,YES,80,14,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1553055,Carlos A. Mannucci,Alianza Lima,Copa De La Liga,Peru,2026-06-21T01:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,3,1,3,1,1,0,,,,,YES,80,15,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1493868,Boise,Union Omaha,USL League One,USA,2026-06-21T01:30:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,1,0,1,0,0,0,,,,,YES,80,16,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1493550,Monterey Bay,El Paso Locomotive,USL Championship,USA,2026-06-21T02:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,1,0,1,0,0,0,,,,,YES,80,17,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1493552,Phoenix Rising,Oakland Roots,USL Championship,USA,2026-06-21T02:30:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,3,4,3,4,0,0,,,,,YES,80,18,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1493704,Las Vegas Lights,Orange County SC,USL Championship,USA,2026-06-21T02:30:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,2,3,2,3,1,1,,,,,YES,80,19,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1493553,Sacramento Republic,New Mexico United,USL Championship,USA,2026-06-21T03:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,0,1,0,1,0,0,,,,,YES,80,20,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1523772,Maitland,Hamilton Olympic,Northern NSW NPL,Australia,2026-06-21T03:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,1,0,1,0,1,0,,,,,YES,80,21,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1517575,Sydney United,SD Raiders,New South Wales NPL,Australia,2026-06-21T04:30:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,1,0,1,0,0,0,,,,,YES,80,22,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1517574,Blacktown City,APIA Leichhardt Tigers,New South Wales NPL,Australia,2026-06-21T05:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,1,3,1,3,1,1,,,,,YES,80,23,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1517665,Marconi Stallions,UNSW,New South Wales NPL,Australia,2026-06-21T05:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,1,0,1,0,1,0,,,,,YES,80,24,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1520508,Busan Transportation,Gyeongju HNP,K3 League,South-Korea,2026-06-21T05:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,1,1,1,1,0,1,,,,,YES,80,25,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1523773,Kahibah,Charlestown City Blues,Northern NSW NPL,Australia,2026-06-21T05:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,4,1,4,1,1,1,,,,,YES,80,26,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1524057,Olympic,Peninsula Power,Queensland NPL,Australia,2026-06-21T06:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,1,3,1,3,0,1,,,,,YES,80,27,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1521961,St. Albans Saints,Altona Magic,Victoria NPL,Australia,2026-06-21T07:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,FT,Match Finished,90,2,1,2,1,1,1,,,,,YES,80,28,NO,NO
