target_date,generated_at,fixture_id,home_team,away_team,market,candidate_origin,market_direction_source,max_execution_permission,real_data_strength,proxy_reason,allowed_downstream_use,source_files,auto_apply,production_change
2026-06-21,2026-06-21T11:52:41+01:00,1520731,Avai,Cuiaba,NO_CLEAR_STAT_MARKET,TRANSLATOR_ONLY,UNKNOWN,NO_BET,8,translator row exists without identifiable shortlist origin,NO_BET_ONLY,vsigma_forecast_market_translator.csv,NO,NO
2026-06-21,2026-06-21T11:52:41+01:00,1520733,CRB,Fortaleza EC,NO_CLEAR_STAT_MARKET,TRANSLATOR_ONLY,UNKNOWN,NO_BET,8,translator row exists without identifiable shortlist origin,NO_BET_ONLY,vsigma_forecast_market_translator.csv,NO,NO
2026-06-21,2026-06-21T11:52:41+01:00,1520734,Goias,Operario-PR,NO_CLEAR_STAT_MARKET,TRANSLATOR_ONLY,UNKNOWN,NO_BET,8,translator row exists without identifiable shortlist origin,NO_BET_ONLY,vsigma_forecast_market_translator.csv,NO,NO
2026-06-21,2026-06-21T11:52:41+01:00,1520737,São Bernardo,Juventude,NO_CLEAR_STAT_MARKET,TRANSLATOR_ONLY,UNKNOWN,NO_BET,8,translator row exists without identifiable shortlist origin,NO_BET_ONLY,vsigma_forecast_market_translator.csv,NO,NO
2026-06-21,2026-06-21T11:52:41+01:00,1522831,Džiugas Telšiai,Suduva Marijampole,NO_CLEAR_STAT_MARKET,TRANSLATOR_ONLY,UNKNOWN,NO_BET,8,translator row exists without identifiable shortlist origin,NO_BET_ONLY,vsigma_forecast_market_translator.csv,NO,NO
2026-06-21,2026-06-21T11:52:41+01:00,1526856,Barra,Amazonas,NO_CLEAR_STAT_MARKET,TRANSLATOR_ONLY,UNKNOWN,NO_BET,8,translator row exists without identifiable shortlist origin,NO_BET_ONLY,vsigma_forecast_market_translator.csv,NO,NO
2026-06-21,2026-06-21T11:52:41+01:00,1526858,Brusque,Floresta,NO_CLEAR_STAT_MARKET,TRANSLATOR_ONLY,UNKNOWN,NO_BET,8,translator row exists without identifiable shortlist origin,NO_BET_ONLY,vsigma_forecast_market_translator.csv,NO,NO
2026-06-21,2026-06-21T11:52:41+01:00,1526860,Ferroviária,Inter De Limeira,NO_CLEAR_STAT_MARKET,TRANSLATOR_ONLY,UNKNOWN,NO_BET,8,translator row exists without identifiable shortlist origin,NO_BET_ONLY,vsigma_forecast_market_translator.csv,NO,NO
2026-06-21,2026-06-21T11:52:41+01:00,1526861,Ituano,Figueirense,NO_CLEAR_STAT_MARKET,TRANSLATOR_ONLY,UNKNOWN,NO_BET,8,translator row exists without identifiable shortlist origin,NO_BET_ONLY,vsigma_forecast_market_translator.csv,NO,NO
2026-06-21,2026-06-21T11:52:41+01:00,1526862,Maranhão,Paysandu,NO_CLEAR_STAT_MARKET,TRANSLATOR_ONLY,UNKNOWN,NO_BET,8,translator row exists without identifiable shortlist origin,NO_BET_ONLY,vsigma_forecast_market_translator.csv,NO,NO
2026-06-21,2026-06-21T11:52:41+01:00,1526864,Caxias,Maringá,NO_CLEAR_STAT_MARKET,TRANSLATOR_ONLY,UNKNOWN,NO_BET,8,translator row exists without identifiable shortlist origin,NO_BET_ONLY,vsigma_forecast_market_translator.csv,NO,NO
