target_date,generated_at,ledger_key,fixture_id,home_team,away_team,league,country,decision_bucket,pick_outcome,quality_class,market_family,official_lineup_rows,probable_lineup_rows,probable_imported_rows,probable_learning_only_rows,probable_unknown_rows,lineup_data_status,lineup_shock_status,lineup_learning_label,shock_evidence_level,manual_review_required,recommended_action,lineup_note,source_guard,auto_apply,production_change
2026-06-21,2026-06-21T00:45:14+01:00,2026-06-04|DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE|NO_MARKET,DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE,NO_PROMOTED_RAW_CANDIDATES,NO_SCORING_SAFE_ROWS,,,DIAGNOSTIC_ONLY,NO_PICK,DIAGNOSTIC_NO_LEARNING,NO_MARKET,0,0,0,0,0,NO_LINEUP_DATA,DIAGNOSTIC_NO_LINEUP_LEARNING,DIAGNOSTIC_NOT_REAL_FIXTURE,NONE,NO,NO_MODEL_CHANGE,Diagnostic row; no fixture-level lineup shock can be evaluated.,LINEUP_SHOCK_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T00:45:14+01:00,2026-06-05|1548053|NO_CLEAR_STAT_MARKET,1548053,Las Palmas,Malaga,,,NO_BET,NO_PICK,,UNKNOWN_FAMILY,0,0,0,0,0,NO_LINEUP_DATA,LINEUP_DATA_MISSING,NO_LINEUP_SIGNAL,LOW,NO,COLLECT_LINEUP_DATA,No official/probable lineup rows found for this fixture.,LINEUP_SHOCK_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T00:45:14+01:00,2026-06-08|1548054|NO_CLEAR_STAT_MARKET,1548054,Almeria,Castellón,,,NO_BET,NO_PICK,,UNKNOWN_FAMILY,2,0,0,0,0,HAS_LINEUP_DATA,OFFICIAL_LINEUP_AVAILABLE_NO_BET_REVIEW,NO_BET_LINEUP_REVIEW,MEDIUM,YES,REVIEW_IF_LINEUP_CONFIRMED_NO_BET_OR_MISSED_ENTRY,Official lineup data exists for a No Bet; review whether lineup protected the system or was too conservative.,LINEUP_SHOCK_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T00:45:14+01:00,2026-06-09|1548054|OVER_1_5_SUPPORTED,1548054,Almeria,Castellón,,,LIVE_ONLY,NO_PICK,,UNKNOWN_FAMILY,2,0,0,0,0,HAS_LINEUP_DATA,OFFICIAL_LINEUP_AVAILABLE_NEUTRAL,LINEUP_CONTEXT_PRESENT,LOW,NO,KEEP_COLLECTING_SAMPLE,"Official lineup data exists, but no shock inference is safe in v1.",LINEUP_SHOCK_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T00:45:14+01:00,2026-06-09|1520715|NO_CLEAR_STAT_MARKET,1520715,Nautico Recife,Fortaleza EC,,,NO_BET,NO_PICK,,UNKNOWN_FAMILY,2,0,0,0,0,HAS_LINEUP_DATA,OFFICIAL_LINEUP_AVAILABLE_NO_BET_REVIEW,NO_BET_LINEUP_REVIEW,MEDIUM,YES,REVIEW_IF_LINEUP_CONFIRMED_NO_BET_OR_MISSED_ENTRY,Official lineup data exists for a No Bet; review whether lineup protected the system or was too conservative.,LINEUP_SHOCK_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T00:45:14+01:00,2026-06-09|1520717|NO_CLEAR_STAT_MARKET,1520717,Ponte Preta,Cuiaba,,,NO_BET,NO_PICK,,UNKNOWN_FAMILY,2,0,0,0,0,HAS_LINEUP_DATA,OFFICIAL_LINEUP_AVAILABLE_NO_BET_REVIEW,NO_BET_LINEUP_REVIEW,MEDIUM,YES,REVIEW_IF_LINEUP_CONFIRMED_NO_BET_OR_MISSED_ENTRY,Official lineup data exists for a No Bet; review whether lineup protected the system or was too conservative.,LINEUP_SHOCK_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T00:45:14+01:00,2026-06-10|1548055|OVER_1_5_SUPPORTED,1548055,Malaga,Las Palmas,,,NO_BET,PENDING,PENDING_FINAL_ACTUALS,TOTAL_GOALS,2,0,0,0,0,HAS_LINEUP_DATA,OFFICIAL_LINEUP_AVAILABLE_NO_BET_REVIEW,NO_BET_LINEUP_REVIEW,MEDIUM,YES,REVIEW_IF_LINEUP_CONFIRMED_NO_BET_OR_MISSED_ENTRY,Official lineup data exists for a No Bet; review whether lineup protected the system or was too conservative.,LINEUP_SHOCK_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T00:45:14+01:00,2026-06-15|1526851|NO_CLEAR_STAT_MARKET,1526851,Maringá,Maranhão,,,NO_BET,PENDING,PENDING_FINAL_ACTUALS,UNKNOWN_FAMILY,2,0,0,0,0,HAS_LINEUP_DATA,OFFICIAL_LINEUP_AVAILABLE_NO_BET_REVIEW,NO_BET_LINEUP_REVIEW,MEDIUM,YES,REVIEW_IF_LINEUP_CONFIRMED_NO_BET_OR_MISSED_ENTRY,Official lineup data exists for a No Bet; review whether lineup protected the system or was too conservative.,LINEUP_SHOCK_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T00:45:14+01:00,2026-06-16|1547575|NO_CLEAR_STAT_MARKET,1547575,TransINVEST Vilnius,FK Trakai,,,NO_BET,PENDING,PENDING_FINAL_ACTUALS,UNKNOWN_FAMILY,0,0,0,0,0,NO_LINEUP_DATA,LINEUP_DATA_MISSING,NO_LINEUP_SIGNAL,LOW,NO,COLLECT_LINEUP_DATA,No official/probable lineup rows found for this fixture.,LINEUP_SHOCK_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T00:45:14+01:00,2026-06-17|1495707|NO_CLEAR_STAT_MARKET,1495707,Gnistan,Lahti,,,NO_BET,PENDING,PENDING_FINAL_ACTUALS,UNKNOWN_FAMILY,2,0,0,0,0,HAS_LINEUP_DATA,OFFICIAL_LINEUP_AVAILABLE_NO_BET_REVIEW,NO_BET_LINEUP_REVIEW,MEDIUM,YES,REVIEW_IF_LINEUP_CONFIRMED_NO_BET_OR_MISSED_ENTRY,Official lineup data exists for a No Bet; review whether lineup protected the system or was too conservative.,LINEUP_SHOCK_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T00:45:14+01:00,2026-06-17|1495708|NO_CLEAR_STAT_MARKET,1495708,SJK,VPS,,,NO_BET,PENDING,PENDING_FINAL_ACTUALS,UNKNOWN_FAMILY,2,0,0,0,0,HAS_LINEUP_DATA,OFFICIAL_LINEUP_AVAILABLE_NO_BET_REVIEW,NO_BET_LINEUP_REVIEW,MEDIUM,YES,REVIEW_IF_LINEUP_CONFIRMED_NO_BET_OR_MISSED_ENTRY,Official lineup data exists for a No Bet; review whether lineup protected the system or was too conservative.,LINEUP_SHOCK_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T00:45:14+01:00,2026-06-18|DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE|NO_MARKET,DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE,NO_PROMOTED_RAW_CANDIDATES,NO_SCORING_SAFE_ROWS,,,DIAGNOSTIC_ONLY,NO_PICK,DIAGNOSTIC_NO_LEARNING,NO_MARKET,0,0,0,0,0,NO_LINEUP_DATA,DIAGNOSTIC_NO_LINEUP_LEARNING,DIAGNOSTIC_NOT_REAL_FIXTURE,NONE,NO,NO_MODEL_CHANGE,Diagnostic row; no fixture-level lineup shock can be evaluated.,LINEUP_SHOCK_LEARNING_V1_NO_AUTO_APPLY,NO,NO
