target_date,generated_at,ledger_key,fixture_id,home_team,away_team,primary_market,decision_bucket,translation_audit_status,translation_quality_label,market_family,result_source_status,actual_home_goals,actual_away_goals,actual_total_goals,actual_total_xg,actual_total_sot,actual_total_big,no_bet_audit_status,no_bet_quality_label,no_bet_evidence_profile,missed_opportunity_risk,protection_value_signal,learning_action,manual_review_required,audit_note,source_guard,auto_apply,production_change
2026-06-21,2026-06-21T00:45:13+01:00,2026-06-20|1551272|OVER_1_5_SUPPORTED,1551272,Almeria,Malaga,OVER_1_5_SUPPORTED,LIVE_ONLY,TRANSLATION_PENDING_RESULT_OR_CAUSAL_REVIEW,PENDING,TOTAL_GOALS,NO_FINAL_ACTUALS_FOUND,,,,,,,NO_BET_AUDIT_NOT_APPLICABLE,NOT_A_NO_BET_ROW,NO_POSTMATCH_PRESSURE_METRICS,NOT_APPLICABLE,NOT_APPLICABLE,NO_MODEL_CHANGE,NO,Row is not a No Bet decision; handled by pick quality/market translation audits.,NO_BET_AUDIT_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T00:45:13+01:00,2026-06-20|1520732|NO_CLEAR_STAT_MARKET,1520732,Ceara,Botafogo SP,NO_CLEAR_STAT_MARKET,NO_BET,TRANSLATION_PENDING_RESULT_OR_CAUSAL_REVIEW,PENDING,UNKNOWN_FAMILY,NO_FINAL_ACTUALS_FOUND,,,,,,,NO_BET_AUDIT_PENDING_FINAL_ACTUALS,PENDING,NO_POSTMATCH_PRESSURE_METRICS,PENDING,PENDING,WAIT_FOR_FINAL_ACTUALS,NO,Real No Bet row but final actuals are not available yet.,NO_BET_AUDIT_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T00:45:13+01:00,2026-06-20|1520735|NO_CLEAR_STAT_MARKET,1520735,Londrina,Athletic Club,NO_CLEAR_STAT_MARKET,NO_BET,TRANSLATION_PENDING_RESULT_OR_CAUSAL_REVIEW,PENDING,UNKNOWN_FAMILY,NO_FINAL_ACTUALS_FOUND,,,,,,,NO_BET_AUDIT_PENDING_FINAL_ACTUALS,PENDING,NO_POSTMATCH_PRESSURE_METRICS,PENDING,PENDING,WAIT_FOR_FINAL_ACTUALS,NO,Real No Bet row but final actuals are not available yet.,NO_BET_AUDIT_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T00:45:13+01:00,2026-06-20|1520739|NO_CLEAR_STAT_MARKET,1520739,Vila Nova,Nautico Recife,NO_CLEAR_STAT_MARKET,NO_BET,TRANSLATION_PENDING_RESULT_OR_CAUSAL_REVIEW,PENDING,UNKNOWN_FAMILY,NO_FINAL_ACTUALS_FOUND,,,,,,,NO_BET_AUDIT_PENDING_FINAL_ACTUALS,PENDING,NO_POSTMATCH_PRESSURE_METRICS,PENDING,PENDING,WAIT_FOR_FINAL_ACTUALS,NO,Real No Bet row but final actuals are not available yet.,NO_BET_AUDIT_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T00:45:13+01:00,2026-06-20|1522830|NO_CLEAR_STAT_MARKET,1522830,Banga,FK Zalgiris Vilnius,NO_CLEAR_STAT_MARKET,NO_BET,TRANSLATION_PENDING_RESULT_OR_CAUSAL_REVIEW,PENDING,UNKNOWN_FAMILY,NO_FINAL_ACTUALS_FOUND,,,,,,,NO_BET_AUDIT_PENDING_FINAL_ACTUALS,PENDING,NO_POSTMATCH_PRESSURE_METRICS,PENDING,PENDING,WAIT_FOR_FINAL_ACTUALS,NO,Real No Bet row but final actuals are not available yet.,NO_BET_AUDIT_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T00:45:13+01:00,2026-06-20|1522828|NO_CLEAR_STAT_MARKET,1522828,Panevėžys,Šiauliai,NO_CLEAR_STAT_MARKET,NO_BET,TRANSLATION_PENDING_RESULT_OR_CAUSAL_REVIEW,PENDING,UNKNOWN_FAMILY,NO_FINAL_ACTUALS_FOUND,,,,,,,NO_BET_AUDIT_PENDING_FINAL_ACTUALS,PENDING,NO_POSTMATCH_PRESSURE_METRICS,PENDING,PENDING,WAIT_FOR_FINAL_ACTUALS,NO,Real No Bet row but final actuals are not available yet.,NO_BET_AUDIT_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T00:45:13+01:00,2026-06-20|1522829|NO_CLEAR_STAT_MARKET,1522829,TransINVEST Vilnius,Kauno Žalgiris,NO_CLEAR_STAT_MARKET,NO_BET,TRANSLATION_PENDING_RESULT_OR_CAUSAL_REVIEW,PENDING,UNKNOWN_FAMILY,NO_FINAL_ACTUALS_FOUND,,,,,,,NO_BET_AUDIT_PENDING_FINAL_ACTUALS,PENDING,NO_POSTMATCH_PRESSURE_METRICS,PENDING,PENDING,WAIT_FOR_FINAL_ACTUALS,NO,Real No Bet row but final actuals are not available yet.,NO_BET_AUDIT_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T00:45:13+01:00,2026-06-20|1526855|NO_CLEAR_STAT_MARKET,1526855,Anápolis,AO Itabaiana,NO_CLEAR_STAT_MARKET,NO_BET,TRANSLATION_PENDING_RESULT_OR_CAUSAL_REVIEW,PENDING,UNKNOWN_FAMILY,NO_FINAL_ACTUALS_FOUND,,,,,,,NO_BET_AUDIT_PENDING_FINAL_ACTUALS,PENDING,NO_POSTMATCH_PRESSURE_METRICS,PENDING,PENDING,WAIT_FOR_FINAL_ACTUALS,NO,Real No Bet row but final actuals are not available yet.,NO_BET_AUDIT_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T00:45:13+01:00,2026-06-20|1526857|NO_CLEAR_STAT_MARKET,1526857,Botafogo PB,Volta Redonda,NO_CLEAR_STAT_MARKET,NO_BET,TRANSLATION_PENDING_RESULT_OR_CAUSAL_REVIEW,PENDING,UNKNOWN_FAMILY,NO_FINAL_ACTUALS_FOUND,,,,,,,NO_BET_AUDIT_PENDING_FINAL_ACTUALS,PENDING,NO_POSTMATCH_PRESSURE_METRICS,PENDING,PENDING,WAIT_FOR_FINAL_ACTUALS,NO,Real No Bet row but final actuals are not available yet.,NO_BET_AUDIT_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T00:45:13+01:00,2026-06-20|1526863|NO_CLEAR_STAT_MARKET,1526863,Santa Cruz,Ypiranga-RS,NO_CLEAR_STAT_MARKET,NO_BET,TRANSLATION_PENDING_RESULT_OR_CAUSAL_REVIEW,PENDING,UNKNOWN_FAMILY,NO_FINAL_ACTUALS_FOUND,,,,,,,NO_BET_AUDIT_PENDING_FINAL_ACTUALS,PENDING,NO_POSTMATCH_PRESSURE_METRICS,PENDING,PENDING,WAIT_FOR_FINAL_ACTUALS,NO,Real No Bet row but final actuals are not available yet.,NO_BET_AUDIT_V1_NO_AUTO_APPLY,NO,NO
