target_date,generated_at,fixture_id,home_team,away_team,status,goals,stats_status,updated_fields,source_guard
2026-06-21,2026-06-21T00:45:13+01:00,1493547,Brooklyn,Tampa Bay Rowdies,1H,0-2,NOT_FINAL,fixture_status_short;fixture_status_long;fixture_status_elapsed;goals_home;goals_away;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-21,2026-06-21T00:45:13+01:00,1493549,Hartford Athletic,Pittsburgh Riverhounds,1H,0-0,NOT_FINAL,fixture_status_short;fixture_status_long;fixture_status_elapsed;goals_home;goals_away;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-21,2026-06-21T00:45:13+01:00,1493554,Sporting JAX,Charleston Battery,PST,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-21,2026-06-21T00:45:13+01:00,1493869,Chattanooga Red Wolves,Naples,1H,0-0,NOT_FINAL,fixture_status_short;fixture_status_long;fixture_status_elapsed;goals_home;goals_away;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-21,2026-06-21T00:45:13+01:00,1493872,Greenville Triumph,Alta,1H,0-0,NOT_FINAL,fixture_status_short;fixture_status_long;fixture_status_elapsed;goals_home;goals_away;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-21,2026-06-21T00:45:13+01:00,1493873,Richmond Kickers,Fort Wayne,1H,0-1,NOT_FINAL,fixture_status_short;fixture_status_long;fixture_status_elapsed;goals_home;goals_away;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-21,2026-06-21T00:45:13+01:00,1525000,Buffalo,Pittsburgh Riverhounds 2,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-21,2026-06-21T00:45:13+01:00,1525002,Bigfoot,Tacoma Stars,1H,1-1,NOT_FINAL,fixture_status_short;fixture_status_long;fixture_status_elapsed;goals_home;goals_away;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-21,2026-06-21T00:45:13+01:00,1525017,Blackwatch Rush,Connecticut Rush,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-21,2026-06-21T00:45:13+01:00,1525018,Cedar Stars Rush,Morris Elite,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-21,2026-06-21T00:45:13+01:00,1525020,Hickory,Wake,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-21,2026-06-21T00:45:13+01:00,1525021,Hill City,Christos,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-21,2026-06-21T00:45:13+01:00,1525022,Lionsbridge,Virginia Beach City,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-21,2026-06-21T00:45:13+01:00,1525024,Manhattan,Hudson Valley Hammers,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-21,2026-06-21T00:45:13+01:00,1525025,FC Miami City,Lakeland United,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-21,2026-06-21T00:45:13+01:00,1525026,Ocean City Nor'easters,Reading United,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-21,2026-06-21T00:45:13+01:00,1525029,SC United Bantams,Charlotte Eagles,1H,0-0,NOT_FINAL,fixture_status_short;fixture_status_long;fixture_status_elapsed;goals_home;goals_away;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-21,2026-06-21T00:45:13+01:00,1525030,Shark Coast,The Villages,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-21,2026-06-21T00:45:13+01:00,1525031,Toledo Villa,West Virginia Alliance,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-21,2026-06-21T00:45:13+01:00,1525034,Union Macomb,Oakland County,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-21,2026-06-21T00:45:13+01:00,1525035,Vermont Green,Boston City,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-21,2026-06-21T00:45:13+01:00,1525410,PA Classics,Real Central New Jersey,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-21,2026-06-21T00:45:13+01:00,1532247,Asheville City W,Chattanooga Red Wolves W,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-21,2026-06-21T00:45:13+01:00,1532248,Knoxville W,SSA Royals W,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-21,2026-06-21T00:45:13+01:00,1532249,Detroit City W,Union Macomb W,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-21,2026-06-21T00:45:13+01:00,1532456,New England Mutiny W,Hudson Valley Crusaders W,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-21,2026-06-21T00:45:13+01:00,1542667,Lexington,Indy Eleven,1H,0-0,NOT_FINAL,fixture_status_short;fixture_status_long;fixture_status_elapsed;goals_home;goals_away;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-21,2026-06-21T00:45:13+01:00,1493875,Tormenta,Charlotte Independence,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-21,2026-06-21T00:45:13+01:00,1524998,East Atlanta,Southern Soccer Academy,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-21,2026-06-21T00:45:13+01:00,1525036,Charlotte Independence 2,Appalachian,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-21,2026-06-21T00:45:13+01:00,1526861,Ituano,Figueirense,1H,0-0,NOT_FINAL,fixture_status_short;fixture_status_long;fixture_status_elapsed;goals_home;goals_away;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-21,2026-06-21T00:45:13+01:00,1530415,San Martín Mendoza,Huracan Las Heras,1H,0-0,NOT_FINAL,fixture_status_short;fixture_status_long;fixture_status_elapsed;goals_home;goals_away;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-21,2026-06-21T00:45:13+01:00,1525037,Columbus United,Dothan United,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-21,2026-06-21T00:45:13+01:00,1489392,Ecuador,Curaçao,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
