target_date,generated_at,ledger_key,fixture_id,home_team,away_team,league,country,decision_bucket,pick_outcome,quality_class,market_family,actual_home_goals,actual_away_goals,actual_total_goals,actual_scoreline,goal_margin,scoreline_neighbor_bucket,draw_neighbor_flag,one_goal_margin_flag,low_score_flag,high_score_flag,scoreline_data_status,scoreline_stress_status,scoreline_learning_label,stress_evidence_level,manual_review_required,recommended_action,scoreline_note,source_guard,auto_apply,production_change
2026-06-21,2026-06-21T00:45:14+01:00,2026-06-04|DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE|NO_MARKET,DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE,NO_PROMOTED_RAW_CANDIDATES,NO_SCORING_SAFE_ROWS,,,DIAGNOSTIC_ONLY,NO_PICK,DIAGNOSTIC_NO_LEARNING,NO_MARKET,,,,,,NO_SCORELINE,NO,NO,NO,NO,NO_SCORELINE_DATA,DIAGNOSTIC_NO_SCORELINE_STRESS,DIAGNOSTIC_NOT_REAL_FIXTURE,NONE,NO,NO_MODEL_CHANGE,Diagnostic row; no scoreline neighbor stress can be evaluated.,SCORELINE_NEIGHBOR_STRESS_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T00:45:14+01:00,2026-06-18|DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE|NO_MARKET,DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE,NO_PROMOTED_RAW_CANDIDATES,NO_SCORING_SAFE_ROWS,,,DIAGNOSTIC_ONLY,NO_PICK,DIAGNOSTIC_NO_LEARNING,NO_MARKET,,,,,,NO_SCORELINE,NO,NO,NO,NO,NO_SCORELINE_DATA,DIAGNOSTIC_NO_SCORELINE_STRESS,DIAGNOSTIC_NOT_REAL_FIXTURE,NONE,NO,NO_MODEL_CHANGE,Diagnostic row; no scoreline neighbor stress can be evaluated.,SCORELINE_NEIGHBOR_STRESS_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T00:45:14+01:00,2026-06-19|DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE|NO_MARKET,DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE,NO_PROMOTED_RAW_CANDIDATES,NO_SCORING_SAFE_ROWS,,,DIAGNOSTIC_ONLY,NO_PICK,DIAGNOSTIC_NO_LEARNING,NO_MARKET,,,,,,NO_SCORELINE,NO,NO,NO,NO,NO_SCORELINE_DATA,DIAGNOSTIC_NO_SCORELINE_STRESS,DIAGNOSTIC_NOT_REAL_FIXTURE,NONE,NO,NO_MODEL_CHANGE,Diagnostic row; no scoreline neighbor stress can be evaluated.,SCORELINE_NEIGHBOR_STRESS_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T00:45:14+01:00,2026-06-20|1551272|OVER_1_5_SUPPORTED,1551272,Almeria,Malaga,,,LIVE_ONLY,PENDING,PENDING_FINAL_ACTUALS,TOTAL_GOALS,,,,,,NO_SCORELINE,NO,NO,NO,NO,NO_SCORELINE_DATA,SCORELINE_DATA_MISSING,NO_SCORELINE_SIGNAL,LOW,NO,COLLECT_FINAL_SCORELINE_DATA,No usable final scoreline found for this fixture.,SCORELINE_NEIGHBOR_STRESS_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T00:45:14+01:00,2026-06-20|1520732|NO_CLEAR_STAT_MARKET,1520732,Ceara,Botafogo SP,,,NO_BET,PENDING,PENDING_FINAL_ACTUALS,UNKNOWN_FAMILY,,,,,,NO_SCORELINE,NO,NO,NO,NO,NO_SCORELINE_DATA,SCORELINE_DATA_MISSING,NO_SCORELINE_SIGNAL,LOW,NO,COLLECT_FINAL_SCORELINE_DATA,No usable final scoreline found for this fixture.,SCORELINE_NEIGHBOR_STRESS_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T00:45:14+01:00,2026-06-20|1520735|NO_CLEAR_STAT_MARKET,1520735,Londrina,Athletic Club,,,NO_BET,PENDING,PENDING_FINAL_ACTUALS,UNKNOWN_FAMILY,,,,,,NO_SCORELINE,NO,NO,NO,NO,NO_SCORELINE_DATA,SCORELINE_DATA_MISSING,NO_SCORELINE_SIGNAL,LOW,NO,COLLECT_FINAL_SCORELINE_DATA,No usable final scoreline found for this fixture.,SCORELINE_NEIGHBOR_STRESS_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T00:45:14+01:00,2026-06-20|1520739|NO_CLEAR_STAT_MARKET,1520739,Vila Nova,Nautico Recife,,,NO_BET,PENDING,PENDING_FINAL_ACTUALS,UNKNOWN_FAMILY,,,,,,NO_SCORELINE,NO,NO,NO,NO,NO_SCORELINE_DATA,SCORELINE_DATA_MISSING,NO_SCORELINE_SIGNAL,LOW,NO,COLLECT_FINAL_SCORELINE_DATA,No usable final scoreline found for this fixture.,SCORELINE_NEIGHBOR_STRESS_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T00:45:14+01:00,2026-06-20|1522830|NO_CLEAR_STAT_MARKET,1522830,Banga,FK Zalgiris Vilnius,,,NO_BET,PENDING,PENDING_FINAL_ACTUALS,UNKNOWN_FAMILY,,,,,,NO_SCORELINE,NO,NO,NO,NO,NO_SCORELINE_DATA,SCORELINE_DATA_MISSING,NO_SCORELINE_SIGNAL,LOW,NO,COLLECT_FINAL_SCORELINE_DATA,No usable final scoreline found for this fixture.,SCORELINE_NEIGHBOR_STRESS_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T00:45:14+01:00,2026-06-20|1522828|NO_CLEAR_STAT_MARKET,1522828,Panevėžys,Šiauliai,,,NO_BET,PENDING,PENDING_FINAL_ACTUALS,UNKNOWN_FAMILY,,,,,,NO_SCORELINE,NO,NO,NO,NO,NO_SCORELINE_DATA,SCORELINE_DATA_MISSING,NO_SCORELINE_SIGNAL,LOW,NO,COLLECT_FINAL_SCORELINE_DATA,No usable final scoreline found for this fixture.,SCORELINE_NEIGHBOR_STRESS_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T00:45:14+01:00,2026-06-20|1522829|NO_CLEAR_STAT_MARKET,1522829,TransINVEST Vilnius,Kauno Žalgiris,,,NO_BET,PENDING,PENDING_FINAL_ACTUALS,UNKNOWN_FAMILY,,,,,,NO_SCORELINE,NO,NO,NO,NO,NO_SCORELINE_DATA,SCORELINE_DATA_MISSING,NO_SCORELINE_SIGNAL,LOW,NO,COLLECT_FINAL_SCORELINE_DATA,No usable final scoreline found for this fixture.,SCORELINE_NEIGHBOR_STRESS_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T00:45:14+01:00,2026-06-20|1526855|NO_CLEAR_STAT_MARKET,1526855,Anápolis,AO Itabaiana,,,NO_BET,PENDING,PENDING_FINAL_ACTUALS,UNKNOWN_FAMILY,,,,,,NO_SCORELINE,NO,NO,NO,NO,NO_SCORELINE_DATA,SCORELINE_DATA_MISSING,NO_SCORELINE_SIGNAL,LOW,NO,COLLECT_FINAL_SCORELINE_DATA,No usable final scoreline found for this fixture.,SCORELINE_NEIGHBOR_STRESS_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T00:45:14+01:00,2026-06-20|1526857|NO_CLEAR_STAT_MARKET,1526857,Botafogo PB,Volta Redonda,,,NO_BET,PENDING,PENDING_FINAL_ACTUALS,UNKNOWN_FAMILY,,,,,,NO_SCORELINE,NO,NO,NO,NO,NO_SCORELINE_DATA,SCORELINE_DATA_MISSING,NO_SCORELINE_SIGNAL,LOW,NO,COLLECT_FINAL_SCORELINE_DATA,No usable final scoreline found for this fixture.,SCORELINE_NEIGHBOR_STRESS_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T00:45:14+01:00,2026-06-20|1526863|NO_CLEAR_STAT_MARKET,1526863,Santa Cruz,Ypiranga-RS,,,NO_BET,PENDING,PENDING_FINAL_ACTUALS,UNKNOWN_FAMILY,,,,,,NO_SCORELINE,NO,NO,NO,NO,NO_SCORELINE_DATA,SCORELINE_DATA_MISSING,NO_SCORELINE_SIGNAL,LOW,NO,COLLECT_FINAL_SCORELINE_DATA,No usable final scoreline found for this fixture.,SCORELINE_NEIGHBOR_STRESS_V1_NO_AUTO_APPLY,NO,NO
