country,league,league_tier,league_filter_reason,matches
Algeria,Ligue 1,REJECT,country_league_not_allowlisted,9
Austria,Landesliga - Salzburg,REJECT,hard_reject_noise_league,8
Senegal,Ligue 1,REJECT,country_league_not_allowlisted,8
Austria,Landesliga - Steiermark,REJECT,hard_reject_noise_league,7
Austria,Regionalliga - Ost,REJECT,hard_reject_noise_league,7
Netherlands,Eredivisie Women,REJECT,hard_reject_noise_league,6
Austria,Regionalliga - Mitte,REJECT,hard_reject_noise_league,5
Austria,Regionalliga - West,REJECT,hard_reject_noise_league,5
Iceland,Úrvalsdeild,REJECT,country_league_not_allowlisted,5
Ireland,First Division,REJECT,country_league_not_allowlisted,5
Ireland,Premier Division,REJECT,country_league_not_allowlisted,5
Northern-Ireland,Premiership Women,REJECT,hard_reject_noise_league,4
Sweden,Division 2 - Södra Götaland,REJECT,country_league_not_allowlisted,4
Argentina,Primera B Metropolitana,REJECT,country_league_not_allowlisted,3
Austria,Landesliga - Vorarlbergliga,REJECT,hard_reject_noise_league,3
Belgium,Super League Women,REJECT,hard_reject_noise_league,3
Iceland,1. Deild,REJECT,country_league_not_allowlisted,3
Norway,3. Division - Girone 2,REJECT,country_league_not_allowlisted,3
Romania,Liga III - Play-offs,REJECT,country_league_not_allowlisted,3
Sweden,Division 2 - Norra Götaland,REJECT,country_league_not_allowlisted,3
Sweden,Division 2 - Västra Götaland,REJECT,country_league_not_allowlisted,3
Denmark,2. Division,REJECT,country_league_not_allowlisted,2
Denmark,3. Division,REJECT,country_league_not_allowlisted,2
Denmark,Kvindeliga,REJECT,hard_reject_noise_league,2
Germany,Oberliga - Mittelrhein,REJECT,hard_reject_noise_league,2
Kyrgyzstan,Premier League,REJECT,country_league_not_allowlisted,2
Morocco,Botola Pro,REJECT,country_league_not_allowlisted,2
Peru,Segunda División,REJECT,country_league_not_allowlisted,2
Slovenia,1. SNL,REJECT,country_league_not_allowlisted,2
Sweden,Elitettan,REJECT,country_league_not_allowlisted,2
Sweden,Ettan - Södra,REJECT,country_league_not_allowlisted,2
Argentina,Primera C,REJECT,country_league_not_allowlisted,1
Austria,Landesliga - Oberosterreich,REJECT,hard_reject_noise_league,1
Belarus,Premier League,REJECT,country_league_not_allowlisted,1
Bhutan,Premier League,REJECT,country_league_not_allowlisted,1
Bolivia,Primera División,REJECT,country_league_not_allowlisted,1
Brazil,Copa Espírito Santo,REJECT,country_league_not_allowlisted,1
Brazil,Mineiro U20,REJECT,hard_reject_noise_league,1
Brazil,Paranaense U20,REJECT,hard_reject_noise_league,1
Cameroon,Elite Two,REJECT,country_league_not_allowlisted,1
Chile,Primera División,REJECT,country_league_not_allowlisted,1
Colombia,Liga Femenina,REJECT,hard_reject_noise_league,1
Croatia,First NL,REJECT,country_league_not_allowlisted,1
Czech-Republic,4. liga - Divizie B,REJECT,hard_reject_noise_league,1
Ecuador,Liga Pro Serie B,REJECT,country_league_not_allowlisted,1
England,U18 Premier League - Championship,REJECT,hard_reject_noise_league,1
France,Coupe de France,REJECT,country_league_not_allowlisted,1
Germany,Oberliga - Baden-Württemberg,REJECT,hard_reject_noise_league,1
Germany,Oberliga - Hessen,REJECT,hard_reject_noise_league,1
Germany,Oberliga - Rheinland-Pfalz / Saar,REJECT,hard_reject_noise_league,1
Italy,Campionato Primavera - 1,REJECT,country_league_not_allowlisted,1
Lithuania,1 Lyga,REJECT,country_league_not_allowlisted,1
Norway,3. Division - Girone 3,REJECT,country_league_not_allowlisted,1
Paraguay,Division Profesional - Apertura,REJECT,country_league_not_allowlisted,1
Peru,Primera División,REJECT,country_league_not_allowlisted,1
Poland,II Liga - East,REJECT,country_league_not_allowlisted,1
Poland,III Liga - Group 3,REJECT,country_league_not_allowlisted,1
Portugal,Campeonato de Portugal Prio - Promotion Round,REJECT,country_league_not_allowlisted,1
Romania,Liga I,REJECT,country_league_not_allowlisted,1
Rwanda,National Soccer League,REJECT,country_league_not_allowlisted,1
Serbia,Super Liga,REJECT,country_league_not_allowlisted,1
Slovakia,3. liga - West,REJECT,country_league_not_allowlisted,1
Sweden,Division 2 - Södra Svealand,REJECT,country_league_not_allowlisted,1
Turkey,Türkiye Kupası,REJECT,country_league_not_allowlisted,1
USA,MLS Next Pro,REJECT,hard_reject_noise_league,1
USA,USL League Two,REJECT,country_league_not_allowlisted,1
USA,USL W League,REJECT,country_league_not_allowlisted,1
Uruguay,Primera División - Apertura,REJECT,country_league_not_allowlisted,1
Uruguay,Segunda División,REJECT,country_league_not_allowlisted,1
Venezuela,Segunda División,REJECT,country_league_not_allowlisted,1
Vietnam,V.League 2,REJECT,country_league_not_allowlisted,1
World,AFC U17 Asian Cup,REJECT,hard_reject_noise_league,1
Germany,2. Bundesliga,TIER_1,germany_2_bundesliga,1
Italy,Serie A,TIER_1,italy_serie_a,1
Italy,Serie B,TIER_1,italy_serie_b,1
Austria,Bundesliga,TIER_2,austria_bundesliga,1
Sweden,Allsvenskan,TIER_2,sweden_allsvenskan,1
Brazil,Serie B,TIER_3,brazil_serie_b_noisy,1
Egypt,Premier League,TIER_3,egypt_premier_league_noisy,1
Ecuador,Copa Ecuador,TIER_4,ecuador_cup_context_only,1
