comparison_status,fixture_id,fixture,league,baseline_rank,candidate_v2_rank,candidate_v7_rank,baseline_market,candidate_v2_market,candidate_v7_market,candidate_v7_decision,candidate_v7_required_edge,candidate_v7_actual_edge,candidate_v7_drift_status,candidate_v7_clv_direction,candidate_v7_execution_status,target_date,generated_at,pipeline_mode,candidate_version,source_file_date_check,run_id
BASELINE,1494177,Djurgardens IF vs IF Brommapojkarna,Allsvenskan,2,,,OVER_2_5,,,,,,,,,2026-05-22,2026-05-22T12:58:54+00:00,PRE,COMPARISON,NO_DATE_COLUMN,2026-05-22-20260522T125854Z
BASELINE+CANDIDATE_V2,1544652,Sudtirol vs Bari,Serie B,1,1.0,,OVER_1_5,OVER_1_5,,,,,,,,2026-05-22,2026-05-22T12:58:54+00:00,PRE,COMPARISON,NO_DATE_COLUMN,2026-05-22-20260522T125854Z
