comparison_status,fixture_id,fixture,league,baseline_rank,candidate_v2_rank,candidate_v4_rank,baseline_market,candidate_v2_market,candidate_v4_market,candidate_v4_original_market,candidate_v4_firewall_decision,baseline_result,candidate_v2_result,candidate_v4_result,baseline_profit_units,candidate_v2_profit_units,candidate_v4_profit_units,target_date,generated_at,pipeline_mode,candidate_version,source_file_date_check,run_id
BASELINE+CANDIDATE_V2+CANDIDATE_V4,1494182,Kalmar FF vs Degerfors IF,Allsvenskan,2,2,2,OVER_1_5,OVER_1_5,OVER_1_5,OVER_1_5,NOT_APPLIED,UNMATCHED,UNMATCHED,UNMATCHED,,,,2026-05-22,2026-05-23T11:42:35+00:00,POST,RESULT_COMPARISON,NO_DATE_COLUMN,2026-05-22-20260523T114235Z
BASELINE+CANDIDATE_V2+CANDIDATE_V4,1504822,Kashima vs FC Tokyo,J1 League,1,1,1,OVER_1_5,OVER_1_5,OVER_1_5,OVER_1_5,NOT_APPLIED,UNMATCHED,UNMATCHED,UNMATCHED,,,,2026-05-22,2026-05-23T11:42:35+00:00,POST,RESULT_COMPARISON,NO_DATE_COLUMN,2026-05-22-20260523T114235Z
