summary_scope,final_execution_bucket,production_governance_status,final_recommendation,execution_verdict,production_governance_best_evidence_tier,rows_total,base_actionable_rows,final_actionable_rows,bet_rows,lean_play_rows,avg_selection_score,avg_primary_edge,avg_production_governance_rule_count,avg_production_governance_premium_rule_count,avg_production_governance_standard_rule_count,avg_production_governance_generic_rule_count
overall,,,,,,27,27,15,15,0,90.1911,0.171563,11.4444,7.5185,3.9259,0.0
by_final_execution_bucket,APPROVED_PREMIUM,,,,,15,15,15,15,0,89.2887,0.194859,17.1333,11.6667,5.4667,0.0
by_final_execution_bucket,DOWNGRADED,,,,,12,12,0,0,0,91.3192,0.142444,4.3333,2.3333,2.0,0.0
by_bucket_and_governance_status,APPROVED_PREMIUM,APPROVED_BY_PREMIUM_PROMOTED_RULE,,,,15,15,15,15,0,89.2887,0.194859,17.1333,11.6667,5.4667,0.0
by_bucket_and_governance_status,DOWNGRADED,APPROVED_BY_PREMIUM_PROMOTED_RULE,,,,3,3,0,0,0,90.47,0.31659,17.3333,9.3333,8.0,0.0
by_bucket_and_governance_status,DOWNGRADED,DOWNGRADED_NO_PROMOTED_RULE_MATCH,,,,9,9,0,0,0,91.6022,0.084395,0.0,0.0,0.0,0.0
by_bucket_and_final_recommendation,APPROVED_PREMIUM,,BET,,,15,15,15,15,0,89.2887,0.194859,17.1333,11.6667,5.4667,0.0
by_bucket_and_final_recommendation,DOWNGRADED,,WATCH,,,12,12,0,0,0,91.3192,0.142444,4.3333,2.3333,2.0,0.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,CORE_SHORTLIST,,1,1,1,1,0,100.39,0.3859,25.0,13.0,12.0,0.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,TOP_CORE,,1,1,1,1,0,102.66,0.279731,25.0,13.0,12.0,0.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,WATCH,,13,13,13,13,0,87.4062,0.173635,15.9231,11.4615,4.4615,0.0
by_bucket_and_execution_verdict,DOWNGRADED,,,WATCH,,12,12,0,0,0,91.3192,0.142444,4.3333,2.3333,2.0,0.0
by_bucket_and_best_evidence_tier,APPROVED_PREMIUM,,,,PREMIUM_EVIDENCE,15,15,15,15,0,89.2887,0.194859,17.1333,11.6667,5.4667,0.0
by_bucket_and_best_evidence_tier,DOWNGRADED,,,,PREMIUM_EVIDENCE,3,3,0,0,0,90.47,0.31659,17.3333,9.3333,8.0,0.0
by_bucket_and_best_evidence_tier,DOWNGRADED,,,,,9,9,0,0,0,91.6022,0.084395,0.0,0.0,0.0,0.0
