experiment_id,display_name,status,selection_role,allowed_to_select_officially,total_days_observed,pick_days,no_bet_days,picks_total,settled_picks,wins,losses,pushes,voids,hit_rate,profit_units,roi_percent,average_calibrated_probability,brier_score,max_drawdown,market_mix,failure_mode_mix,current_verdict
OFFICIAL_BASELINE,vSIGMA Competition Accuracy Mode + Probability Calibration,OFFICIAL,official_selector,True,8,8,1,17,7,4,3,0,0,57.142857,-1.17,-16.714286,0.807071,0.309746,-0.64,OVER_1_5:12; OVER_2_5:4; UNDER_3_5:1,FAILURE_MODE_LOW_CONVERSION:32; market_fit=SAFE_OK:17; LOW_CONVERSION:16; market=OVER_1_5:12; market=OVER_2_5:4; edge=0.141:2; edge=0.202:2; FAILURE_MODE_AVALANCHE_RISK:2; edge=0.136:1; edge=0.240:1; edge=0.123:1; edge=0.188:1; edge=0.167:1; edge=0.126:1; edge=0.259:1; edge=0.160:1; edge=0.170:1; edge=0.252:1; edge=0.191:1; market=UNDER_3_5:1; edge=0.176:1; AVALANCHE_RISK:1; edge=0.161:1,FROZEN_OFFICIAL_BASELINE
CANDIDATE_V2_SCHEDULE_ANOMALY,Candidate v2 Schedule Strength + Anomaly Cleaning,SHADOW,shadow_selector,False,8,8,1,15,6,3,3,0,0,50.0,-1.69,-28.166667,0.805814,0.349927,-1.09,OVER_1_5:12; OVER_2_5:2; UNDER_3_5:1,FAILURE_MODE_LOW_CONVERSION:28; market_fit=SAFE_OK:15; LOW_CONVERSION:14; market=OVER_1_5:12; market=OVER_2_5:2; edge=0.173:2; FAILURE_MODE_AVALANCHE_RISK:2; edge=0.135:1; edge=0.136:1; edge=0.201:1; edge=0.222:1; edge=0.199:1; edge=0.190:1; edge=0.169:1; edge=0.126:1; edge=0.246:1; edge=0.154:1; edge=0.248:1; edge=0.194:1; market=UNDER_3_5:1; AVALANCHE_RISK:1; edge=0.160:1,MAIN_SHADOW_RETENDER_NOT_PROMOTED
CANDIDATE_V3_ODDS_DEPTH,Candidate v3 Odds Structure Depth,NOT_PROMOTED,audit_layer,False,9,0,9,0,0,0,0,0,0,,0.0,,,,0.0,,,PARTIAL_NOT_PROMOTED
CANDIDATE_V4_O25_FIREWALL,Candidate v4 O2.5 Low Conversion Firewall,SHADOW,shadow_selector,False,8,8,1,14,6,3,3,0,0,50.0,-1.69,-28.166667,0.805573,0.349927,-1.09,OVER_1_5:13; UNDER_3_5:1,FAILURE_MODE_LOW_CONVERSION:26; market_fit=SAFE_OK:14; LOW_CONVERSION:13; market=OVER_1_5:12; edge=0.173:2; FAILURE_MODE_AVALANCHE_RISK:2; edge=0.135:1; edge=0.136:1; edge=0.201:1; edge=0.222:1; edge=0.199:1; edge=0.190:1; edge=0.169:1; edge=0.126:1; edge=0.154:1; market=OVER_2_5:1; edge=0.248:1; edge=0.194:1; market=UNDER_3_5:1; AVALANCHE_RISK:1; edge=0.160:1,PARTIAL_NOT_PROMOTED
CANDIDATE_V5_PLAYER_IMPACT,Candidate v5 Player Impact Layer,SHADOW,shadow_selector,False,8,8,1,15,6,3,3,0,0,50.0,-1.69,-28.166667,0.806347,0.349927,-1.09,OVER_1_5:12; OVER_2_5:2; UNDER_3_5:1,FAILURE_MODE_LOW_CONVERSION:28; market_fit=SAFE_OK:15; LOW_CONVERSION:14; market=OVER_1_5:12; market=OVER_2_5:2; edge=0.173:2; FAILURE_MODE_AVALANCHE_RISK:2; edge=0.135:1; edge=0.136:1; edge=0.201:1; edge=0.222:1; edge=0.199:1; edge=0.190:1; edge=0.169:1; edge=0.126:1; edge=0.246:1; edge=0.154:1; edge=0.248:1; edge=0.194:1; market=UNDER_3_5:1; AVALANCHE_RISK:1; edge=0.160:1,PARTIAL_NOT_PROMOTED
CANDIDATE_V6_API_PREDICTIONS,Candidate v6 API Predictions Benchmark,AUDIT_ONLY,audit_layer,False,8,8,1,14,6,3,3,0,0,50.0,-1.69,-28.166667,0.807277,0.349649,-1.09,OVER_1_5:12; OVER_2_5:1; UNDER_3_5:1,FAILURE_MODE_LOW_CONVERSION:26; market_fit=SAFE_OK:14; LOW_CONVERSION:13; market=OVER_1_5:12; edge=0.173:2; FAILURE_MODE_AVALANCHE_RISK:2; edge=0.135:1; edge=0.136:1; edge=0.201:1; edge=0.222:1; edge=0.199:1; edge=0.190:1; edge=0.169:1; edge=0.126:1; market=OVER_2_5:1; edge=0.246:1; edge=0.154:1; edge=0.194:1; market=UNDER_3_5:1; AVALANCHE_RISK:1; edge=0.160:1,PARTIAL_NOT_PROMOTED
CANDIDATE_V7_PRICE_DISCIPLINE,Candidate v7 Price Discipline + CLV + Drift Execution Guard,SHADOW,shadow_selector,False,8,7,3,10,1,1,0,0,0,100.0,0.36,36.0,0.808713,0.020079,0.0,OVER_1_5:7; OVER_2_5:2; UNDER_3_5:1,FAILURE_MODE_LOW_CONVERSION:18; market_fit=SAFE_OK:10; LOW_CONVERSION:9; market=OVER_1_5:7; market=OVER_2_5:2; edge=0.173:2; FAILURE_MODE_AVALANCHE_RISK:2; edge=0.201:1; edge=0.222:1; edge=0.190:1; edge=0.169:1; edge=0.246:1; edge=0.154:1; edge=0.248:1; market=UNDER_3_5:1; AVALANCHE_RISK:1; edge=0.160:1,PRICE_DISCIPLINE_UNTESTED
