ledger_id,target_date,generated_at,fixture_id,league,home_team,away_team,market_primary,candidate_present,official_action,executable_now,final_block_reason,retry_allowed,next_retry_time,execution_family_status,decision_source,competition_calibrated_prob,accuracy_confidence_score,accuracy_primary_risk,resolver_run_id,cloud_summary_status,is_actionable,is_non_actionable,is_expired,is_waiting,is_blocked,is_technical_review
2026-05-18::1392197::OVER_1_5::NO_BET,2026-05-18,2026-05-18T22:55:10+01:00,1392197.0,Segunda División,Leganes,Huesca,OVER_1_5,YES,NO_BET,NO,KICKOFF_ALREADY_PASSED,NO,,EXPIRED,vsigma_today_competition_top.csv,0.81596,151.82,FAILURE_MODE_LOW_CONVERSION,2026-05-18-20260518T173625Z,EXPIRED,NO,YES,YES,NO,NO,NO
2026-05-19::1544951::OVER_1_5::WAIT,2026-05-19,2026-05-19T11:50:02+01:00,1544951.0,Serie B,Monza,Juve Stabia,OVER_1_5,YES,WAIT,NO,OUTSIDE_PRELOCK_WINDOW,YES,2026-05-19T18:00+01:00,WAITING_FOR_WINDOW,vsigma_today_competition_top.csv,0.77956,153.514,FAILURE_MODE_LOW_CONVERSION,2026-05-19-20260519T104952Z,WAITING_FOR_WINDOW,NO,YES,NO,YES,NO,NO
2026-05-19::1535300::OVER_1_5::WAIT,2026-05-19,2026-05-19T21:18:06+01:00,1535300.0,CONMEBOL Libertadores,Coquimbo Unido,Deportes Tolima,OVER_1_5,YES,WAIT,NO,OUTSIDE_PRELOCK_WINDOW,YES,2026-05-19T22:00+01:00,WAITING_FOR_WINDOW,vsigma_today_competition_top.csv,0.784,119.281,FAILURE_MODE_LOW_CONVERSION,2026-05-19-20260519T182055Z,WAITING_FOR_WINDOW,NO,YES,NO,YES,NO,NO
2026-05-19::1535300::OVER_1_5::NO_BET,2026-05-19,2026-05-19T23:50:12+01:00,1535300.0,CONMEBOL Libertadores,Coquimbo Unido,Deportes Tolima,OVER_1_5,YES,NO_BET,NO,KICKOFF_ALREADY_PASSED,NO,,EXPIRED,vsigma_today_competition_top.csv,0.784,119.281,FAILURE_MODE_LOW_CONVERSION,2026-05-19-20260519T182055Z,EXPIRED,NO,YES,YES,NO,NO,NO
2026-05-20::1535312::OVER_1_5::EXECUTABLE,2026-05-20,2026-05-20T00:45:40+01:00,1535312.0,CONMEBOL Libertadores,Santa Fe,Platense,OVER_1_5,YES,EXECUTABLE,YES,NONE,NO,,PRELOCK_CONFIRMED,vsigma_today_competition_top.csv,0.80046,156.448,FAILURE_MODE_LOW_CONVERSION,2026-05-20-20260519T234530Z,PRELOCK_CONFIRMED,YES,NO,NO,NO,NO,NO
2026-05-20::1494229::OVER_2_5::WAIT,2026-05-20,2026-05-20T00:45:40+01:00,1494229.0,Allsvenskan,Gais,Hammarby FF,OVER_2_5,YES,WAIT,NO,OUTSIDE_PRELOCK_WINDOW,YES,2026-05-20T17:00+01:00,WAITING_FOR_WINDOW,vsigma_today_competition_top.csv,0.800225,137.648,FAILURE_MODE_LOW_CONVERSION,2026-05-20-20260519T234530Z,WAITING_FOR_WINDOW,NO,YES,NO,YES,NO,NO
2026-05-20::1544596::OVER_1_5::WAIT,2026-05-20,2026-05-20T18:12:53+01:00,1544596.0,UEFA Europa League,SC Freiburg,Aston Villa,OVER_1_5,YES,WAIT,NO,OUTSIDE_PRELOCK_WINDOW,YES,2026-05-20T19:00+01:00,WAITING_FOR_WINDOW,vsigma_today_competition_top.csv,0.82976,151.941,FAILURE_MODE_LOW_CONVERSION,2026-05-20-20260520T171243Z,WAITING_FOR_WINDOW,NO,YES,NO,YES,NO,NO
2026-05-20::1544596::OVER_1_5::EXECUTABLE,2026-05-20,2026-05-20T19:19:48+01:00,1544596.0,UEFA Europa League,SC Freiburg,Aston Villa,OVER_1_5,YES,EXECUTABLE,YES,NONE,NO,,PRELOCK_CONFIRMED,vsigma_today_competition_top.csv,0.82976,154.941,FAILURE_MODE_LOW_CONVERSION,2026-05-20-20260520T180435Z,PRELOCK_CONFIRMED,YES,NO,NO,NO,NO,NO
2026-05-20::1544596::OVER_1_5::NO_BET,2026-05-20,2026-05-20T22:14:01+01:00,1544596.0,UEFA Europa League,SC Freiburg,Aston Villa,OVER_1_5,YES,NO_BET,NO,KICKOFF_ALREADY_PASSED,NO,,EXPIRED,vsigma_today_competition_top.csv,0.82976,154.941,FAILURE_MODE_LOW_CONVERSION,2026-05-20-20260520T180435Z,EXPIRED,NO,YES,YES,NO,NO,NO
2026-05-21::1545410::OVER_2_5::WAIT,2026-05-21,2026-05-21T15:20:35+01:00,1545410.0,Superliga,Brondby,FC Copenhagen,OVER_2_5,YES,WAIT,NO,OUTSIDE_PRELOCK_WINDOW,YES,2026-05-21T16:00+01:00,WAITING_FOR_WINDOW,vsigma_today_competition_top.csv,0.801325,137.736,FAILURE_MODE_LOW_CONVERSION,2026-05-21-20260520T235245Z,WAITING_FOR_WINDOW,NO,YES,NO,YES,NO,NO
2026-05-21::1545410::OVER_2_5::NO_BET,2026-05-21,2026-05-21T18:36:56+01:00,1545410.0,Superliga,Brondby,FC Copenhagen,OVER_2_5,NO,NO_BET,NO,KICKOFF_ALREADY_PASSED,NO,,EXPIRED,vsigma_cloud_decision_summary.csv,,,,2026-05-21T18:36:56+01:00,MISSING,NO,YES,YES,NO,NO,NO
2026-05-21::1535302::OVER_1_5::NO_BET,2026-05-21,2026-05-21T18:36:56+01:00,1535302.0,CONMEBOL Libertadores,Flamengo,Estudiantes L.P.,OVER_1_5,NO,NO_BET,NO,KICKOFF_ALREADY_PASSED,NO,,EXPIRED,vsigma_cloud_decision_summary.csv,,,,2026-05-21T18:36:56+01:00,MISSING,NO,YES,YES,NO,NO,NO
2026-05-21::1535208::UNDER_3_5::NO_BET,2026-05-21,2026-05-21T18:36:56+01:00,1535208.0,CONMEBOL Sudamericana,Gremio,Palestino,UNDER_3_5,NO,NO_BET,NO,KICKOFF_ALREADY_PASSED,NO,,EXPIRED,vsigma_cloud_decision_summary.csv,,,,2026-05-21T18:36:56+01:00,MISSING,NO,YES,YES,NO,NO,NO
2026-05-21::NO_FIXTURE::NO_MARKET::NO_BET,2026-05-21,2026-05-21T23:51:45+01:00,,,,,,NO,NO_BET,NO,NO_CANDIDATES,NO,,NO_CANDIDATES,NO_CANDIDATES,,,,,MISSING,NO,YES,NO,NO,YES,NO
2026-05-22::1494177::OVER_2_5::EXECUTABLE,2026-05-22,2026-05-22T17:59:58+01:00,1494177.0,Allsvenskan,Djurgardens IF,IF Brommapojkarna,OVER_2_5,YES,EXECUTABLE,YES,NONE,NO,,PRELOCK_CONFIRMED,vsigma_today_competition_top.csv,0.804225,134.088,FAILURE_MODE_LOW_CONVERSION,2026-05-22-20260522T164050Z,PRELOCK_CONFIRMED,YES,NO,NO,NO,NO,NO
2026-05-22::1544652::OVER_1_5::NO_BET,2026-05-22,2026-05-22T22:49:13+01:00,1544652.0,Serie B,Sudtirol,Bari,OVER_1_5,YES,NO_BET,NO,KICKOFF_ALREADY_PASSED,NO,,EXPIRED,vsigma_today_competition_top.csv,0.78766,146.766,FAILURE_MODE_LOW_CONVERSION,2026-05-22-20260522T164050Z,EXPIRED,NO,YES,YES,NO,NO,NO
2026-05-22::1494177::OVER_2_5::NO_BET,2026-05-22,2026-05-22T22:49:13+01:00,1494177.0,Allsvenskan,Djurgardens IF,IF Brommapojkarna,OVER_2_5,YES,NO_BET,NO,KICKOFF_ALREADY_PASSED,NO,,EXPIRED,vsigma_today_competition_top.csv,0.804225,134.088,FAILURE_MODE_LOW_CONVERSION,2026-05-22-20260522T164050Z,EXPIRED,NO,YES,YES,NO,NO,NO
2026-05-23::1504822::OVER_1_5::NO_BET,2026-05-23,2026-05-23T08:50:07+01:00,1504822.0,J1 League,Kashima,FC Tokyo,OVER_1_5,YES,NO_BET,NO,ODDS_NOT_AVAILABLE;LINEUPS_NOT_AVAILABLE;AVAILABILITY_NOT_AVAILABLE,NO,,DATA_GAP_BLOCKED,vsigma_today_competition_top.csv,0.7902,113.377,FAILURE_MODE_LOW_CONVERSION,2026-05-23-20260523T074956Z,DATA_GAP_BLOCKED,NO,YES,NO,NO,YES,NO
2026-05-23::1494182::OVER_1_5::WAIT,2026-05-23,2026-05-23T08:50:07+01:00,1494182.0,Allsvenskan,Kalmar FF,Degerfors IF,OVER_1_5,YES,WAIT,NO,OUTSIDE_PRELOCK_WINDOW,YES,2026-05-23T13:00+01:00,WAITING_FOR_WINDOW,vsigma_today_competition_top.csv,0.7829,110.393,FAILURE_MODE_LOW_CONVERSION,2026-05-23-20260523T074956Z,WAITING_FOR_WINDOW,NO,YES,NO,YES,NO,NO
2026-05-23::1494182::OVER_1_5::EXECUTABLE,2026-05-23,2026-05-23T13:09:52+01:00,1494182.0,Allsvenskan,Kalmar FF,Degerfors IF,OVER_1_5,YES,EXECUTABLE,YES,NONE,NO,,PRELOCK_CONFIRMED,vsigma_today_competition_top.csv,0.7829,109.668,FAILURE_MODE_LOW_CONVERSION,2026-05-23-20260523T115024Z,PRELOCK_CONFIRMED,YES,NO,NO,NO,NO,NO
2026-05-23::1494182::OVER_1_5::NO_BET,2026-05-23,2026-05-23T21:13:36+01:00,1494182.0,Allsvenskan,Kalmar FF,Degerfors IF,OVER_1_5,YES,NO_BET,NO,KICKOFF_ALREADY_PASSED,NO,,EXPIRED,vsigma_today_competition_top.csv,0.7829,109.668,FAILURE_MODE_LOW_CONVERSION,2026-05-23-20260523T115024Z,EXPIRED,NO,YES,YES,NO,NO,NO
2026-05-24::1492273::OVER_1_5::EXECUTABLE,2026-05-24,2026-05-24T00:50:33+01:00,1492273.0,Serie A,Flamengo,Palmeiras,OVER_1_5,YES,EXECUTABLE,YES,NONE,NO,,PRELOCK_CONFIRMED,vsigma_today_competition_top.csv,0.8045,116.588,FAILURE_MODE_LOW_CONVERSION,2026-05-24-20260523T235021Z,PRELOCK_CONFIRMED,YES,NO,NO,NO,NO,NO
2026-05-24::1504827::OVER_1_5::WAIT,2026-05-24,2026-05-24T01:22:12+01:00,1504827.0,J1 League,Tokyo Verdy,Yokohama F. Marinos,OVER_1_5,YES,WAIT,NO,OUTSIDE_PRELOCK_WINDOW,NO,,WAITING_FOR_WINDOW,vsigma_today_competition_top.csv,0.7719,112.99,FAILURE_MODE_LOW_CONVERSION,2026-05-24-20260524T002200Z,WAITING_FOR_WINDOW,NO,YES,NO,YES,NO,NO
2026-05-24::1392207::OVER_2_5::WAIT,2026-05-24,2026-05-24T13:14:24+01:00,1392207.0,Segunda División,Sporting Gijon,Almeria,OVER_2_5,YES,WAIT,NO,OUTSIDE_PRELOCK_WINDOW,YES,2026-05-24T16:00+01:00,WAITING_FOR_WINDOW,vsigma_today_competition_top.csv,0.841525,142.569,FAILURE_MODE_LOW_CONVERSION,2026-05-24-20260524T115958Z,WAITING_FOR_WINDOW,NO,YES,NO,YES,NO,NO
2026-05-24::1545796::OVER_1_5::WAIT,2026-05-24,2026-05-24T17:14:16+01:00,1545796.0,Serie B,Catanzaro,Monza,OVER_1_5,YES,WAIT,NO,OUTSIDE_PRELOCK_WINDOW,YES,2026-05-24T18:00+01:00,WAITING_FOR_WINDOW,vsigma_today_competition_top.csv,0.819,125.787,FAILURE_MODE_LOW_CONVERSION,2026-05-24-20260524T115958Z,WAITING_FOR_WINDOW,NO,YES,NO,YES,NO,NO
2026-05-24::1492276::OVER_1_5::WAIT,2026-05-24,2026-05-24T17:40:42+01:00,1492276.0,Serie A,Remo,Atletico Paranaense,OVER_1_5,YES,WAIT,NO,OUTSIDE_PRELOCK_WINDOW,YES,2026-05-24T19:00+01:00,WAITING_FOR_WINDOW,vsigma_today_competition_top.csv,0.7612,110.058,FAILURE_MODE_LOW_CONVERSION,2026-05-24-20260524T115958Z,WAITING_FOR_WINDOW,NO,YES,NO,YES,NO,NO
2026-05-24::1392207::OVER_2_5::NO_BET,2026-05-24,2026-05-24T21:18:29+01:00,1392207.0,Segunda División,Sporting Gijon,Almeria,OVER_2_5,YES,NO_BET,NO,KICKOFF_ALREADY_PASSED,NO,,EXPIRED,vsigma_today_competition_top.csv,0.841525,142.569,FAILURE_MODE_LOW_CONVERSION,2026-05-24-20260524T115958Z,EXPIRED,NO,YES,YES,NO,NO,NO
