target_date,fixture_id,league,home_team,away_team,market_primary,experiment_id,source_candidate_version,pre_price,prelock_price,close_proxy_price,clv_delta,clv_percent,clv_direction,clv_interpretation,result,profit_units,snapshot_rebuild_mode,true_pre_snapshot_available_flag,clv_usable_for_threshold_calibration_flag,source_snapshot_stage,source_snapshot_note
2026-05-25,1494178,Allsvenskan,IF Elfsborg,BK Hacken,OVER_2_5,CANDIDATE_V2_SCHEDULE_ANOMALY,CANDIDATE_V2,1.8,,,,,CLV_UNAVAILABLE,CLV unavailable: missing close-proxy price.,,,CANONICAL_CAPTURED,1,0,PRE,Captured by odds snapshot pipeline.
2026-05-25,1494178,Allsvenskan,IF Elfsborg,BK Hacken,OVER_2_5,CANDIDATE_V7_PRICE_DISCIPLINE,CANDIDATE_V7,1.8,,,,,CLV_UNAVAILABLE,CLV unavailable: missing close-proxy price.,,,CANONICAL_CAPTURED,1,0,PRE,Captured by odds snapshot pipeline.
2026-05-25,1494178,Allsvenskan,IF Elfsborg,BK Hacken,OVER_2_5,DEEP_ANALYSIS_CANDIDATES,DEEP_ANALYSIS_BET,1.8,,,,,CLV_UNAVAILABLE,CLV unavailable: missing close-proxy price.,,,CANONICAL_CAPTURED,1,0,PRE,Captured by odds snapshot pipeline.
2026-05-25,1494178,Allsvenskan,IF Elfsborg,BK Hacken,OVER_2_5,OFFICIAL_BASELINE,EXECUTION_SHORTLIST;OFFICIAL_BASELINE,1.8,,,,,CLV_UNAVAILABLE,CLV unavailable: missing close-proxy price.,,,CANONICAL_CAPTURED,1,0,PRE,Captured by odds snapshot pipeline.
2026-05-25,1494179,Allsvenskan,IFK Goteborg,Mjallby AIF,OVER_1_5,CANDIDATE_V2_SCHEDULE_ANOMALY,CANDIDATE_V2,1.33,,,,,CLV_UNAVAILABLE,CLV unavailable: missing close-proxy price.,,,CANONICAL_CAPTURED,1,0,PRE,Captured by odds snapshot pipeline.
2026-05-25,1494179,Allsvenskan,IFK Goteborg,Mjallby AIF,OVER_1_5,DEEP_ANALYSIS_CANDIDATES,DEEP_ANALYSIS_BET,1.33,,,,,CLV_UNAVAILABLE,CLV unavailable: missing close-proxy price.,,,CANONICAL_CAPTURED,1,0,PRE,Captured by odds snapshot pipeline.
2026-05-25,1494179,Allsvenskan,IFK Goteborg,Mjallby AIF,OVER_1_5,OFFICIAL_BASELINE,EXECUTION_SHORTLIST;OFFICIAL_BASELINE,1.33,,,,,CLV_UNAVAILABLE,CLV unavailable: missing close-proxy price.,,,CANONICAL_CAPTURED,1,0,PRE,Captured by odds snapshot pipeline.
2026-05-25,1494669,Eliteserien,Ham-Kam,Lillestrom,OVER_2_5,DEEP_ANALYSIS_CANDIDATES,DEEP_ANALYSIS_BET,1.7,,,,,CLV_UNAVAILABLE,CLV unavailable: missing close-proxy price.,,,CANONICAL_CAPTURED,1,0,PRE,Captured by odds snapshot pipeline.
2026-05-25,1545418,Bundesliga,SC Paderborn 07,VfL Wolfsburg,OVER_1_5,CANDIDATE_V2_SCHEDULE_ANOMALY,CANDIDATE_V2;CANDIDATE_V2_RESULTS,1.35,,1.32,-0.03,2.222222,CLV_POSITIVE,Price shortened after PRE; vSIGMA beat the close proxy.,,,CANONICAL_CAPTURED,1,1,POST;PRE,Captured by odds snapshot pipeline.
2026-05-25,1545418,Bundesliga,SC Paderborn 07,VfL Wolfsburg,OVER_1_5,DEEP_ANALYSIS_CANDIDATES,DEEP_ANALYSIS_BET,1.35,,,,,CLV_UNAVAILABLE,CLV unavailable: missing close-proxy price.,,,CANONICAL_CAPTURED,1,0,PRE,Captured by odds snapshot pipeline.
2026-05-25,1545418,Bundesliga,SC Paderborn 07,VfL Wolfsburg,OVER_1_5,OFFICIAL_BASELINE,EXECUTION_SHORTLIST;OFFICIAL_BASELINE;OFFICIAL_BASELINE_PRELOCK;OFFICIAL_RESULTS,1.35,,1.32,-0.03,2.222222,CLV_POSITIVE,Price shortened after PRE; vSIGMA beat the close proxy.,,,CANONICAL_CAPTURED,1,1,CLOSE_PROXY;POST;PRE,Captured by odds snapshot pipeline.
2026-05-25,1545418,Bundesliga,SC Paderborn 07,VfL Wolfsburg,OVER_2_5,CANDIDATE_V2_SCHEDULE_ANOMALY,CANDIDATE_V2,1.9,,,,,CLV_UNAVAILABLE,CLV unavailable: missing close-proxy price.,,,CANONICAL_CAPTURED,1,0,PRE,Captured by odds snapshot pipeline.
2026-05-25,1545418,Bundesliga,SC Paderborn 07,VfL Wolfsburg,OVER_2_5,CANDIDATE_V7_PRICE_DISCIPLINE,CANDIDATE_V7,1.9,,,,,CLV_UNAVAILABLE,CLV unavailable: missing close-proxy price.,,,CANONICAL_CAPTURED,1,0,PRE,Captured by odds snapshot pipeline.
2026-05-25,1545418,Bundesliga,SC Paderborn 07,VfL Wolfsburg,OVER_2_5,DEEP_ANALYSIS_CANDIDATES,DEEP_ANALYSIS_BET,1.9,,,,,CLV_UNAVAILABLE,CLV unavailable: missing close-proxy price.,,,CANONICAL_CAPTURED,1,0,PRE,Captured by odds snapshot pipeline.
2026-05-25,1545418,Bundesliga,SC Paderborn 07,VfL Wolfsburg,OVER_2_5,OFFICIAL_BASELINE,EXECUTION_SHORTLIST;OFFICIAL_BASELINE,1.9,,,,,CLV_UNAVAILABLE,CLV unavailable: missing close-proxy price.,,,CANONICAL_CAPTURED,1,0,PRE,Captured by odds snapshot pipeline.
