market_primary,n_total,n_settled,wins,losses,pushes,win_rate_no_push,roi_units,avg_primary_edge,report_type,edge_floor_band,execution_verdict
AWAY_WIN,2.0,0.0,0.0,0.0,0.0,,,0.3107,by_market_primary,,
BTTS_YES,3.0,2.0,0.0,2.0,0.0,0.0,-2.0,0.2168,by_market_primary,,
OVER_1_5,8.0,3.0,2.0,1.0,0.0,0.6667,-0.16,0.1395,by_market_primary,,
OVER_2_5,6.0,1.0,1.0,0.0,0.0,1.0,0.95,0.1835,by_market_primary,,
UNDER_3_5,2.0,2.0,2.0,0.0,0.0,1.0,0.6,0.1397,by_market_primary,,
,1.0,0.0,0.0,0.0,0.0,,,0.0397,by_edge_floor_band,PLAYABLE,
,19.0,8.0,5.0,3.0,0.0,0.625,-0.61,0.1954,by_edge_floor_band,STRONG,
,1.0,0.0,0.0,0.0,0.0,,,0.0153,by_edge_floor_band,THIN,
,3.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.2375,by_execution_verdict,,CORE_SHORTLIST
,18.0,7.0,5.0,2.0,0.0,0.7143,0.39,0.1697,by_execution_verdict,,WATCH
ACTIONABLE_ONLY,14.0,7.0,4.0,3.0,0.0,0.5714,-0.85,0.1983,actionable_summary,,
