target_date,generated_at,fixture_id,league,home_team,away_team,market_primary,competition_calibrated_prob,accuracy_confidence_score,accuracy_primary_risk,fixture_datetime,minutes_to_kickoff,prelock_window_minutes,prelock_window_start,useful_prelock_slots,next_useful_prelock_slot,in_window_now,prelock_retained,prelock_decision,prelock_decision_reason,prelock_lineup_state,prelock_odds_state,prelock_availability_state,exclusion_reason,next_action
2026-05-21,2026-05-21T11:55:27+01:00,1545410,Superliga,Brondby,FC Copenhagen,OVER_2_5,0.801325,137.736,FAILURE_MODE_LOW_CONVERSION,2026-05-21T17:30+01:00,334.54,90,2026-05-21T16:00+01:00,2026-05-21T16:00+01:00;2026-05-21T17:00+01:00,2026-05-21T16:00+01:00,NO,NO,,,,,,OUTSIDE_90_MIN_PRELOCK_WINDOW,WAIT_UNTIL_2026-05-21T16:00+01:00
2026-05-21,2026-05-21T11:55:27+01:00,1535302,CONMEBOL Libertadores,Flamengo,Estudiantes L.P.,OVER_1_5,0.8157,125.862,FAILURE_MODE_LOW_CONVERSION,2026-05-21T01:30+01:00,-625.46,90,2026-05-21T00:00+01:00,,,NO,YES,PRELOCK_NOT_AVAILABLE,no reliable pre-lock data available; missing data is neutral,LINEUPS_NOT_AVAILABLE,ODDS_NOT_AVAILABLE,AVAILABILITY_NOT_AVAILABLE,PRELOCK_NOT_AVAILABLE,REVIEW_PRELOCK_DECISION
2026-05-21,2026-05-21T11:55:27+01:00,1535208,CONMEBOL Sudamericana,Gremio,Palestino,UNDER_3_5,0.8613,111.027,FAILURE_MODE_AVALANCHE_RISK,2026-05-21T01:00+01:00,-655.46,90,2026-05-20T23:30+01:00,,,NO,YES,PRELOCK_NOT_AVAILABLE,no reliable pre-lock data available; missing data is neutral,LINEUPS_NOT_AVAILABLE,ODDS_NOT_AVAILABLE,AVAILABILITY_NOT_AVAILABLE,PRELOCK_NOT_AVAILABLE,REVIEW_PRELOCK_DECISION
