summary_scope,metric,rows_total,final_execution_bucket,final_recommendation,league,market_primary
eligibility,premium_core_rows,3,,,,
eligibility,premium_extended_eligible_rows,5,,,,
eligibility,standard_eligible_rows,0,,,,
final,final_shortlist_rows,5,,,,
final,bets_only_rows,5,,,,
by_final_execution_bucket,,5,APPROVED_PREMIUM,,,
by_final_recommendation,,5,,BET,,
by_league,,2,,,CONMEBOL Libertadores,
by_league,,2,,,CONMEBOL Sudamericana,
by_league,,1,,,Superliga,
by_market_primary,,1,,,,BTTS_YES
by_market_primary,,2,,,,OVER_1_5
by_market_primary,,1,,,,OVER_2_5
by_market_primary,,1,,,,UNDER_3_5
