comparison_status,fixture_id,fixture,league,baseline_rank,candidate_v2_rank,candidate_v7_rank,baseline_market,candidate_v2_market,candidate_v7_market,candidate_v7_decision,candidate_v7_required_edge,candidate_v7_actual_edge,candidate_v7_drift_status,candidate_v7_clv_direction,candidate_v7_execution_status,target_date,generated_at,pipeline_mode,candidate_version,source_file_date_check,run_id
BASELINE+CANDIDATE_V2+CANDIDATE_V7,1535208,Gremio vs Palestino,CONMEBOL Sudamericana,3,3,2.0,UNDER_3_5,UNDER_3_5,UNDER_3_5,PRICE_OK,0.055,0.173006,UNKNOWN,CLV_FLAT,PRICE_OK,2026-05-21,2026-05-20T23:52:46+00:00,PRE,COMPARISON,NO_DATE_COLUMN,2026-05-21-20260520T235245Z
BASELINE+CANDIDATE_V2,1535302,Flamengo vs Estudiantes L.P.,CONMEBOL Libertadores,2,2,,OVER_1_5,OVER_1_5,,,,,,,,2026-05-21,2026-05-20T23:52:46+00:00,PRE,COMPARISON,NO_DATE_COLUMN,2026-05-21-20260520T235245Z
BASELINE+CANDIDATE_V2+CANDIDATE_V7,1545410,Brondby vs FC Copenhagen,Superliga,1,1,1.0,OVER_2_5,OVER_2_5,OVER_2_5,PRICE_OK,0.155,0.248285,NO_DRIFT,CLV_FLAT,PRICE_OK,2026-05-21,2026-05-20T23:52:46+00:00,PRE,COMPARISON,NO_DATE_COLUMN,2026-05-21-20260520T235245Z
