summary_scope,final_execution_bucket,production_governance_status,final_recommendation,execution_verdict,production_governance_best_evidence_tier,rows_total,base_actionable_rows,final_actionable_rows,bet_rows,lean_play_rows,avg_selection_score,avg_primary_edge,avg_production_governance_rule_count,avg_production_governance_premium_rule_count,avg_production_governance_standard_rule_count,avg_production_governance_generic_rule_count
overall,,,,,,10,9,6,6,0,87.81,0.171696,16.9,9.1,7.8,0.0
by_final_execution_bucket,APPROVED_PREMIUM,,,,,6,6,6,6,0,85.97,0.221081,24.0,13.0,11.0,0.0
by_final_execution_bucket,DOWNGRADED,,,,,3,3,0,0,0,87.4933,0.125044,8.3333,4.3333,4.0,0.0
by_final_execution_bucket,WATCH,,,,,1,0,0,0,0,99.8,0.015341,0.0,0.0,0.0,0.0
by_bucket_and_governance_status,APPROVED_PREMIUM,APPROVED_BY_PREMIUM_PROMOTED_RULE,,,,6,6,6,6,0,85.97,0.221081,24.0,13.0,11.0,0.0
by_bucket_and_governance_status,DOWNGRADED,APPROVED_BY_PREMIUM_PROMOTED_RULE,,,,1,1,0,0,0,94.55,0.224382,25.0,13.0,12.0,0.0
by_bucket_and_governance_status,DOWNGRADED,DOWNGRADED_NO_PROMOTED_RULE_MATCH,,,,2,2,0,0,0,83.965,0.075375,0.0,0.0,0.0,0.0
by_bucket_and_governance_status,WATCH,NON_ACTIONABLE_NO_PROMOTED_RULE_MATCH,,,,1,0,0,0,0,99.8,0.015341,0.0,0.0,0.0,0.0
by_bucket_and_final_recommendation,APPROVED_PREMIUM,,BET,,,6,6,6,6,0,85.97,0.221081,24.0,13.0,11.0,0.0
by_bucket_and_final_recommendation,DOWNGRADED,,WATCH,,,3,3,0,0,0,87.4933,0.125044,8.3333,4.3333,4.0,0.0
by_bucket_and_final_recommendation,WATCH,,WATCH,,,1,0,0,0,0,99.8,0.015341,0.0,0.0,0.0,0.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,CORE_SHORTLIST,,2,2,2,2,0,91.775,0.223306,22.0,13.0,9.0,0.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,WATCH,,4,4,4,4,0,83.0675,0.219968,25.0,13.0,12.0,0.0
by_bucket_and_execution_verdict,DOWNGRADED,,,WATCH,,3,3,0,0,0,87.4933,0.125044,8.3333,4.3333,4.0,0.0
by_bucket_and_execution_verdict,WATCH,,,WATCH,,1,0,0,0,0,99.8,0.015341,0.0,0.0,0.0,0.0
by_bucket_and_best_evidence_tier,APPROVED_PREMIUM,,,,PREMIUM_EVIDENCE,6,6,6,6,0,85.97,0.221081,24.0,13.0,11.0,0.0
by_bucket_and_best_evidence_tier,DOWNGRADED,,,,PREMIUM_EVIDENCE,1,1,0,0,0,94.55,0.224382,25.0,13.0,12.0,0.0
by_bucket_and_best_evidence_tier,DOWNGRADED,,,,,2,2,0,0,0,83.965,0.075375,0.0,0.0,0.0,0.0
by_bucket_and_best_evidence_tier,WATCH,,,,,1,0,0,0,0,99.8,0.015341,0.0,0.0,0.0,0.0
