target_date,mode,generated_at,global_health_status,check_name,status,detail,recovery_command,evidence_path
2026-05-21,full,2026-05-21T00:00:27.656658+01:00,WARNING,project_root_exists,HEALTHY,project root present,,/home/runner/work/vsigma/vsigma
2026-05-21,full,2026-05-21T00:00:27.656658+01:00,WARNING,venv_python_exists,HEALTHY,cloud runner python active; local .venv not required: /opt/hostedtoolcache/Python/3.11.15/x64/bin/python,,/opt/hostedtoolcache/Python/3.11.15/x64/bin/python
2026-05-21,full,2026-05-21T00:00:27.656658+01:00,WARNING,data_raw_exists,HEALTHY,data/raw present,Create data\raw or run the raw data fetch pipeline.,/home/runner/work/vsigma/vsigma/data/raw
2026-05-21,full,2026-05-21T00:00:27.656658+01:00,WARNING,data_processed_exists,HEALTHY,data/processed present,Create data\processed or run the PRE pipeline.,/home/runner/work/vsigma/vsigma/data/processed
2026-05-21,full,2026-05-21T00:00:27.656658+01:00,WARNING,required_script:scripts/run_daily_competition_controller.py,HEALTHY,present,,/home/runner/work/vsigma/vsigma/scripts/run_daily_competition_controller.py
2026-05-21,full,2026-05-21T00:00:27.656658+01:00,WARNING,required_script:scripts/run_daily_competition_supervisor.py,HEALTHY,present,,/home/runner/work/vsigma/vsigma/scripts/run_daily_competition_supervisor.py
2026-05-21,full,2026-05-21T00:00:27.656658+01:00,WARNING,required_script:scripts/run_today_prelock_orchestrator.py,HEALTHY,present,,/home/runner/work/vsigma/vsigma/scripts/run_today_prelock_orchestrator.py
2026-05-21,full,2026-05-21T00:00:27.656658+01:00,WARNING,required_script:scripts/run_today_post_results_pipeline.py,HEALTHY,present,,/home/runner/work/vsigma/vsigma/scripts/run_today_post_results_pipeline.py
2026-05-21,full,2026-05-21T00:00:27.656658+01:00,WARNING,required_script:scripts/update_immutable_daily_ledger.py,HEALTHY,present,,/home/runner/work/vsigma/vsigma/scripts/update_immutable_daily_ledger.py
2026-05-21,full,2026-05-21T00:00:27.656658+01:00,WARNING,required_script:scripts/build_daily_competition_master_report.py,HEALTHY,present,,/home/runner/work/vsigma/vsigma/scripts/build_daily_competition_master_report.py
2026-05-21,full,2026-05-21T00:00:27.656658+01:00,WARNING,required_script:scripts/build_promotion_threshold_governance.py,HEALTHY,present,,/home/runner/work/vsigma/vsigma/scripts/build_promotion_threshold_governance.py
2026-05-21,full,2026-05-21T00:00:27.656658+01:00,WARNING,required_script:scripts/validate_daily_output_freshness.py,HEALTHY,present,,/home/runner/work/vsigma/vsigma/scripts/validate_daily_output_freshness.py
2026-05-21,full,2026-05-21T00:00:27.656658+01:00,WARNING,required_script:scripts/validate_candidate_isolation.py,HEALTHY,present,,/home/runner/work/vsigma/vsigma/scripts/validate_candidate_isolation.py
2026-05-21,full,2026-05-21T00:00:27.656658+01:00,WARNING,required_script:scripts/register_vsigma_windows_tasks.ps1,HEALTHY,present,,/home/runner/work/vsigma/vsigma/scripts/register_vsigma_windows_tasks.ps1
2026-05-21,full,2026-05-21T00:00:27.656658+01:00,WARNING,required_script:scripts/unregister_vsigma_windows_tasks.ps1,HEALTHY,present,,/home/runner/work/vsigma/vsigma/scripts/unregister_vsigma_windows_tasks.ps1
2026-05-21,full,2026-05-21T00:00:27.656658+01:00,WARNING,api_config_available,HEALTHY,API configuration detected without exposing secrets,"Set API_FOOTBALL_KEY, APISPORTS_KEY, RAPIDAPI_KEY, or X_RAPIDAPI_KEY in .env/environment.",/home/runner/work/vsigma/vsigma/.env
2026-05-21,full,2026-05-21T00:00:27.656658+01:00,WARNING,today_snapshot_folder,NOT_RUN_YET,today snapshot folder not created yet,.\.venv\Scripts\python.exe scripts\run_daily_competition_controller.py --date 2026-05-21 --timezone Atlantic/Canary --mode pre,/home/runner/work/vsigma/vsigma/data/processed/today/2026-05-21
2026-05-21,full,2026-05-21T00:00:27.656658+01:00,WARNING,official_baseline_output,WARNING,only stale rows found for 2026-05-20,.\.venv\Scripts\python.exe scripts\run_daily_competition_controller.py --date 2026-05-21 --timezone Atlantic/Canary --mode pre,/home/runner/work/vsigma/vsigma/data/processed/vsigma_today_competition_top.csv
2026-05-21,full,2026-05-21T00:00:27.656658+01:00,WARNING,candidate_output:CANDIDATE_V2,WARNING,only stale rows found for 2026-05-20,.\.venv\Scripts\python.exe scripts\run_daily_competition_controller.py --date 2026-05-21 --timezone Atlantic/Canary --mode pre,/home/runner/work/vsigma/vsigma/data/processed/vsigma_today_candidate_v2_competition_top.csv
2026-05-21,full,2026-05-21T00:00:27.656658+01:00,WARNING,candidate_output:CANDIDATE_V7,HEALTHY,empty output with headers is valid for NO_BET,,/home/runner/work/vsigma/vsigma/data/processed/vsigma_today_candidate_v7_competition_top.csv
