date,fixture_datetime_utc,fixture_timestamp,league,league_id,season,fixture_id,status,home_team,home_team_id,away_team,away_team_id,country,fixture_status_short,fixture_status_long,fixture_status_elapsed,goals_home,goals_away,score_fulltime_home,score_fulltime_away,score_halftime_home,score_halftime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away,home_xg_for,home_xg_against,away_xg_for,away_xg_against,home_sot_for,away_sot_for,home_big_for,away_big_for,home_motivation,away_motivation,home_absences,away_absences,today_pipeline_fetched_at,league_coverage_class,league_has_odds_coverage,league_has_fixture_stats_coverage,league_has_injuries_coverage,league_has_lineups_coverage,league_has_predictions_coverage,league_coverage_rich_flag,league_data_reliability_score,league_coverage_source_status,league_coverage_note,home_recent_matches,away_recent_matches,home_form_pts,away_form_pts,home_goals_for_pg,away_goals_for_pg,home_goals_against_pg,away_goals_against_pg,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_btts_rate,away_btts_rate,home_over15_rate,away_over15_rate,home_over25_rate,away_over25_rate,home_stats_season_used,away_stats_season_used,data_enrichment_level,home_recent_stats_matches_requested,home_recent_stats_matches_used,home_recent_stats_coverage_ratio,home_recent_stats_available_flag,home_recent_shots_for_pg,home_recent_shots_against_pg,home_recent_sot_for_pg,home_recent_sot_against_pg,home_recent_possession_pct,home_recent_corners_for_pg,home_recent_corners_against_pg,home_recent_fouls_pg,home_recent_yellow_pg,home_recent_offsides_pg,home_recent_blocked_shots_pg,away_recent_stats_matches_requested,away_recent_stats_matches_used,away_recent_stats_coverage_ratio,away_recent_stats_available_flag,away_recent_shots_for_pg,away_recent_shots_against_pg,away_recent_sot_for_pg,away_recent_sot_against_pg,away_recent_possession_pct,away_recent_corners_for_pg,away_recent_corners_against_pg,away_recent_fouls_pg,away_recent_yellow_pg,away_recent_offsides_pg,away_recent_blocked_shots_pg,recent_stats_quality_flag,recent_fixture_statistics_updated_at,home_injuries_count,away_injuries_count,home_injuries_available_flag,away_injuries_available_flag,home_absence_risk_score,away_absence_risk_score,home_injuries_coverage_flag,away_injuries_coverage_flag,home_absence_severity_flag,away_absence_severity_flag,injuries_quality_flag,injuries_availability_updated_at,home_lineup_available_flag,away_lineup_available_flag,home_lineup_known_starters_count,away_lineup_known_starters_count,home_lineup_bench_known_flag,away_lineup_bench_known_flag,home_lineup_attacker_count,away_lineup_attacker_count,home_lineup_defender_count,away_lineup_defender_count,home_lineup_midfielder_count,away_lineup_midfielder_count,home_lineup_goalkeeper_known_flag,away_lineup_goalkeeper_known_flag,home_lineup_attack_continuity_score,away_lineup_attack_continuity_score,home_lineup_defense_continuity_score,away_lineup_defense_continuity_score,lineup_confirmation_score,lineup_uncertainty_penalty,lineup_activation_window_minutes,lineup_minutes_to_kickoff,lineup_timing_eligible_flag,lineup_structural_confidence_flag,home_lineup_quality_flag,away_lineup_quality_flag,lineup_quality_flag,lineup_activation_state,fixture_lineups_updated_at,home_rank,home_points,home_goals_diff,home_played,home_table_goals_for,home_table_goals_against,home_urgency_score,away_rank,away_points,away_goals_diff,away_played,away_table_goals_for,away_table_goals_against,away_urgency_score,league_team_count,standings_context_updated_at,odds_1_home_v3,odds_1_draw_v3,odds_1_away_v3,odds_btts_yes_v3,odds_btts_no_v3,odds_over_1_5_v3,odds_under_1_5_v3,odds_over_2_5_v3,odds_under_2_5_v3,odds_over_3_5_v3,odds_under_3_5_v3,odds_dc_1x_v3,odds_dc_x2_v3,odds_dc_12_v3,odds_home_dnb_v3,odds_away_dnb_v3,odds_bookmakers_count_v3,odds_market_count_v3,odds_values_count_v3,imp_1_home,imp_1_draw,imp_1_away,imp_btts_yes,imp_btts_no,imp_over_1_5,imp_under_1_5,imp_over_2_5,imp_under_2_5,imp_over_3_5,imp_under_3_5,imp_dc_1x,imp_dc_x2,imp_dc_12,imp_home_dnb,imp_away_dnb,odds_context_v3_updated_at,odds_context_v3_status,first_leg_fixture_id,first_leg_home_goals,first_leg_away_goals,tie_home_agg_before,tie_away_agg_before,league_tier,league_tier_rank,league_filter_reason,home_recent_opponent_strength_avg,away_recent_opponent_strength_avg,home_recent_schedule_difficulty_score,away_recent_schedule_difficulty_score,recent_schedule_balance_delta,home_recent_schedule_matches_used,away_recent_schedule_matches_used,home_recent_anomaly_count_last5,away_recent_anomaly_count_last5,home_recent_clean_sample_size,away_recent_clean_sample_size,home_recent_anomaly_penalty,away_recent_anomaly_penalty,home_recent_events_checked_last5,away_recent_events_checked_last5,odds_imp_over15,odds_imp_over25,odds_imp_under35,odds_imp_btts_yes,odds_imp_home_win,odds_imp_draw,odds_imp_away_win,odds_imp_home_dnb,odds_imp_away_dnb,odds_market_support_count,odds_bookmaker_support_count,odds_dispersion_score,odds_confidence_adjustment_score,home_recent_schedule_quality_flag,away_recent_schedule_quality_flag,recent_sample_cleanliness_flag,home_recent_event_coverage_flag,away_recent_event_coverage_flag,odds_structure_coherence_flag,odds_total_ladder_shape,odds_goal_expectation_band,odds_side_fragility_flag,odds_btts_support_flag,odds_over25_support_flag,odds_over15_support_flag,odds_under35_support_flag,odds_market_translation_hint,odds_line_aggression_flag,odds_structure_depth_status,league_coverage_uncertainty_penalty,league_stats_reliability_multiplier,league_quality_score,old_data_count,prior_data_count,standings_data_count,recent_stats_data_count,injuries_data_count,data_quality_score,data_warning,home_absences_num,away_absences_num,home_availability_unknown_penalty,away_availability_unknown_penalty,availability_uncertainty_penalty,availability_known_risk_score,availability_attack_penalty,lineup_score_nudge,home_recent_lab_trust_multiplier,away_recent_lab_trust_multiplier,recent_lab_context_score,attack_environment_score,recent_stats_process_score,home_goal_path_score,away_goal_path_score,home_rank_strength,away_rank_strength,team_edge_raw,team_edge_score,home_motivation_num,away_motivation_num,motivation_total_score,absences_noise_penalty,standings_context_score,vsigma_pre_score,vsigma_priority,market_family_hint,is_two_leg_tie,tie_context_status,tie_state_label,tie_home_delta,tie_away_delta,home_trailing_in_tie,away_trailing_in_tie,tie_level_before_second_leg,tie_adjustment_applied,tie_adjustment_note
2026-08-25,2026-08-25T11:30:00+01:00,1787653800,K League 1,292,2026,1507040,NS,Gimcheon Sangmu FC,2768,Jeonbuk Motors,2762,South-Korea,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-08-25T08:44:50.760115+00:00,COVERAGE_RICH,1.0,1.0,0.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.125,2.0,1.125,1.75,1.375,0.75,0.75,0.875,0.25,0.5,0.625,0.375,0.875,0.75,0.5,0.375,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,2.0,0.4,1.0,10.5,8.5,3.5,4.0,61.0,5.5,1.0,18.5,4.0,2.0,3.5,5.0,2.0,0.4,1.0,12.5,12.5,6.0,6.0,58.0,5.0,4.5,14.5,3.5,0.5,3.0,SPARSE,2026-08-25T08:45:20.266790+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-08-25T08:45:25.458170+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,104.53,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-08-25T08:45:28.438878+00:00,11.0,26.0,-6.0,24.0,23.0,29.0,1.0,3.0,37.0,9.0,24.0,31.0,22.0,0.5,12.0,2026-08-25T08:45:30.638568+00:00,3.33,3.45,2.26,1.76,2.1,1.32,3.54,2.04,1.85,3.6,1.33,,,,,,13.0,114.0,3251.0,0.3003,0.2899,0.4425,0.5682,0.4762,0.7576,0.2825,0.4902,0.5405,0.2778,0.7519,,,,,,2026-08-25T08:45:33.646532+00:00,OK,,,,,,TIER_2,2,korea_k1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.95,23,8,16,9,16,0,28.0,OK_FULL_STATS,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,14.6,1.52,9.95,15.41,0.0909090909090909,0.8181818181818181,-17.11,16.0,0.0,0.0,0.0,0.0,3.85,85.45,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,0.0,NOT_TWO_LEG_TIE,,,,0.0,0.0,0.0,0,
2026-08-25,2026-08-25T20:00:00+01:00,1787684400,La Liga,140,2026,1570342,NS,Valencia,532,Real Betis,543,Spain,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,2026-08-25T08:44:50.760960+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.0,2.0,1.125,1.5,1.25,0.625,0.75,0.75,0.25,0.5,0.625,0.25,0.75,0.375,0.625,0.375,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,1.0,0.2,1.0,8.0,7.0,2.0,3.0,44.0,1.0,2.0,17.0,2.0,3.0,2.0,5.0,1.0,0.2,1.0,18.0,9.0,7.0,3.0,48.0,4.0,5.0,9.0,3.0,1.0,4.0,SPARSE,2026-08-25T08:45:01.062865+00:00,14.0,12.0,1.0,1.0,11.6,12.0,FULL,FULL,HIGH,HIGH,FULL,2026-08-25T08:45:24.250309+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,614.56,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-08-25T08:45:26.437921+00:00,11.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,3.0,1.0,1.0,1.0,0.0,0.0,20.0,2026-08-25T08:45:30.631248+00:00,2.92,3.37,2.66,1.8,2.07,1.35,3.5,2.14,1.88,3.8,1.34,,,,,,14.0,181.0,5645.0,0.3425,0.2967,0.3759,0.5556,0.4831,0.7407,0.2857,0.4673,0.5319,0.2632,0.7463,,,,,,2026-08-25T08:45:31.689340+00:00,OK,,,,,,TIER_1,1,spain_la_liga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.95,30,8,16,9,16,4,28.0,OK_FULL_STATS,11.6,12.0,0.0,0.0,0.0,23.6,0.1,0.0,1.0,1.0,0.0,12.39,0.76,8.56,12.8,0.4736842105263158,0.6842105263157895,-9.55,10.5,0.0,0.0,0.0,0.1,1.85,82.64,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,0.0,NOT_TWO_LEG_TIE,,,,0.0,0.0,0.0,0,
2026-08-25,2026-08-25T11:30:00+01:00,1787653800,K League 1,292,2026,1507042,NS,FC Seoul,2766,Bucheon FC 1995,2745,South-Korea,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-08-25T08:44:50.760124+00:00,COVERAGE_RICH,1.0,1.0,0.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.75,1.0,1.625,0.5,0.875,1.125,0.75,0.375,0.375,0.375,0.5,0.125,0.625,0.375,0.5,0.25,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,2.0,0.4,1.0,10.0,13.0,4.0,3.0,55.5,4.0,6.5,12.0,0.0,1.5,1.5,5.0,2.0,0.4,1.0,12.0,14.0,5.0,4.0,43.5,1.5,6.0,14.0,2.0,0.5,2.5,SPARSE,2026-08-25T08:45:17.072429+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-08-25T08:45:25.455988+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,104.53,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-08-25T08:45:28.038536+00:00,1.0,50.0,27.0,24.0,46.0,19.0,1.0,9.0,30.0,0.0,24.0,27.0,27.0,0.5,12.0,2026-08-25T08:45:30.636017+00:00,1.5,4.53,6.72,1.97,1.9,1.28,4.1,1.85,2.08,3.1,1.41,,,,,,13.0,114.0,3254.0,0.6667,0.2208,0.1488,0.5076,0.5263,0.7812,0.2439,0.5405,0.4808,0.3226,0.7092,,,,,,2026-08-25T08:45:33.255456+00:00,OK,,,,,,TIER_2,2,korea_k1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.95,23,8,16,9,16,0,28.0,OK_FULL_STATS,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11.16,1.52,12.94,6.55,1.0,0.2727272727272727,21.53,16.0,0.0,0.0,0.0,0.0,4.44,82.6,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,0.0,NOT_TWO_LEG_TIE,,,,0.0,0.0,0.0,0,
2026-08-25,2026-08-25T20:00:00+01:00,1787684400,UEFA Champions League,2,2026,1622627,NS,Bodo/Glimt,327,NEC Nijmegen,413,World,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,10.0,2026-08-25T08:44:50.760984+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,2.0,1.25,2.0,2.0,1.0,1.25,0.75,0.75,0.5,0.25,0.25,0.625,0.875,0.75,0.625,0.75,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,4.0,0.8,1.0,21.5,8.75,8.0,3.5,61.0,9.75,2.75,8.75,0.333,1.333,7.0,5.0,5.0,1.0,1.0,19.8,9.4,6.2,3.2,61.6,5.4,3.0,13.6,1.4,3.0,6.0,PARTIAL,2026-08-25T08:45:05.064531+00:00,14.0,10.0,1.0,1.0,10.8,9.6,FULL,FULL,HIGH,HIGH,FULL,2026-08-25T08:45:24.650367+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,614.55,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-08-25T08:45:26.839277+00:00,,,,,,,,,,,,,,,,2026-08-25T08:45:30.632245+00:00,1.55,5.2,5.7,1.44,2.8,1.11,8.0,1.35,3.42,1.88,2.06,,,,,,14.0,154.0,5329.0,0.6452,0.1923,0.1754,0.6944,0.3571,0.9009,0.125,0.7407,0.2924,0.5319,0.4854,,,,,,2026-08-25T08:45:32.061023+00:00,OK,1622624.0,1.0,3.0,3.0,1.0,TIER_1,1,uefa_top_competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.95,30,8,16,0,16,4,22.0,OK_FULL_STATS,10.8,9.6,0.0,0.0,0.0,20.4,0.1,0.0,1.0,1.0,0.0,20.0,3.42,17.91,16.88,0.0,0.0,3.7,3.57,0.0,0.0,0.0,0.1,0.0,76.45,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,1.0,OK,AWAY_TRAILING,2.0,-2.0,0.0,1.0,0.0,1,away_trailing_keep_away_live
2026-08-25,2026-08-25T17:45:00+01:00,1787676300,UEFA Champions League,2,2026,1622626,NS,Sabah FA,13976,Hapoel Beer Sheva,563,World,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2026-08-25T08:44:50.760493+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,3.0,8.0,0.667,1.5,1.0,1.25,2.0,1.625,1.0,0.875,0.0,0.375,1.0,0.5,1.0,0.875,0.333,0.625,2026.0,2026.0,PARTIAL_TEAM_LAST_8_ALL_COMPETITIONS,5.0,0.0,0.0,0.0,,,,,,,,,,,,5.0,2.0,0.4,1.0,18.0,8.0,6.5,3.5,81.5,3.0,2.5,8.5,2.5,1.5,3.0,SPARSE,2026-08-25T08:45:13.460929+00:00,2.0,4.0,1.0,1.0,2.0,3.6,FULL,FULL,MEDIUM,HIGH,FULL,2026-08-25T08:45:25.453095+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,479.54,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-08-25T08:45:27.753928+00:00,,,,,,,,,,,,,,,,2026-08-25T08:45:30.633332+00:00,1.94,4.0,3.9,1.73,2.3,1.26,4.2,1.8,2.12,3.0,1.44,,,,,,13.0,154.0,4810.0,0.5155,0.25,0.2564,0.578,0.4348,0.7937,0.2381,0.5556,0.4717,0.3333,0.6944,,,,,,2026-08-25T08:45:32.863394+00:00,OK,1622623.0,2.0,1.0,1.0,2.0,TIER_1,1,uefa_top_competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.95,30,8,16,0,9,4,20.25,OK_FULL_STATS,2.0,3.6,0.0,0.0,0.0,5.6,0.1,0.0,1.0,1.0,0.0,17.25,0.58,12.11,15.84,0.0,0.0,-3.6,7.61,0.0,0.0,0.0,0.1,0.0,74.51,A_ANALIZAR_PRIMERO,OVER_OR_BTTS_CHECK,1.0,OK,HOME_TRAILING,-1.0,1.0,1.0,0.0,0.0,1,home_trailing_flip_away_to_over
2026-08-25,2026-08-25T20:00:00+01:00,1787684400,UEFA Champions League,2,2026,1610924,NS,Lask Linz,1026,Celtic,247,World,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,2026-08-25T08:44:50.760970+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.5,1.875,2.75,2.25,1.0,1.125,0.75,1.0,0.5,0.375,0.25,0.625,1.0,0.875,0.625,0.625,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,0.0,0.0,0.0,,,,,,,,,,,,5.0,3.0,0.6,1.0,22.667,13.667,9.0,5.667,64.333,8.0,4.0,8.333,0.333,0.333,5.333,SPARSE,2026-08-25T08:45:09.062720+00:00,2.0,6.0,1.0,1.0,2.0,5.6,FULL,FULL,MEDIUM,HIGH,FULL,2026-08-25T08:45:25.049476+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,614.55,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-08-25T08:45:27.235224+00:00,,,,,,,,,,,,,,,,2026-08-25T08:45:30.632817+00:00,2.01,4.07,3.6,1.52,2.56,1.18,5.43,1.6,2.56,2.45,1.65,,,,,,14.0,155.0,4843.0,0.4975,0.2457,0.2778,0.6579,0.3906,0.8475,0.1842,0.625,0.3906,0.4082,0.6061,,,,,,2026-08-25T08:45:32.481455+00:00,OK,1610923.0,3.0,0.0,0.0,3.0,TIER_1,1,uefa_top_competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.95,30,8,16,0,9,4,20.25,OK_FULL_STATS,2.0,5.6,0.0,0.0,0.0,7.6,0.1,0.0,1.0,1.0,0.0,20.0,1.14,15.59,17.47,0.0,0.0,2.03,2.58,0.0,0.0,0.0,0.1,0.0,73.29,A_ANALIZAR_PRIMERO,OVER_OR_BTTS_CHECK,1.0,OK,HOME_TRAILING,-3.0,3.0,1.0,0.0,0.0,1,home_trailing_boost
2026-08-25,2026-08-25T11:30:00+01:00,1787653800,K League 1,292,2026,1507041,NS,Jeju United FC,2761,Pohang Steelers,2764,South-Korea,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-08-25T08:44:50.760119+00:00,COVERAGE_RICH,1.0,1.0,0.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.75,1.625,0.875,0.875,0.625,0.875,0.75,0.75,0.5,0.5,0.25,0.25,0.5,0.375,0.0,0.125,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,2.0,0.4,1.0,8.0,5.0,4.0,2.0,40.0,2.0,4.5,17.0,1.0,1.0,2.5,5.0,1.0,0.2,1.0,14.0,8.0,5.0,5.0,43.0,4.0,5.0,6.0,1.0,2.0,5.0,SPARSE,2026-08-25T08:45:22.670523+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-08-25T08:45:25.460315+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,104.52,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-08-25T08:45:28.838498+00:00,5.0,35.0,3.0,24.0,27.0,24.0,0.0,7.0,31.0,-6.0,24.0,22.0,28.0,0.0,12.0,2026-08-25T08:45:30.641169+00:00,2.5,3.31,3.21,2.0,1.85,1.45,3.09,2.35,1.69,4.5,1.24,,,,,,13.0,114.0,3180.0,0.4,0.3021,0.3115,0.5,0.5405,0.6897,0.3236,0.4255,0.5917,0.2222,0.8065,,,,,,2026-08-25T08:45:34.047577+00:00,OK,,,,,,TIER_2,2,korea_k1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.95,23,8,16,9,16,0,28.0,OK_FULL_STATS,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9.95,1.14,9.35,7.99,0.6363636363636364,0.4545454545454546,4.16,4.58,0.0,0.0,0.0,0.0,1.75,67.28,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,0.0,NOT_TWO_LEG_TIE,,,,0.0,0.0,0.0,0,
2026-08-25,2026-08-25T18:30:00+01:00,1787679000,Premier Soccer League,288,2026,1600321,NS,Kruger United,24759,Durban City,24757,South-Africa,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-08-25T08:44:50.760546+00:00,COVERAGE_RICH,1.0,1.0,0.0,1.0,1.0,1,0.95,OFFICIAL_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIER_3,3,south_africa_psl_noisy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.95,13,8,0,0,0,0,8.0,OK_FULL,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,NO_DATA_BLOCKED,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,0.0,NOT_TWO_LEG_TIE,,,,0.0,0.0,0.0,0,
2026-08-25,2026-08-25T18:30:00+01:00,1787679000,Premier Soccer League,288,2026,1600322,NS,Marumo Gallants,2682,TS Galaxy,8074,South-Africa,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-08-25T08:44:50.760551+00:00,COVERAGE_RICH,1.0,1.0,0.0,1.0,1.0,1,0.95,OFFICIAL_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIER_3,3,south_africa_psl_noisy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.95,13,8,0,0,0,0,8.0,OK_FULL,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,NO_DATA_BLOCKED,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,0.0,NOT_TWO_LEG_TIE,,,,0.0,0.0,0.0,0,
2026-08-25,2026-08-25T18:30:00+01:00,1787679000,Premier Soccer League,288,2026,1600323,NS,Orlando Pirates,2700,Sekhukhune United,15537,South-Africa,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-08-25T08:44:50.760556+00:00,COVERAGE_RICH,1.0,1.0,0.0,1.0,1.0,1,0.95,OFFICIAL_API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIER_3,3,south_africa_psl_noisy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.95,13,8,0,0,0,0,8.0,OK_FULL,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,NO_DATA_BLOCKED,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,0.0,NOT_TWO_LEG_TIE,,,,0.0,0.0,0.0,0,
