target_date,generated_at,fixture_id,home_team,away_team,league,country,fixture_date_utc,fixture_status,downstream_use,scored_candidate_status,fixture_detail_available,predictions_available,odds_available,prediction_winner_name,pred_home_total_pct,pred_away_total_pct,match_winner_home_odd,match_winner_draw_odd,match_winner_away_odd,over_2_5_odd,under_2_5_odd,market_signal_summary,candidate_signal_score,candidate_signal_band,promotion_input_status,promotion_input_reason,promotion_permission,pick_permission,stake_permission,source_guard,auto_apply,production_change
2026-06-05,2026-06-08T14:58:32+01:00,1548053,Las Palmas,Malaga,Segunda División,Spain,2026-06-07T19:00:00+00:00,FT,SCORING_ALLOWED_WITH_NORMAL_GATES,API_ENRICHED_SCORING_READY_PENDING_GATES,YES,YES,YES,Malaga,47.7,52.3,2.22,3.05,3.40,2.20,1.65,prediction_winner=Malaga | pred_total_home_away=47.7/52.3 | 1x2=2.22/3.05/3.40 | ou2.5=2.20/1.65,61,MEDIUM_SIGNAL_REVIEW,PROMOTION_INPUT_READY_REVIEW_ONLY,Candidate can be reviewed by normal scoring/promotion gates; no pick permission created.,REVIEW_ONLY_PROMOTION_INPUT,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_INPUT_BRIDGE_V1_NO_AUTO_APPLY,NO,NO
2026-06-05,2026-06-08T14:58:32+01:00,1548052,Castellón,Almeria,Segunda División,Spain,2026-06-06T19:00:00+00:00,FT,SCORING_ALLOWED_WITH_NORMAL_GATES,MISSING_REQUIRED_API_DATA,YES,NO,NO,,,,,,,,,,10,WEAK_SIGNAL,BLOCKED_NOT_SCORING_READY,API-enriched candidate is not scoring-ready pending gates.,NO_PROMOTION_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_INPUT_BRIDGE_V1_NO_AUTO_APPLY,NO,NO
2026-06-05,2026-06-08T14:58:32+01:00,1514196,HK Kopavogur,Afturelding,1. Deild,,,,SCORING_ALLOWED_WITH_NORMAL_GATES,MISSING_REQUIRED_API_DATA,NO,NO,NO,,,,,,,,,,0,WEAK_SIGNAL,BLOCKED_NOT_SCORING_READY,API-enriched candidate is not scoring-ready pending gates.,NO_PROMOTION_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_INPUT_BRIDGE_V1_NO_AUTO_APPLY,NO,NO
2026-06-05,2026-06-08T14:58:32+01:00,1514197,Njardvik,IR Reykjavik,1. Deild,,,,SCORING_ALLOWED_WITH_NORMAL_GATES,MISSING_REQUIRED_API_DATA,NO,NO,NO,,,,,,,,,,0,WEAK_SIGNAL,BLOCKED_NOT_SCORING_READY,API-enriched candidate is not scoring-ready pending gates.,NO_PROMOTION_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_INPUT_BRIDGE_V1_NO_AUTO_APPLY,NO,NO
2026-06-05,2026-06-08T14:58:32+01:00,1514195,Ægir,Leiknir R.,1. Deild,,,,SCORING_ALLOWED_WITH_NORMAL_GATES,MISSING_REQUIRED_API_DATA,NO,NO,NO,,,,,,,,,,0,WEAK_SIGNAL,BLOCKED_NOT_SCORING_READY,API-enriched candidate is not scoring-ready pending gates.,NO_PROMOTION_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_INPUT_BRIDGE_V1_NO_AUTO_APPLY,NO,NO
2026-06-05,2026-06-08T14:58:32+01:00,1543386,Hvíti riddarinn,Haukar,2. Deild,,,,SCORING_ALLOWED_WITH_NORMAL_GATES,MISSING_REQUIRED_API_DATA,NO,NO,NO,,,,,,,,,,0,WEAK_SIGNAL,BLOCKED_NOT_SCORING_READY,API-enriched candidate is not scoring-ready pending gates.,NO_PROMOTION_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_INPUT_BRIDGE_V1_NO_AUTO_APPLY,NO,NO
2026-06-05,2026-06-08T14:58:32+01:00,1543385,Kormákur / Hvöt,Magni,2. Deild,,,,SCORING_ALLOWED_WITH_NORMAL_GATES,MISSING_REQUIRED_API_DATA,NO,NO,NO,,,,,,,,,,0,WEAK_SIGNAL,BLOCKED_NOT_SCORING_READY,API-enriched candidate is not scoring-ready pending gates.,NO_PROMOTION_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_INPUT_BRIDGE_V1_NO_AUTO_APPLY,NO,NO
2026-06-05,2026-06-08T14:58:32+01:00,1513482,JS Kabylie,CR Belouizdad,Ligue 1,,,,SCORING_ALLOWED_WITH_NORMAL_GATES,MISSING_REQUIRED_API_DATA,NO,NO,NO,,,,,,,,,,0,WEAK_SIGNAL,BLOCKED_NOT_SCORING_READY,API-enriched candidate is not scoring-ready pending gates.,NO_PROMOTION_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_INPUT_BRIDGE_V1_NO_AUTO_APPLY,NO,NO
2026-06-05,2026-06-08T14:58:32+01:00,1513489,JS Saoura,CS Constantine,Ligue 1,,,,SCORING_ALLOWED_WITH_NORMAL_GATES,MISSING_REQUIRED_API_DATA,NO,NO,NO,,,,,,,,,,0,WEAK_SIGNAL,BLOCKED_NOT_SCORING_READY,API-enriched candidate is not scoring-ready pending gates.,NO_PROMOTION_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_INPUT_BRIDGE_V1_NO_AUTO_APPLY,NO,NO
2026-06-05,2026-06-08T14:58:32+01:00,1513484,MC Alger,ASO Chlef,Ligue 1,,,,SCORING_ALLOWED_WITH_NORMAL_GATES,MISSING_REQUIRED_API_DATA,NO,NO,NO,,,,,,,,,,0,WEAK_SIGNAL,BLOCKED_NOT_SCORING_READY,API-enriched candidate is not scoring-ready pending gates.,NO_PROMOTION_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_INPUT_BRIDGE_V1_NO_AUTO_APPLY,NO,NO
2026-06-05,2026-06-08T14:58:32+01:00,1541272,Guarulhos,Paulínia FU,Paulista Série B,,,,SCORING_ALLOWED_WITH_NORMAL_GATES,MISSING_REQUIRED_API_DATA,NO,YES,NO,Guarulhos,66.3,33.7,,,,,,prediction_winner=Guarulhos | pred_total_home_away=66.3/33.7,60,MEDIUM_SIGNAL_REVIEW,BLOCKED_NOT_SCORING_READY,API-enriched candidate is not scoring-ready pending gates.,NO_PROMOTION_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_INPUT_BRIDGE_V1_NO_AUTO_APPLY,NO,NO
