target_date,generated_at,fixture_id,home_team,away_team,league,country,fixture_date_utc,fixture_status,candidate_signal_score,candidate_signal_band,market_signal_summary,promotion_input_status,promotion_permission,adapter_status,adapter_reason,allowed_downstream_use,promotion_candidate_type,pick_permission,stake_permission,source_guard,auto_apply,production_change
2026-06-05,2026-06-08T20:18:47+01:00,1548053,Las Palmas,Malaga,Segunda División,Spain,2026-06-07T19:00:00+00:00,FT,61,MEDIUM_SIGNAL_REVIEW,prediction_winner=Malaga | pred_total_home_away=47.7/52.3 | 1x2=2.22/3.05/3.40 | ou2.5=2.20/1.65,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-05,2026-06-08T20:18:47+01:00,1548052,Castellón,Almeria,Segunda División,Spain,2026-06-06T19:00:00+00:00,FT,75,HIGH_SIGNAL_REVIEW,prediction_winner=Castellón | pred_total_home_away=56.8/43.2 | 1x2=1.81/3.80/3.90 | ou2.5=1.62/2.25,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-05,2026-06-08T20:18:47+01:00,1514196,HK Kopavogur,Afturelding,1. Deild,Iceland,2026-06-05T19:15:00+00:00,FT,73,MEDIUM_SIGNAL_REVIEW,prediction_winner=Afturelding | pred_total_home_away=43.8/56.2 | 1x2=2.90/4.00/2.00 | ou2.5=2.40/1.50,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-05,2026-06-08T20:18:47+01:00,1514197,Njardvik,IR Reykjavik,1. Deild,Iceland,2026-06-05T19:15:00+00:00,FT,96,HIGH_SIGNAL_REVIEW,prediction_winner=Njardvik | pred_total_home_away=63.8/36.2 | 1x2=2.10/3.70/2.85 | ou2.5=1.50/2.50,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-05,2026-06-08T20:18:47+01:00,1514195,Ægir,Leiknir R.,1. Deild,Iceland,2026-06-05T19:15:00+00:00,FT,58,MEDIUM_SIGNAL_REVIEW,prediction_winner=Ægir | pred_total_home_away=51.2/48.8 | 1x2=2.80/3.70/2.10 | ou2.5=1.53/2.40,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-05,2026-06-08T20:18:47+01:00,1543386,Hvíti riddarinn,Haukar,2. Deild,Iceland,2026-06-05T20:00:00+00:00,FT,56,MEDIUM_SIGNAL_REVIEW,prediction_winner=Haukar | pred_total_home_away=39.5/60.5,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-05,2026-06-08T20:18:47+01:00,1543385,Kormákur / Hvöt,Magni,2. Deild,Iceland,2026-06-05T19:15:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Kormákur / Hvöt | pred_total_home_away=65.8/34.2,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-05,2026-06-08T20:18:47+01:00,1513482,JS Kabylie,CR Belouizdad,Ligue 1,Algeria,2026-06-05T19:00:00+00:00,FT,58,MEDIUM_SIGNAL_REVIEW,prediction_winner=CR Belouizdad | pred_total_home_away=48.7/51.3 | 1x2=3.35/3.10/2.10 | ou2.5=2.10/1.67,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-05,2026-06-08T20:18:47+01:00,1513489,JS Saoura,CS Constantine,Ligue 1,Algeria,2026-06-05T19:00:00+00:00,FT,77,HIGH_SIGNAL_REVIEW,prediction_winner=JS Saoura | pred_total_home_away=57.5/42.5 | 1x2=1.36/3.90/9.00 | ou2.5=2.05/1.70,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-05,2026-06-08T20:18:47+01:00,1513484,MC Alger,ASO Chlef,Ligue 1,Algeria,2026-06-05T17:30:00+00:00,FT,92,HIGH_SIGNAL_REVIEW,prediction_winner=MC Alger | pred_total_home_away=62.5/37.5 | 1x2=1.48/3.55/7.00 | ou2.5=2.05/1.70,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
