mode,rows_total,graded_rows,wins,losses,pushes,voids,hit_rate,profit_units_total,roi_percent,avg_odds,avg_edge,avg_execution_score,max_drawdown
CORE_ONLY,16,16,13,3,0,0,81.25,5.65,35.3125,1.678125,0.210202,137.287069,-1.68
CORE_PLUS_STANDARD,16,16,13,3,0,0,81.25,5.65,35.3125,1.678125,0.210202,137.287069,-1.68
FULL_SHORTLIST,21,21,17,4,0,0,80.952381,6.29,29.952381,1.612857,0.201882,128.554364,-0.93
COMPETITION_ACCURACY_MODE,9,9,7,2,0,0,77.777778,2.31,25.666667,1.58,0.22105,135.429422,-1.0
