segment,rows_total,graded_rows,wins,losses,pushes,voids,profit_units_total,roi_percent
PREMIUM_CORE,7,7,6,1,0,0,2.81,40.142857
PREMIUM_EXTENDED,2,2,1,1,0,0,-0.5,-25.0
