segment,rows_total,graded_rows,wins,losses,pushes,voids,profit_units_total,roi_percent
ACCURACY_CORE,7,7,6,1,0,0,2.81,40.142857
ACCURACY_EXTENDED_STRONG,2,2,1,1,0,0,-0.5,-25.0
