target_date,generated_at,gate_rank,fixture_id,league,home_team,away_team,market_primary,base_final_recommendation,objective_status,availability_status,lineup_status,gate_decision,gate_reason,recommended_action,home_urgency_score,away_urgency_score,home_rank,away_rank,lineup_activation_state,lineup_minutes_to_kickoff,availability_known_risk_score,availability_attack_penalty,home_absence_risk_score,away_absence_risk_score,pick_failure_mode,auto_apply,production_change,guardrail_status
2026-05-29,2026-05-29T14:31:18+01:00,1,1545797,Serie B,Monza,Catanzaro,OVER_2_5,BET,OBJECTIVE_SUPPORTS_TEMPO,AVAILABILITY_UNKNOWN_OR_CLEAN,WAIT_PRELOCK,WAIT_PRELOCK,at least one team has table urgency that can support tempo; lineups are inactive and fixture is outside prelock window; no strong availability contradiction detected,Wait for lineups/prelock before execution,1.0,0.5,3.0,5.0,INACTIVE,1135.2,0.0,0.0,,,LOW_CONVERSION,NO,NO,DATED_SOURCE_ONLY_OBJECTIVE_AVAILABILITY_GATE
2026-05-29,2026-05-29T14:31:18+01:00,2,1535314,CONMEBOL Libertadores,Boca Juniors,U. Catolica,OVER_1_5,BET,OBJECTIVE_SUPPORTS_TEMPO,AVAILABILITY_UNKNOWN_OR_CLEAN,LINEUPS_NOT_CONFIRMED,SHADOW_RISK_REVIEW,at least one team has table urgency that can support tempo; lineups are still inactive; no strong availability contradiction detected,Allow only with stronger live/prelock confirmation,1.0,1.0,3.0,1.0,INACTIVE,85.22,0.0,0.0,,,LOW_CONVERSION,NO,NO,DATED_SOURCE_ONLY_OBJECTIVE_AVAILABILITY_GATE
2026-05-29,2026-05-29T14:31:18+01:00,3,1535218,CONMEBOL Sudamericana,America de Cali,Macara,OVER_1_5,BET,OBJECTIVE_SUPPORTS_TEMPO,AVAILABILITY_UNKNOWN_OR_CLEAN,LINEUPS_NOT_CONFIRMED,SHADOW_RISK_REVIEW,at least one team has table urgency that can support tempo; lineups are still inactive; no strong availability contradiction detected,Allow only with stronger live/prelock confirmation,1.0,1.0,2.0,1.0,INACTIVE,85.18,0.0,0.0,,,LOW_CONVERSION,NO,NO,DATED_SOURCE_ONLY_OBJECTIVE_AVAILABILITY_GATE
