target_date,generated_at,fixture_id,home_team,away_team,status,actual_home_goals,actual_away_goals,actual_total_goals,actual_home_sot,actual_away_sot,actual_total_sot,actual_home_shots,actual_away_shots,actual_total_shots,actual_home_corners,actual_away_corners,actual_total_corners,actual_home_cards,actual_away_cards,actual_total_cards,actual_home_fouls,actual_away_fouls,actual_total_fouls,actual_home_xg,actual_away_xg,actual_total_xg,actual_home_big,actual_away_big,actual_total_big,available_metrics,actuals_verdict,source_guard,auto_apply,production_change
2026-05-29,2026-05-29T11:59:49+01:00,1535218,America de Cali,Macara,FT,0,0,0,2,4,6,17,12,29,3,9,12,2,3,5,9,11,20,0,0,0,0,0,0,goals; sot; shots; corners; cards; fouls; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T11:59:49+01:00,1535314,Boca Juniors,U. Catolica,FT,0,1,1,2,1,3,22,2,24,9,2,11,2,2,4,6,16,22,0,0,0,0,0,0,goals; sot; shots; corners; cards; fouls; xg; big,FINAL_ACTUALS_AVAILABLE,DATED_INPUT_ONLY,NO,NO
