target_date,generated_at,fixture_id,league,country,home_team,away_team,team_side,source_name,source_url,probable_xi,input_file,import_status,import_reason,auto_apply,production_change
2026-05-29,2026-05-30T07:39:09+01:00,1545409,Ligue 1,France,Nice,Saint Etienne,home,sportsmole,https://www.sportsmole.co.uk/football/preview/nice-vs-st-etienne-prediction-team-news-lineups_598257.html,Larsonneur; Pedro; Le Cardinal; Bernauer; Appiah; Gadegbeku; Kante; Moueffek; Davitashvili; Boakye,data/processed/today/2026-05-29/probable_lineup_sources_autonomous.csv,IMPORTED,OK,NO,NO
2026-05-29,2026-05-30T07:39:09+01:00,1545409,Ligue 1,France,Nice,Saint Etienne,home,sportsmole,https://www.sportsmole.co.uk/football/saint-etienne/preview/st-etienne-vs-nice-prediction-team-news-lineups_598111.html,Diouf; Bah; Dante; Mendy; Clauss; Coulibaly; Boudaoui; Bard; Cho; Carlos,data/processed/today/2026-05-29/probable_lineup_sources_autonomous.csv,IMPORTED,OK,NO,NO
2026-05-29,2026-05-30T07:39:09+01:00,1545409,Ligue 1,France,Nice,Saint Etienne,home,sportsmole,https://www.sportsmole.co.uk/football/saint-etienne/preview/st-etienne-vs-nice-prediction-team-news-lineups_465021.html,Benitez; Atal; Todibo; Dante; Bard; Stengs; Rosario; Thuram; Kluivert; Delort,data/processed/today/2026-05-29/probable_lineup_sources_autonomous.csv,IMPORTED,OK,NO,NO
2026-05-29,2026-05-30T07:39:09+01:00,1545409,Ligue 1,France,Nice,Saint Etienne,home,sportsmole,https://www.sportsmole.co.uk/football/nice/preview/nice-vs-st-etienne-prediction-team-news-lineups_553208.html,Larsonneur; Appiah; Batubinsika; Abdelhamid; Cornud; Davitashvili; Moueffek; Ekwah; Amougou; Cafaro; suggesting the hosts will win this one,data/processed/today/2026-05-29/probable_lineup_sources_autonomous.csv,IMPORTED,OK,NO,NO
2026-05-29,2026-05-30T07:39:09+01:00,1545409,Ligue 1,France,Nice,Saint Etienne,home,sportsmole,https://www.sportsmole.co.uk/football/nice/preview/nice-vs-st-etienne-prediction-team-news-lineups_432601.html,Moulin; Sissoko; Sow; Kolodziejczak; Trauco; Neyou; Youssouf; Nordin; Aouchiche; Bouanga,data/processed/today/2026-05-29/probable_lineup_sources_autonomous.csv,IMPORTED,OK,NO,NO
2026-05-29,2026-05-30T07:39:09+01:00,1545409,Ligue 1,France,Nice,Saint Etienne,home,sportsmole,https://www.sportsmole.co.uk/football/preview/nice-vs-st-etienne-prediction-team-news-lineups_598257.html,Larsonneur; Pedro; Le Cardinal; Bernauer; Appiah; Gadegbeku; Kante; Moueffek; Davitashvili; Boakye,data/processed/governance/probable_lineup_sources_autonomous.csv,IMPORTED,OK,NO,NO
2026-05-29,2026-05-30T07:39:09+01:00,1545409,Ligue 1,France,Nice,Saint Etienne,home,sportsmole,https://www.sportsmole.co.uk/football/saint-etienne/preview/st-etienne-vs-nice-prediction-team-news-lineups_598111.html,Diouf; Bah; Dante; Mendy; Clauss; Coulibaly; Boudaoui; Bard; Cho; Carlos,data/processed/governance/probable_lineup_sources_autonomous.csv,IMPORTED,OK,NO,NO
2026-05-29,2026-05-30T07:39:09+01:00,1545409,Ligue 1,France,Nice,Saint Etienne,home,sportsmole,https://www.sportsmole.co.uk/football/saint-etienne/preview/st-etienne-vs-nice-prediction-team-news-lineups_465021.html,Benitez; Atal; Todibo; Dante; Bard; Stengs; Rosario; Thuram; Kluivert; Delort,data/processed/governance/probable_lineup_sources_autonomous.csv,IMPORTED,OK,NO,NO
2026-05-29,2026-05-30T07:39:09+01:00,1545409,Ligue 1,France,Nice,Saint Etienne,home,sportsmole,https://www.sportsmole.co.uk/football/nice/preview/nice-vs-st-etienne-prediction-team-news-lineups_553208.html,Larsonneur; Appiah; Batubinsika; Abdelhamid; Cornud; Davitashvili; Moueffek; Ekwah; Amougou; Cafaro; suggesting the hosts will win this one,data/processed/governance/probable_lineup_sources_autonomous.csv,IMPORTED,OK,NO,NO
2026-05-29,2026-05-30T07:39:09+01:00,1545409,Ligue 1,France,Nice,Saint Etienne,home,sportsmole,https://www.sportsmole.co.uk/football/nice/preview/nice-vs-st-etienne-prediction-team-news-lineups_432601.html,Moulin; Sissoko; Sow; Kolodziejczak; Trauco; Neyou; Youssouf; Nordin; Aouchiche; Bouanga,data/processed/governance/probable_lineup_sources_autonomous.csv,IMPORTED,OK,NO,NO
